,Rank,"Player (yrs, age)",Errors Committed as RF (s.1901),Throws
266,247.,Whitey Witt (10),20,R
267,268.,Moises Alou (17),19,R
268,268.,Shad Barry (10),19,R
269,268.,Gus Bell (15),19,R
270,268.,Frank Demaree (12),19,R
271,268.,Pete Incaviglia (12),19,R
272,268.,Bris Lord (8),19,R
273,268.,Irish Meusel (11),19,R
274,268.,Andy Pafko (17),19,R
275,268.,Joe Schultz (11),19,R
276,268.,Bobby Tolan (13),19,L
277,268.,Michael Tucker (12),19,R
278,268.,Smoky Joe Wood (14),19,R
279,280.,Ike Boone (8),18,R
280,280.,Lou Brock+ (19),18,L
281,280.,Frank Brower (5),18,R
282,280.,Bernie Carbo (12),18,R
283,280.,Doc Cook (4),18,R
284,280.,Jose Cruz (12),18,R
285,280.,Bob Elliott (15),18,R
286,280.,Ron Fairly (21),18,L
287,280.,Goose Goslin+ (18),18,R
288,280.,Corey Hart (11),18,R
289,280.,Von Hayes (12),18,R
290,280.,Gene Hermanski (9),18,R
291,280.,Charlie Hickman (12),18,R
292,280.,Jimmy Johnston (13),18,R
293,280.,Bob Kennedy (16),18,R
294,280.,Roman Mejias (9),18,R
295,280.,Bernie Neis (8),18,R
296,280.,Dave Philley (18),18,R
297,280.,Pat Sheridan (9),18,R
298,299.,Frank Baumholtz (10),17,L
299,299.,Lance Berkman (15),17,L
300,299.,Emil Brown (10),17,R
301,299.,Marlon Byrd (15),17,R
302,299.,Vin Campbell (6),17,R
303,299.,Roger Cedeno (11),17,R
304,299.,Bobby Darwin (9),17,R
305,299.,Andre Ethier (12),17,L
306,299.,Johnny Frederick (6),17,L
307,299.,Cito Gaston (11),17,R
308,299.,Ned Harris (4),17,L
309,299.,Clint Hurdle (10),17,R
310,299.,Charlie Jamieson (18),17,L
311,299.,Lee Lacy (16),17,R
312,299.,Pat Mullin (10),17,R
313,299.,Melvin Nieves (7),17,R
314,299.,Alex Ochoa (8),17,R
315,299.,Jack Rothrock (11),17,R
316,299.,Richie Scheinblum (8),17,R
317,299.,Mike Vail (10),17,R
318,299.,Jimmy Walsh (6),17,R
319,299.,Jimmy Wasdell (11),17,L
320,321.,Gino Cimoli (10),16,R
321,321.,Josh Devore (7),16,R
322,321.,Bob Fothergill (12),16,R
323,321.,"Carlos Gonzalez (12, 34)",16,L
324,321.,Geoff Jenkins (11),16,R
325,321.,Hal Peck (7),16,L
326,321.,Hank Sauer (15),16,R
327,321.,Jimmy Sebring (5),16,R
328,321.,Harry Simpson (8),16,R
329,321.,Lee Thomas (8),16,R
330,321.,Faye Throneberry (8),16,R
331,321.,Cy Williams (19),16,L
332,321.,Ken Wood (6),16,R
333,321.,Joel Youngblood (14),16,R
334,335.,George Altman (9),15,R
335,335.,Mike Anderson (9),15,R
336,335.,Johnny Barrett (5),15,L
337,335.,Johnny Bates (9),15,L
338,335.,Carlos Beltran (20),15,R
339,335.,Milton Bradley (12),15,R
340,335.,Dave Clark (13),15,R
341,335.,Dick Cox (2),15,R
342,335.,Walton Cruise (10),15,R
343,335.,Jim Dwyer (18),15,L
344,335.,Carl Everett (14),15,R
345,335.,Greg Gross (17),15,L
346,335.,"Mitch Haniger (4, 29)",15,R
347,335.,Jim Hickman (13),15,R
348,335.,Dick Kokos (5),15,L
349,335.,Harvey Kuenn (15),15,R
350,335.,Billy Maloney (6),15,R
351,335.,Les Mann (16),15,R
352,335.,"J.D. Martinez (10, 32)",15,R
353,335.,Pepper Martin (13),15,R
354,335.,Darryl Motley (6),15,R
355,335.,Don Padgett (8),15,R
356,335.,Ollie Pickering (8),15,R
357,335.,Al Schweitzer (4),15,R
358,335.,Kip Selbach (13),15,R
359,335.,Tommy Thompson (6),15,R
360,335.,Sammy Vick (5),15,R
361,335.,Lee Walls (10),15,R
362,335.,Mitch Webster (13),15,L
363,335.,Richie Zisk (13),15,R
364,365.,Danny Bautista (12),14,R
365,365.,"Mookie Betts (7, 27)",14,R
366,365.,Sam Bowens (7),14,R
367,365.,Buddy Bradford (11),14,R
368,365.,Mike Brown (5),14,R
369,365.,Warren Cromartie (10),14,L
370,365.,Buck Freeman (11),14,L
371,365.,Walt French (6),14,R
372,365.,Oscar Gamble (17),14,R
373,365.,Bob Ganley (5),14,L
374,365.,Richard Hidalgo (9),14,R
375,365.,Smead Jolley (4),14,R
376,365.,Gabe Kapler (12),14,R
377,365.,Jim Kelly (3),14,R
378,365.,Lee King (7),14,R
379,365.,Max Marshall (3),14,R
380,365.,Jerry Martin (11),14,R
381,365.,Moose McCormick (5),14,L
382,365.,Tex McDonald (4),14,R
383,365.,Paul Meloan (2),14,R
384,365.,Matt Mieske (8),14,R
385,365.,Ward Miller (8),14,R
386,365.,Wally Moon (12),14,R
387,365.,Tony Phillips (18),14,R
388,365.,Vada Pinson (18),14,L
389,365.,George Puccinelli (4),14,R
390,365.,Armando Rios (6),14,L
391,365.,"George Springer (7, 30)",14,R
392,365.,Tuck Stainback (13),14,R
393,365.,Will Venable (9),14,L
394,365.,Al Wickland (5),14,L
395,365.,Randy Winn (13),14,R
396,397.,Larry Biittner (14),13,L
397,397.,Joe Grace (6),13,R
398,397.,Jeffrey Leonard (14),13,R
399,397.,"Domingo Santana (7, 27)",13,R
