,Rank,"Player (yrs, age)",Games Played,Throws
706,706.,Dick Ellsworth (13),407,L
707,706.,Ray Herbert (14),407,R
708,706.,Mike MacDougal (12),407,R
709,706.,James Shields (13),407,R
710,706.,Rube Waddell+ (13),407,L
711,712.,Bobby Ayala (8),406,R
712,712.,Dean Chance (11),406,R
713,712.,Brickyard Kennedy (12),406,R
714,712.,"Aaron Loup (9, 32)",406,L
715,716.,Joaquin Andujar (13),405,R
716,716.,Al Downing (17),405,L
717,716.,Joe Thatcher (9),405,L
718,716.,"Nick Vincent (9, 33)",405,R
719,716.,Jay Witasick (12),405,R
720,721.,Lloyd Brown (12),404,L
721,721.,Aaron Sele (15),404,R
722,723.,Andy Benes (14),403,R
723,723.,Tony Castillo (10),403,L
724,723.,Larry Gura (16),403,L
725,723.,Fred Norman (16),403,L
726,723.,Howie Pollet (14),403,L
727,723.,Bill Swift (13),403,R
728,723.,Will White (10),403,R
729,730.,General Crowder (11),402,R
730,730.,Fred Frankhouse (13),402,R
731,730.,Eric Gagne (10),402,R
732,730.,Ned Garver (14),402,R
733,734.,"Sean Doolittle (9, 33)",401,L
734,734.,Tom Griffin (14),401,R
735,734.,Jon Lieber (14),401,R
736,737.,Bruce Chen (17),400,L
737,737.,R.A. Dickey (15),400,R
738,737.,Jack Fisher (11),400,R
739,737.,"Daniel Hudson (11, 33)",400,R
740,741.,Tom Hughes (13),399,R
741,741.,Walt Masterson (14),399,R
742,741.,Ed Reulbach (13),399,R
743,741.,Steve Rogers (13),399,R
744,741.,Bret Saberhagen (16),399,R
745,741.,Sonny Siebert (12),399,R
746,747.,Bud Black (15),398,L
747,747.,Doug Drabek (13),398,R
748,747.,Bill Gullickson (14),398,R
749,747.,George Mogridge (15),398,L
750,747.,Tommy Thomas (12),398,R
751,752.,Silver King (10),397,R
752,752.,Sandy Koufax+ (12),397,L
753,752.,Brett Tomko (14),397,R
754,752.,Bob Veale (13),397,L
755,756.,"Brad Hand (10, 30)",396,L
756,756.,Jim Hearn (13),396,R
757,756.,Red Lucas (16),396,R
758,756.,Sean Marshall (9),396,L
759,756.,Ken Raffensberger (15),396,L
760,761.,Tim Belcher (14),394,R
761,761.,Byung-Hyun Kim (9),394,R
762,761.,Charlie Leibrandt (14),394,L
763,761.,"James Russell (7, 34)",394,L
764,761.,Milt Wilcox (16),394,R
765,761.,Brian Wilson (9),394,R
766,767.,Pink Hawley (10),393,R
767,767.,Chris Perez (7),393,R
768,767.,"Adam Wainwright (15, 38)",393,R
769,770.,Pedro Astacio (15),392,R
770,770.,Jack Chesbro+ (11),392,R
771,770.,Omar Daal (11),392,L
772,770.,Rick Mahler (13),392,R
773,770.,Denny Neagle (13),392,L
774,775.,Bill Dinneen (12),391,R
775,775.,Frank Francisco (10),391,R
776,775.,Dan Haren (13),391,R
777,775.,Hal Schumacher (13),391,R
778,779.,Jerry Dipoto (8),390,R
779,779.,Dan Jennings (8),390,L
780,779.,Clarence Mitchell (18),390,L
781,779.,Fritz Ostermueller (15),390,L
782,779.,Mark Petkovsek (9),390,R
783,779.,Rip Sewell (13),390,R
784,779.,Hippo Vaughn (13),390,L
785,779.,Randy Wolf (16),390,L
786,787.,Scott Erickson (15),389,R
787,787.,Jimmy Ring (12),389,R
788,789.,Sam Leever (13),388,R
789,789.,Earl Moore (14),388,R
790,789.,Jake Peavy (15),388,R
791,789.,Jack Sanford (12),388,R
792,789.,Jack Stivetts (11),388,R
793,789.,Junichi Tazawa (9),388,R
794,795.,Mace Brown (10),387,R
795,795.,Aaron Harang (14),387,R
796,795.,Andy Hassler (14),387,L
797,795.,Nick Masset (8),387,R
798,795.,Ervin Santana (15),387,R
799,800.,Brendan Donnelly (9),386,R
800,800.,Kerry Ligtenberg (8),386,R
801,800.,Vicente Padilla (14),386,R
802,800.,Bob Purkey (13),386,R
803,804.,Jim Brosnan (9),385,R
804,804.,Joba Chamberlain (10),385,R
805,804.,Ken Dayley (11),385,L
806,804.,Rob Dibble (7),385,R
807,804.,Steve Mingori (10),385,L
808,804.,"Ryan Pressly (8, 31)",385,R
809,804.,Ted Wilks (10),385,R
810,811.,"Fernando Abad (9, 34)",384,L
811,811.,Mark Gubicza (14),384,R
812,811.,Al Holland (10),384,L
813,811.,Alberto Reyes (13),384,R
814,815.,Ray Kolp (12),383,R
815,816.,Ron Darling (13),382,R
816,816.,Neal Heaton (12),382,L
817,816.,Mark Lowe (11),382,R
818,816.,Schoolboy Rowe (15),382,R
819,820.,Brett Myers (12),381,R
820,820.,Dick Radatz (7),381,R
821,822.,Theodore Breitenstein (11),380,L
822,822.,Sean Burnett (9),380,L
823,822.,Sid Hudson (12),380,R
824,822.,Bruce Kison (15),380,R
825,822.,Kirk McCaskill (12),380,R
826,827.,Sam Gray (10),379,R
827,827.,Joe Haynes (14),379,R
828,827.,Bruce Hurst (15),379,L
829,827.,Billy Koch (6),379,R
830,827.,Tom Underwood (11),379,L
831,832.,Ed Brandt (11),378,L
832,832.,Bill Donovan (18),378,R
833,832.,Brad Radke (12),378,R
834,835.,Johnny Antonelli (12),377,L
835,835.,Hal Carlson (14),377,R
836,835.,Jason Hammel (13),377,R
837,835.,Esteban Loaiza (14),377,R
838,835.,Jason Marquis (15),377,R
839,835.,"AJ Ramos (8, 33)",377,R
840,835.,"Max Scherzer (13, 35)",377,R
841,835.,"Will Smith (8, 30)",377,L
842,843.,George Caster (12),376,R
843,843.,Sam Dyson (8),376,R
844,843.,Freddy Garcia (15),376,R
845,843.,Bill Hutchison (9),376,R
846,843.,Terry Leach (11),376,R
847,843.,Tom Martin (11),376,L
848,843.,Jose Rijo (14),376,R
849,843.,Dave Schmidt (12),376,R
850,851.,Ricky Bones (11),375,R
851,851.,Denny Galehouse (15),375,R
852,851.,"Anthony Swarzak (10, 34)",375,R
853,851.,Ryan Webb (8),375,R
854,855.,Wes Ferrell (15),374,R
855,855.,Bill Hands (11),374,R
856,855.,Thornton Lee (16),374,L
857,858.,"Dellin Betances (9, 32)",373,R
858,858.,"Trevor Rosenthal (8, 30)",373,R
859,858.,Sherry Smith (14),373,L
860,861.,Deacon Phillippe (13),372,R
861,861.,Joe Price (11),372,L
862,861.,Todd Stottlemyre (14),372,R
863,861.,"Blake Treinen (7, 32)",372,R
864,865.,Wesley Wright (8),371,L
865,866.,Ed Farmer (11),370,R
866,866.,Larry McWilliams (13),370,L
867,866.,Dan Petry (13),370,R
868,869.,"Ian Kennedy (14, 35)",369,R
869,869.,Mike Krukow (14),369,R
870,871.,Pedro Borbon (9),368,L
871,871.,Jim Corsi (10),368,R
872,871.,Roger Craig (12),368,R
873,871.,Lefty Gomez+ (14),368,L
874,871.,Ron Guidry (14),368,L
875,876.,Juan Acevedo (8),367,R
876,876.,Jared Burton (8),367,R
877,876.,Red Donahue (13),367,R
878,876.,Bob Groom (10),367,R
879,876.,Elam Vangilder (11),367,R
880,881.,Bill Dietrich (16),366,R
881,881.,Frank Dwyer (12),366,R
882,881.,Johnny Schmitz (13),366,L
883,884.,Jon Garland (13),365,R
884,884.,Jerry Johnson (10),365,R
885,884.,Ray Moore (11),365,R
886,884.,Joe Oeschger (12),365,R
887,884.,Roy Oswalt (13),365,R
888,884.,Bryn Smith (13),365,R
889,884.,Mark Williamson (8),365,R
890,891.,Pete Mikkelsen (9),364,R
891,891.,Van Mungo (14),364,R
892,891.,"Juan Nicasio (10, 33)",364,R
893,891.,"Jeff Samardzija (13, 35)",364,R
894,895.,Cecilio Guante (9),363,R
895,895.,Andy McGaffigan (11),363,R
896,897.,Red Ehret (11),362,R
897,897.,Art Fowler (9),362,R
898,897.,Joel Hanrahan (7),362,R
899,897.,T.J. Mathews (8),362,R
900,897.,"Carlos Torres (10, 37)",362,R
901,902.,Joe Horlen (12),361,R
902,902.,Jon Matlack (13),361,L
903,902.,Jaime Navarro (12),361,R
904,902.,John Smiley (12),361,L
905,902.,Kevin Tapani (13),361,R
906,902.,Herm Wehmeier (13),361,R
907,908.,Claude Hendrix (10),360,R
908,908.,Johan Santana (12),360,L
909,908.,Joe Shaute (13),360,L
910,908.,Zane Smith (13),360,L
911,908.,Mel Stottlemyre (11),360,R
912,908.,Whit Wyatt (16),360,R
913,914.,"Jose Alvarez (8, 31)",359,L
914,914.,Manny Corpas (7),359,R
915,914.,Darryl Kile (12),359,R
916,914.,Gary Peters (14),359,L
917,914.,Lee Stange (10),359,R
918,914.,Sammy Stewart (10),359,R
919,914.,Jesse Tannehill (15),359,L
920,914.,Todd Van Poppel (11),359,R
921,922.,Hal Brown (14),358,R
922,922.,Kevin Correia (13),358,R
923,922.,Tom Hall (10),358,L
924,922.,"Dan Otero (8, 35)",358,R
925,926.,"Neftali Feliz (9, 32)",357,R
926,926.,"Ken Giles (7, 29)",357,R
927,926.,Dustin Hermanson (12),357,R
928,926.,Steve Karsay (11),357,R
929,926.,"Clayton Kershaw (13, 32)",357,L
930,926.,Denny Lemaster (11),357,L
931,926.,Pat Malone (10),357,R
932,926.,Hooks Wiltse (12),357,L
933,934.,Brian Boehringer (10),356,R
934,934.,Larry Dierker (14),356,R
935,934.,Marv Grissom (10),356,R
936,934.,Dave Heaverlo (7),356,R
937,934.,Ted Lilly (15),356,L
938,934.,Scott McGregor (13),356,L
939,934.,Jack Scott (12),356,R
940,934.,Al Smith (12),356,L
941,942.,Wilson Alvarez (14),355,L
942,942.,"Pedro Baez (7, 32)",355,R
943,942.,Watty Clark (12),355,L
944,942.,Milt Gaston (11),355,R
945,942.,Bud Norris (10),355,R
946,942.,Fritz Peterson (11),355,L
947,942.,"Rick Porcello (12, 31)",355,R
948,942.,Dick Ruthven (14),355,R
949,942.,Jeff Weaver (11),355,R
950,951.,Jim Brower (9),354,R
951,951.,Jack Coombs (14),354,R
952,951.,Steve Hargan (12),354,R
953,951.,Frank Smith (11),354,R
954,951.,Carlos Zambrano (12),354,R
955,956.,Dave Goltz (12),353,R
956,956.,Mike Holtz (8),353,L
957,956.,Danny Jackson (15),353,L
958,959.,Johnny Allen (13),352,R
959,959.,"Trevor Cahill (12, 32)",352,R
960,959.,Tony Cloninger (12),352,R
961,959.,Scott Garrelts (10),352,R
962,959.,Cal McLish (15),352,R
963,964.,Danny Frisella (10),351,R
964,964.,Bob Ojeda (15),351,L
965,964.,Frank Sullivan (11),351,R
966,967.,Chris Carpenter (15),350,R
967,967.,Randy Flores (8),350,L
968,967.,George Kontos (8),350,R
969,967.,Frank Lary (12),350,R
970,967.,Danny Patterson (9),350,R
971,967.,Hipolito Pichardo (10),350,R
972,967.,Enrique Romo (6),350,R
973,967.,"Anibal Sanchez (15, 36)",350,R
974,967.,Bob Walk (14),350,R
975,976.,Ken Brett (14),349,L
976,976.,Slim Harriss (9),349,R
977,976.,Juan Carlos Oviedo (8),349,R
978,976.,Omar Olivares (12),349,R
979,976.,Brad Penny (14),349,R
980,976.,Nels Potter (12),349,R
981,982.,John Habyan (11),348,R
982,982.,Bobby Jenks (7),348,R
983,982.,Barry Jones (8),348,R
984,982.,Dave Koslo (12),348,L
985,982.,Jose Lima (13),348,R
986,982.,Cecil Upshaw (9),348,R
987,988.,Mike Bielecki (14),347,R
988,988.,George Bradley (11),347,R
989,988.,Mike Mohler (9),347,L
990,988.,Jeff Pfeffer (13),347,R
991,988.,Mike Scott (13),347,R
992,988.,Al Spalding+ (8),347,R
993,988.,Bill Wight (12),347,L
994,995.,Mark Baldwin (7),346,R
995,995.,Ray Benge (12),346,R
996,995.,Mark Portugal (15),346,R
997,995.,Fred Scherman (8),346,L
998,995.,Lary Sorensen (11),346,R
999,995.,Johnny Vander Meer (13),346,L
