,Rank,"Player (yrs, age)",Runs Created,Bats
0,1.,Barry Bonds (22),2892,L
1,2.,Babe Ruth+ (22),2718,L
2,3.,Stan Musial+ (22),2552,L
3,4.,Hank Aaron+ (23),2549,R
4,5.,Ty Cobb+ (24),2515,L
5,6.,Ted Williams+ (19),2393,L
6,7.,Willie Mays+ (22),2366,R
7,8.,Alex Rodriguez (22),2274,R
8,9.,Lou Gehrig+ (17),2233,L
9,10.,Pete Rose (24),2219,B
10,11.,"Albert Pujols (20, 40)",2213,R
11,12.,Rickey Henderson+ (25),2164,R
12,13.,Tris Speaker+ (22),2152,L
13,14.,Carl Yastrzemski+ (23),2145,L
14,15.,Jimmie Foxx+ (20),2129,R
15,16.,Frank Robinson+ (21),2128,R
16,17.,Mel Ott+ (22),2064,L
17,18.,Mickey Mantle+ (18),2047,B
18,19.,Rogers Hornsby+ (23),2045,R
19,20.,Rafael Palmeiro (20),2040,L
20,21.,Manny Ramirez (19),2005,R
21,22.,Frank Thomas+ (19),2002,R
22,23.,Ken Griffey Jr.+ (22),1994,L
23,24.,Jim Thome+ (22),1991,L
24,25.,Chipper Jones+ (19),1965,B
25,26.,Gary Sheffield (22),1946,R
26,27.,Eddie Murray+ (21),1942,B
27,28.,Derek Jeter+ (20),1910,R
28,29.,"Miguel Cabrera (18, 37)",1899,R
29,30.,Honus Wagner+ (21),1888,R
30,31.,George Brett+ (21),1878,L
31,32.,Paul Molitor+ (21),1873,R
32,33.,Todd Helton (17),1848,L
33,34.,Al Kaline+ (22),1847,R
34,35.,Craig Biggio+ (20),1832,R
35,35.,David Ortiz (20),1832,L
36,37.,Dave Winfield+ (22),1813,R
37,38.,Eddie Collins+ (25),1811,L
38,39.,Cap Anson+ (27),1804,R
39,39.,Joe Morgan+ (22),1804,L
40,41.,Paul Waner+ (20),1800,L
41,42.,Jeff Bagwell+ (15),1788,R
42,43.,Al Simmons+ (20),1787,R
43,44.,Adrian Beltre (21),1781,R
44,45.,Reggie Jackson+ (21),1771,L
45,46.,Mike Schmidt+ (18),1757,R
