,Rank,"Player (yrs, age)",Situ. Wins Added (WPA/LI),Bats
630,631.,"Trea Turner (6, 27)",7.89,R
631,632.,Steve Braun (15),7.87,L
632,633.,Frank Demaree (12),7.86,R
633,633.,Dale Mitchell (11),7.86,L
634,635.,"David Peralta (7, 32)",7.83,L
635,636.,Wally Moses (17),7.79,L
636,637.,Nate Colbert (10),7.78,R
637,638.,Todd Zeile (16),7.74,R
638,639.,Curt Flood (15),7.71,R
639,640.,Jimmy Dykes (22),7.68,R
640,641.,Luke Scott (9),7.67,L
641,642.,Ken Phelps (11),7.66,L
642,643.,Tony Clark (15),7.63,B
643,643.,Jerry Mumphrey (15),7.63,B
644,643.,Wes Parker (9),7.63,B
645,643.,Willie Randolph (18),7.63,R
646,643.,Dmitri Young (13),7.63,B
647,648.,"Corey Dickerson (8, 31)",7.62,L
648,649.,Bobby Veach (14),7.61,L
649,650.,Manny Mota (20),7.57,R
650,651.,Joe Judge (20),7.52,L
651,652.,Gene Richards (8),7.51,L
652,653.,"Francisco Lindor (6, 26)",7.49,B
653,653.,Robby Thompson (11),7.49,R
654,655.,Chet Laabs (11),7.48,R
655,656.,Lee Lacy (16),7.47,R
656,657.,Luke Easter (6),7.46,L
657,658.,"Tommy Pham (7, 32)",7.45,R
658,659.,Kevin Millar (12),7.41,R
659,660.,Carlos Guillen (14),7.37,B
660,661.,Gus Zernial (11),7.34,R
661,662.,Ed Bouchee (7),7.31,L
662,662.,Rick Reichardt (11),7.31,R
663,664.,Pinky Higgins (14),7.30,R
664,665.,Adam Jones (14),7.28,R
665,666.,Bubbles Hargrave (12),7.25,R
666,666.,Joe Vosmik (13),7.25,R
667,668.,Danny Taylor (9),7.21,R
668,669.,"Brett Gardner (13, 36)",7.20,L
669,670.,Carl Crawford (15),7.18,L
670,671.,Don Lock (8),7.17,R
671,672.,Gary Roenicke (12),7.16,R
672,673.,Carl Reynolds (13),7.15,R
673,674.,Cecil Travis (12),7.14,L
674,675.,Jack Cust (10),7.09,L
675,676.,Jacoby Ellsbury (11),7.08,L
676,677.,Joe Carter (16),7.07,R
677,677.,"Max Muncy (5, 29)",7.07,L
678,679.,Wally Pipp (15),7.06,L
679,680.,Al Dark (14),7.05,R
680,680.,Steve Henderson (12),7.05,R
681,682.,Joe Kuhel (18),7.04,L
682,683.,Don Demeter (11),7.02,R
683,684.,Jake Daubert (15),7.01,L
684,685.,Gates Brown (13),7.00,L
685,686.,Ron Northey (12),6.99,L
686,687.,Walker Cooper (18),6.98,R
687,688.,Johnny Moore (10),6.94,L
688,689.,Bill Melton (10),6.92,R
689,689.,Lloyd Moseby (12),6.92,L
690,691.,Johnny Frederick (6),6.89,L
691,691.,Jimmie Hall (8),6.89,L
692,691.,Ellis Valentine (10),6.89,R
693,694.,Shane Mack (9),6.87,R
694,694.,Red Rolfe (10),6.87,L
695,696.,Albie Pearson (9),6.86,L
696,697.,Bobby Avila (11),6.85,R
697,697.,Ralph Garr (13),6.85,L
698,699.,Ron Blomberg (8),6.84,L
699,699.,Bernard Gilkey (12),6.84,R
700,699.,Howie Kendrick (15),6.84,R
701,702.,Frank Thomas (16),6.81,R
702,703.,Pat Kelly (15),6.80,L
703,703.,Danny Litwhiler (11),6.80,R
704,705.,Charlie Jamieson (18),6.79,L
705,705.,Andy Seminick (15),6.79,R
706,707.,Tom Brunansky (14),6.78,R
707,707.,"Eric Hosmer (10, 30)",6.78,L
708,707.,Walt Moryn (8),6.78,L
709,707.,Taffy Wright (9),6.78,L
710,711.,Solly Hemus (11),6.77,L
711,712.,"Ronald Acuna Jr. (3, 22)",6.71,R
712,713.,Sam Leslie (10),6.69,L
713,714.,"Yasmani Grandal (9, 31)",6.68,B
714,714.,"Joc Pederson (7, 28)",6.68,L
715,716.,"DJ LeMahieu (10, 31)",6.66,R
716,717.,Ed Konetchy (15),6.65,R
717,718.,Woodie Held (14),6.64,R
718,719.,Dave Henderson (14),6.63,R
719,720.,Seth Smith (11),6.61,L
720,721.,"Kyle Schwarber (6, 27)",6.60,L
721,722.,Denis Menke (13),6.58,R
722,723.,"Adam Eaton (9, 31)",6.57,L
723,723.,Mickey Rivers (15),6.57,L
724,725.,Heinie Groh (16),6.54,R
725,726.,Jimmy Rollins (17),6.49,B
726,727.,David Segui (15),6.48,B
727,727.,John Wockenfuss (12),6.48,R
728,729.,Willie McGee (18),6.47,B
729,730.,Russell Branyan (14),6.45,L
730,730.,Brian Jordan (15),6.45,R
731,730.,Claudell Washington (17),6.45,L
732,733.,"Rhys Hoskins (4, 27)",6.42,R
733,733.,Babe Young (8),6.42,L
734,735.,Mark Reynolds (13),6.40,R
735,736.,Johnny Mostil (10),6.37,R
736,736.,Jorge Orta (16),6.37,L
737,738.,Jason Kendall (15),6.34,R
738,739.,Ed Charles (8),6.31,R
739,740.,Jeff Cirillo (14),6.29,R
740,741.,Denard Span (11),6.28,L
741,742.,Ken Harrelson (9),6.27,R
742,743.,Jim King (11),6.25,L
743,743.,Larry Parrish (15),6.25,R
744,743.,Earl Webb (7),6.25,L
745,746.,Harvey Hendrick (11),6.24,L
746,747.,Juan Samuel (16),6.22,R
747,748.,Pedro Alvarez (9),6.15,L
748,749.,Roberto Kelly (14),6.14,R
749,749.,Joe Rudi (16),6.14,R
750,751.,Lyman Bostock (4),6.13,L
751,751.,Melvin Mora (13),6.13,R
752,753.,David DeJesus (13),6.08,L
753,753.,Garry Maddox (15),6.08,R
754,755.,Dean Palmer (14),6.07,R
755,756.,Casey Stengel+ (14),6.06,L
756,757.,Jackie Brandt (11),6.05,R
757,757.,Dave Nilsson (8),6.05,L
758,759.,Jeff King (11),6.03,R
759,760.,Sherm Lollar (18),6.02,R
760,761.,George Altman (9),6.00,L
761,762.,Eddie Joost (17),5.99,R
762,763.,Chase Headley (12),5.97,B
763,764.,Bobby Estalella (9),5.94,R
764,765.,Jeff Conine (17),5.93,R
765,766.,Bip Roberts (12),5.91,B
766,767.,Ron Kittle (10),5.90,R
767,768.,"Xander Bogaerts (8, 27)",5.88,R
768,769.,Jose Cruz (12),5.87,B
769,769.,John Jaso (9),5.87,L
770,771.,Ryan Ludwick (12),5.85,R
771,771.,"Matt Olson (5, 26)",5.85,L
772,773.,Marcus Giles (7),5.82,R
773,774.,Joe Collins (10),5.80,L
774,775.,Martin Prado (14),5.77,R
775,775.,Dick Wakefield (9),5.77,L
776,777.,"Jason Kipnis (10, 33)",5.75,L
777,778.,Lance Parrish (19),5.73,R
778,779.,"Chris Davis (13, 34)",5.72,L
779,780.,Braggo Roth (8),5.71,R
780,781.,Corey Koskie (9),5.69,L
781,782.,Al Ferrara (8),5.68,R
782,783.,"Matthew Joyce (13, 35)",5.67,L
783,783.,Jim Pagliaroni (11),5.67,R
784,783.,"Miguel Sano (6, 27)",5.67,R
785,786.,Joe Pepitone (12),5.66,L
786,787.,Earl Battey (13),5.65,R
787,788.,Greg Gross (17),5.58,L
788,789.,John Lowenstein (16),5.57,L
789,790.,Otto Velez (11),5.55,R
790,791.,Kendrys Morales (13),5.54,B
791,791.,Pete O'Brien (12),5.54,L
792,791.,Billy Southworth+ (13),5.54,L
793,794.,Cookie Lavagetto (10),5.53,R
794,794.,Elmer Smith (10),5.53,L
795,796.,Irv Noren (11),5.52,L
796,797.,David Freese (11),5.51,R
797,797.,Johnny Lindell (12),5.51,R
798,797.,Miguel Montero (13),5.51,L
799,800.,Snuffy Stirnweiss (10),5.48,R
800,801.,Jerry Lynch (13),5.45,L
801,801.,Preston Wilson (10),5.45,R
802,803.,Carmelo Martinez (9),5.43,R
803,803.,"J.T. Realmuto (7, 29)",5.43,R
804,805.,Randy Ready (13),5.42,R
805,805.,Tony Solaita (7),5.42,L
806,807.,Eric Karros (14),5.37,R
807,808.,Cal Abrams (8),5.36,L
808,808.,Shannon Stewart (14),5.36,R
809,810.,Duke Sims (11),5.35,L
810,810.,Tillie Walker (13),5.35,R
811,812.,Glenallen Hill (13),5.34,R
812,813.,"Wil Myers (8, 29)",5.33,R
813,814.,Melky Cabrera (15),5.27,B
814,814.,Elston Howard (14),5.27,R
815,816.,Al Bumbry (14),5.26,L
816,817.,Keith Moreland (12),5.25,R
817,818.,Sam Chapman (11),5.22,R
818,818.,John Valentin (11),5.22,R
819,820.,"Matt Chapman (4, 27)",5.18,R
820,820.,Bob Fothergill (12),5.18,R
821,822.,Cody Ross (12),5.15,R
822,823.,"Mitch Haniger (4, 29)",5.13,R
823,824.,Curt Walker (12),5.12,L
