,Rank,"Player (yrs, age)",Situ. Wins Added (WPA/LI),Bats
302,302.,Carlos Lee (14),18.05,R
303,304.,Kenny Lofton (17),18.00,L
304,305.,"Justin Turner (12, 35)",17.91,R
305,306.,Jeff Heath (14),17.86,L
306,307.,Riggs Stephenson (14),17.85,R
307,308.,"J.D. Martinez (10, 32)",17.84,R
308,309.,Joe Cunningham (12),17.73,L
309,310.,Mike Hargrove (12),17.69,L
310,311.,Wally Moon (12),17.58,L
311,312.,Bobby Doerr+ (14),17.51,R
312,313.,George Grantham (13),17.44,L
313,313.,Jackie Jensen (11),17.44,R
314,315.,"Kris Bryant (6, 28)",17.43,R
315,316.,Robin Ventura (16),17.42,L
316,317.,Dick McAuliffe (16),17.38,L
317,318.,Oscar Gamble (17),17.35,L
318,319.,Jeromy Burnitz (14),17.33,L
319,320.,Carl Furillo (15),17.16,R
320,321.,"José Abreu (7, 33)",17.08,R
321,322.,Lee May (18),17.02,R
322,323.,Norm Siebern (12),17.01,L
323,324.,Rudy York (13),16.99,R
324,325.,Alvin Davis (9),16.95,L
325,326.,Del Ennis (14),16.90,R
326,327.,Pee Wee Reese+ (16),16.89,R
327,328.,Von Hayes (12),16.82,L
328,329.,Larry Hisle (14),16.78,R
329,330.,Jason Thompson (11),16.77,L
330,331.,Sixto Lezcano (12),16.75,R
331,332.,Frank McCormick (13),16.74,R
332,333.,Felipe Alou (17),16.72,R
333,333.,Don Buford (10),16.72,B
334,335.,Andre Ethier (12),16.68,L
335,336.,Hunter Pence (14),16.61,R
336,337.,Jorge Posada (17),16.57,B
337,338.,Kevin McReynolds (12),16.55,R
338,338.,"Carlos Santana (11, 34)",16.55,B
339,340.,George Scott (14),16.54,R
340,341.,Alfonso Soriano (16),16.50,R
341,342.,Andy Pafko (17),16.41,R
342,342.,Edd Roush+ (18),16.41,L
343,344.,Ben Chapman (15),16.31,R
344,345.,Wally Joyner (16),16.28,L
345,346.,"Buster Posey (11, 33)",16.26,R
346,347.,"Carlos Gonzalez (12, 34)",16.17,L
347,348.,Dave Kingman (16),16.10,R
348,349.,Roy Campanella+ (10),15.94,R
349,350.,"Anthony Rendon (8, 30)",15.93,R
350,351.,Julio Franco (23),15.85,R
351,352.,Hank Sauer (15),15.81,R
352,353.,Jim Gentile (9),15.79,L
353,354.,Bill Skowron (14),15.76,R
354,355.,Howard Johnson (14),15.73,B
355,355.,Pie Traynor+ (17),15.73,R
356,357.,Don Baylor (19),15.69,R
