,Rank,"Player (yrs, age)",Sacrifice Flies,Bats
789,775.,Corey Hart (11),32,R
790,775.,Mike Heath (14),32,R
791,775.,Julian Javier (13),32,R
792,775.,"DJ LeMahieu (10, 31)",32,R
793,775.,Milt May (15),32,L
794,775.,Brian McRae (10),32,B
795,775.,Felix Millan (12),32,R
796,775.,Rick Monday (19),32,L
797,775.,Rance Mulliniks (16),32,L
798,775.,Dave Nilsson (8),32,L
799,775.,Jose Oquendo (12),32,B
800,775.,Jay Payton (12),32,R
801,775.,Jerry Remy (10),32,L
802,775.,Duke Snider+ (18),32,L
803,775.,Lee Stevens (10),32,L
804,775.,Gus Triandos (13),32,R
805,775.,"Justin Turner (12, 35)",32,R
806,775.,Chris Young (13),32,R
807,808.,Marlon Anderson (12),31,L
808,808.,John Bateman (10),31,R
809,808.,Kurt Bevacqua (15),31,R
810,808.,Dave Cash (12),31,R
811,808.,Wayne Causey (11),31,L
812,808.,Ed Charles (8),31,R
813,808.,Dave Collins (16),31,B
814,808.,Tony Conigliaro (8),31,R
815,808.,Joe Crede (10),31,R
816,808.,Warren Cromartie (10),31,L
817,808.,Al Dark (14),31,R
818,808.,Ricky Gutierrez (12),31,R
819,808.,Darryl Hamilton (13),31,L
820,808.,Tommy Harper (15),31,R
821,808.,Scott Hatteberg (14),31,L
822,808.,Eric Hinske (12),31,L
823,808.,Todd Hundley (14),31,B
824,808.,Ray Jablonski (8),31,R
825,808.,Charles Johnson (12),31,R
826,808.,Garrett Jones (8),31,L
827,808.,Ron Kittle (10),31,R
828,808.,Jose Lind (9),31,R
829,808.,Ramon Martinez (12),31,R
830,808.,Casey McGehee (8),31,R
831,808.,"Salvador Perez (9, 30)",31,R
832,808.,Jim Presley (8),31,R
833,808.,Bip Roberts (12),31,B
834,808.,Earl Williams (8),31,R
835,808.,Gene Woodling (17),31,L
836,808.,Gregg Zaun (16),31,B
837,838.,Jerry Adair (13),30,R
838,838.,Mike Aviles (10),30,R
839,838.,Kevin Bass (14),30,B
840,838.,Earl Battey (13),30,R
841,838.,"Gordon Beckham (11, 33)",30,R
842,838.,John Briggs (12),30,L
843,838.,Al Bumbry (14),30,L
844,838.,"Lorenzo Cain (11, 34)",30,R
845,838.,"Chris Carter (8, 33)",30,R
846,838.,"Nicholas Castellanos (8, 28)",30,R
847,838.,"Zack Cozart (9, 34)",30,R
848,838.,Julio Cruz (10),30,B
849,838.,"Josh Donaldson (10, 34)",30,R
850,838.,John Ellis (13),30,R
851,838.,Oscar Gamble (17),30,L
852,838.,"Yan Gomes (9, 32)",30,R
853,838.,Dave Hollins (12),30,B
854,838.,Pat Kelly (15),30,L
855,838.,Mike Lamb (10),30,L
856,838.,Matt Lawton (12),30,L
857,838.,Mark Lemke (11),30,B
858,838.,Keith Lockhart (10),30,L
859,838.,Johnny Logan (13),30,R
860,838.,John Lowenstein (16),30,L
861,838.,Ryan Ludwick (12),30,R
862,838.,Dick McAuliffe (16),30,L
863,838.,Orlando Merced (13),30,B
864,838.,Craig Monroe (9),30,R
865,838.,Carlos Quentin (9),30,R
866,838.,Rip Repulski (9),30,R
867,838.,Bobby Richardson (12),30,R
868,838.,Paul Schaal (11),30,R
869,838.,Seth Smith (11),30,L
870,838.,"Giancarlo Stanton (11, 30)",30,R
871,838.,John Stearns (11),30,R
872,838.,Ed Taubensee (11),30,L
873,838.,Mitch Webster (13),30,B
874,838.,Don Wert (9),30,R
875,876.,Bill Almon (15),29,R
876,876.,Matty Alou (15),29,L
877,876.,Sean Berry (11),29,R
878,876.,"Xander Bogaerts (8, 27)",29,R
879,876.,Glenn Braggs (7),29,R
880,876.,Jackie Brandt (11),29,R
881,876.,Greg Brock (10),29,L
882,876.,Jack Brohamer (9),29,L
883,876.,Bill Bruton (12),29,L
884,876.,Jamey Carroll (12),29,R
885,876.,Mike Davis (10),29,L
886,876.,Travis Hafner (12),29,L
887,876.,Jim Hickman (13),29,R
888,876.,Brian Hunter (10),29,R
889,876.,Austin Jackson (9),29,R
890,876.,Jim Landis (11),29,R
891,876.,Jim Lefebvre (8),29,B
892,876.,Felipe Lopez (11),29,B
893,876.,John Mabry (14),29,L
894,876.,Gary Matthews (12),29,B
895,876.,Charlie Maxwell (14),29,L
896,876.,Dioner Navarro (13),29,B
897,876.,Jim Northrup (12),29,L
898,876.,Wally Post (15),29,R
899,876.,Nick Punto (14),29,B
900,876.,Ernie Riles (9),29,L
901,876.,Chris Sabo (9),29,R
902,876.,Hal Smith (10),29,R
903,876.,Derrel Thomas (15),29,B
904,876.,Bill Tuttle (11),29,R
905,876.,Zoilo Versalles (12),29,R
906,876.,Bump Wills (6),29,B
907,876.,Maury Wills (14),29,B
908,909.,"Yonder Alonso (10, 33)",28,L
909,909.,Alan Bannister (12),28,R
910,909.,"Charlie Blackmon (10, 33)",28,L
911,909.,Ray Boone (13),28,R
912,909.,Emil Brown (10),28,R
913,909.,Andy Carey (11),28,R
914,909.,"Yoenis Céspedes (8, 34)",28,R
915,909.,Willie Crawford (14),28,L
916,909.,Rajai Davis (14),28,R
917,909.,Bo Diaz (13),28,R
918,909.,"Dexter Fowler (13, 34)",28,B
919,909.,Rich Gedman (13),28,L
920,909.,Toby Hall (9),28,R
921,909.,"Josh Harrison (10, 32)",28,R
922,909.,Danny Heep (13),28,L
923,909.,Woodie Held (14),28,R
924,909.,Mike Hershberger (11),28,R
925,909.,Butch Hobson (8),28,R
926,909.,Chris Hoiles (10),28,R
927,909.,Nick Hundley (12),28,R
928,909.,Butch Huskey (7),28,R
929,909.,Lamar Johnson (9),28,R
930,909.,Kevin Kouzmanoff (7),28,R
931,909.,Mike LaValliere (12),28,L
932,909.,Mark Lewis (11),28,R
933,909.,Mike Marshall (11),28,R
934,909.,Carmelo Martinez (9),28,R
935,909.,John Milner (12),28,L
936,909.,Otis Nixon (17),28,B
937,909.,Mike Pagliarulo (11),28,L
938,909.,"Wilson Ramos (11, 32)",28,R
939,909.,Lenny Randle (12),28,B
940,909.,Desi Relaford (11),28,B
941,909.,Leon Roberts (11),28,R
942,909.,"Andrelton Simmons (9, 30)",28,R
943,909.,Willie Upshaw (10),28,L
944,909.,Pete Ward (9),28,L
945,909.,Steve Yeager (15),28,R
946,947.,Willie Aikens (8),27,L
947,947.,Steve Balboni (11),27,R
948,947.,Glenn Beckert (11),27,R
949,947.,Dave Bergman (17),27,L
950,947.,Dale Berra (11),27,R
951,947.,Larry Biittner (14),27,L
952,947.,Hank Blalock (9),27,L
953,947.,Russell Branyan (14),27,L
954,947.,Dave Chalk (9),27,R
955,947.,"Carlos Correa (6, 25)",27,R
956,947.,Clay Dalrymple (12),27,L
957,947.,Lucas Duda (10),27,L
958,947.,Lenny Dykstra (12),27,L
959,947.,Yunel Escobar (11),27,R
960,947.,Gene Freese (12),27,R
961,947.,Carlos Gomez (13),27,R
962,947.,Randy Hundley (14),27,R
963,947.,Mike Ivie (11),27,R
964,947.,Lance Johnson (14),27,L
965,947.,Jacque Jones (10),27,L
966,947.,Ron Karkovice (12),27,R
967,947.,Bobby Knoop (9),27,R
968,947.,Gene Larkin (7),27,B
969,947.,Al Martin (11),27,L
970,947.,Gil McDougald (10),27,R
971,947.,Greg Myers (18),27,L
972,947.,Ron Oester (13),27,B
973,947.,Cody Ross (12),27,R
974,947.,David Ross (15),27,R
975,947.,Cory Snyder (9),27,R
976,947.,Paul Sorrento (11),27,L
977,947.,Denard Span (11),27,L
978,947.,Daryl Spencer (10),27,R
979,947.,Kurt Stillwell (9),27,B
980,947.,Chad Tracy (9),27,L
981,947.,Bobby Valentine (10),27,R
982,947.,Daryle Ward (11),27,L
983,947.,Preston Wilson (10),27,R
984,985.,Clint Barmes (13),26,R
985,985.,Jason Bartlett (10),26,R
986,985.,Geronimo Berroa (11),26,R
987,985.,Henry Blanco (16),26,R
988,985.,Rico Brogna (9),26,L
989,985.,John Buck (11),26,R
990,985.,Luis Castillo (15),26,B
991,985.,Greg Colbrunn (13),26,R
992,985.,Wes Covington (11),26,L
993,985.,Greg Dobbs (11),26,L
994,985.,Ryan Doumit (10),26,B
995,985.,Johnny Estrada (8),26,B
996,985.,Evan Gattis (6),26,R
997,985.,"Dee Strange-Gordon (10, 32)",26,L
998,985.,"Yasmani Grandal (9, 31)",26,B
999,985.,Bill Hall (11),26,R
1000,985.,Glenallen Hill (13),26,R
1001,985.,"Jon Jay (11, 35)",26,L
1002,985.,Jeff Keppinger (9),26,R
1003,985.,Tony Kubek (9),26,L
1004,985.,Norm Larker (6),26,L
1005,985.,Don Lock (8),26,R
1006,985.,Eli Marrero (10),26,R
1007,985.,Tommy McCraw (13),26,L
1008,985.,Russ Nixon (12),26,L
1009,985.,Matt Nokes (11),26,L
1010,985.,"Joe Panik (7, 29)",26,L
1011,985.,Craig Paquette (11),26,R
1012,985.,"Jose Ramirez (8, 27)",26,B
1013,985.,Bob Robertson (11),26,R
1014,985.,Gary Roenicke (12),26,R
1015,985.,Al Rosen (10),26,R
1016,985.,Brian Schneider (13),26,L
1017,985.,Dick Schofield (14),26,R
