,Rank,"Player (yrs, age)",Assists as LF (s.1901),Throws
0,1.,Zack Wheat+ (19),232,R
1,2.,Duffy Lewis (11),209,R
2,3.,Bobby Veach (14),199,R
3,4.,Bob Johnson (13),182,R
4,5.,Goose Goslin+ (18),180,R
5,5.,Jimmy Sheckard (17),180,R
6,7.,Carl Yastrzemski+ (23),177,R
7,8.,Barry Bonds (22),158,L
8,9.,Charlie Jamieson (18),149,L
9,10.,Ken Williams (14),146,R
10,11.,Jack Graney (14),142,L
11,12.,George Burns (15),136,R
12,13.,Sherry Magee (16),133,R
13,14.,Jim Rice+ (16),132,R
14,15.,Joe Medwick+ (17),129,R
15,15.,Minnie Minoso (17),129,R
16,17.,Ted Williams+ (19),126,R
17,18.,Rickey Henderson+ (25),124,L
18,19.,Tim Raines+ (23),123,R
19,20.,Bob Bescher (11),122,L
20,20.,Carson Bigbee (11),122,R
21,22.,Bibb Falk (12),119,L
22,23.,Billy Williams+ (18),116,R
23,24.,Al Simmons+ (20),114,R
24,25.,Luis Gonzalez (19),110,R
25,26.,Gary Matthews (16),107,R
26,27.,Lou Brock+ (19),106,L
27,28.,Tillie Walker (13),105,R
28,29.,Matty McIntyre (10),103,L
29,30.,Del Ennis (14),102,R
30,30.,Bernard Gilkey (12),102,R
31,30.,"Alex Gordon (14, 36)",102,R
32,33.,Fred Clarke+ (21),100,R
33,33.,Jo-Jo Moore (12),100,R
34,35.,Carlos Lee (14),99,R
35,36.,Irish Meusel (11),98,R
36,37.,Max Carey+ (20),97,R
37,37.,George Foster (18),97,R
38,39.,Alfonso Soriano (16),96,R
39,39.,Willie Stargell+ (21),96,L
40,41.,Patsy Dougherty (10),94,R
41,42.,Pat Burrell (12),92,R
42,42.,Les Mann (16),92,R
43,44.,Hank Sauer (15),91,R
44,45.,Joe Vosmik (13),90,R
45,46.,Vince Coleman (13),89,R
46,46.,Jose Cruz (19),89,L
47,48.,Raul Ibanez (19),85,R
48,48.,Lonnie Smith (17),85,R
49,50.,Lou Piniella (18),84,R
50,51.,Mike Greenwell (12),83,R
51,52.,Ben Oglivie (16),82,L
52,53.,Garret Anderson (17),81,L
53,54.,Roy White (15),80,R
54,55.,Rube Ellis (4),78,L
55,55.,Burt Shotton (14),78,R
56,55.,Gene Woodling (17),78,R
57,58.,Babe Ruth+ (22),77,L
58,58.,Gus Zernial (11),77,R
59,60.,Bobby Higginson (11),75,R
60,61.,George Bell (12),74,R
61,61.,Geoff Jenkins (11),74,R
62,61.,Howie Shanks (14),74,R
63,64.,Ralph Kiner+ (10),73,R
64,64.,Heinie Manush+ (17),73,L
65,66.,George Stone (7),72,L
66,67.,Steve Henderson (12),71,R
67,68.,Cliff Floyd (17),70,R
68,68.,Chick Hafey+ (13),70,R
69,70.,Davy Jones (15),69,R
70,71.,"Ryan Braun (14, 36)",68,R
71,71.,Melky Cabrera (15),68,L
72,71.,Matt Holliday (15),68,R
73,74.,Kevin McReynolds (12),67,R
74,74.,Bob Meusel (11),67,R
75,74.,Moose Solters (9),67,R
76,77.,Greg Luzinski (15),66,R
77,77.,Mike Menosky (9),66,R
78,77.,Bob Skinner (12),66,R
79,77.,B.J. Surhoff (19),66,R
80,81.,Jason Bay (11),65,R
81,81.,Pat Duncan (7),65,R
82,81.,Augie Galan (16),65,R
83,81.,Jeffrey Leonard (14),65,R
84,81.,Austin McHenry (5),65,R
85,81.,Luis Polonia (12),65,L
86,81.,Riggs Stephenson (14),65,R
87,88.,Dusty Baker (19),64,R
88,88.,Manny Ramirez (19),64,R
89,88.,Greg Vaughn (15),64,R
90,91.,Albert Belle (12),63,R
91,91.,Jeff Heath (14),63,R
92,93.,Dan Gladden (11),62,R
93,93.,Topsy Hartsel (14),62,L
94,95.,Gary Ward (12),61,R
95,96.,Tommy Davis (18),59,R
96,96.,Carlos May (10),59,R
97,96.,Frank Robinson+ (21),59,R
98,99.,Gene Richards (8),58,L
99,99.,Frank Schulte (15),58,R
100,101.,Ralph Garr (13),57,R
101,102.,Sid Gordon (13),56,R
102,102.,Roy Johnson (10),56,R
103,104.,"Yoenis Céspedes (8, 34)",55,R
104,104.,Carl Crawford (15),55,L
105,104.,Shoeless Joe Jackson (13),55,R
106,104.,Joe Rudi (16),55,R
107,104.,Frank Thomas (16),55,R
108,109.,Phil Bradley (8),54,R
109,109.,Willie Horton (18),54,R
110,109.,Pete Incaviglia (12),54,R
111,109.,Steve Kemp (11),54,L
112,113.,Moises Alou (17),53,R
113,113.,Larry Herndon (14),53,R
114,113.,Alex Johnson (13),53,R
115,116.,Dante Bichette (14),52,R
116,116.,Ping Bodie (9),52,R
117,116.,"Michael Brantley (12, 33)",52,L
118,116.,Rube Bressler (19),52,L
119,116.,"Brett Gardner (13, 36)",52,L
120,116.,Bill Lamar (9),52,R
121,116.,Gee Walker (15),52,R
122,123.,Jeff Conine (17),51,R
123,123.,Gary Redus (13),51,R
124,125.,Morrie Arnovich (7),50,R
125,125.,Gil Coan (11),50,R
126,125.,"Starling Marte (9, 31)",50,R
127,125.,Carmelo Martinez (9),50,R
128,129.,Pete Rose (24),49,R
129,129.,Jim Russell (10),49,R
130,129.,Shannon Stewart (14),49,R
131,129.,Leon Wagner (12),49,R
132,133.,Ron Gant (16),48,R
133,133.,Stan Musial+ (22),48,L
134,133.,Gerardo Parra (11),48,L
135,136.,Ray Blades (10),47,R
136,136.,Marty Cordova (9),47,R
137,136.,Warren Cromartie (10),47,L
138,136.,Adam Dunn (14),47,R
139,136.,Frank Howard (16),47,R
140,136.,Danny Litwhiler (11),47,R
141,136.,Rick Reichardt (11),47,R
142,136.,John Stone (11),47,R
143,136.,Possum Whitted (11),47,R
144,136.,Josh Willingham (11),47,R
145,146.,Kevin Mitchell (13),46,R
146,147.,Ben Chapman (15),45,R
147,147.,Joe Connolly (4),45,R
148,147.,Birdie Cree (8),45,R
149,147.,Kal Daniels (7),45,R
150,147.,Josh Devore (7),45,R
151,147.,Al Martin (11),45,L
152,153.,John Briggs (12),44,L
153,153.,Lee Magee (9),44,R
154,155.,Bob Cerv (12),43,R
155,155.,Bill Hinchman (10),43,R
156,155.,Cleon Jones (13),43,L
157,158.,George Case (11),42,R
158,158.,"Eddie Rosario (6, 28)",42,R
159,158.,Spike Shannon (5),42,R
160,158.,Willie Wilson (19),42,R
161,162.,Bris Lord (8),41,R
162,162.,Sam Mertes (10),41,R
163,164.,Joe Carter (16),40,R
164,164.,Bo Jackson (8),40,R
165,164.,Ward Miller (8),40,R
166,167.,Steve Braun (15),39,R
167,167.,Brian Giles (15),39,L
168,167.,Larry Hisle (14),39,R
169,167.,Peanuts Lowrey (13),39,R
170,167.,Hideki Matsui (10),39,R
171,167.,Red Murray (11),39,R
172,167.,Troy O'Leary (11),39,L
173,167.,Rip Radcliff (10),39,L
174,167.,Henry Rodriguez (11),39,L
175,167.,Delmon Young (10),39,R
176,177.,Hoot Evers (12),38,R
177,177.,Willie Hogan (2),38,R
178,177.,Charlie Keller (13),38,R
179,177.,Dave Kingman (16),38,R
180,177.,Freddy Leach (10),38,R
181,177.,Charlie Maxwell (14),38,L
182,177.,Dale Mitchell (11),38,L
183,177.,Roy Sievers (17),38,R
184,185.,Mike Easler (14),37,R
185,185.,Monte Irvin+ (8),37,R
186,185.,Johnny Mokan (7),37,R
187,185.,Wally Moon (12),37,R
188,185.,Juan Rivera (12),37,R
189,190.,Johnny Bates (9),36,L
190,190.,Chet Chadbourne (5),36,R
191,190.,Rocky Colavito (14),36,R
192,190.,Gus Felix (5),36,R
193,190.,Hal Lee (7),36,R
194,190.,John Lowenstein (16),36,R
195,190.,Gary Roenicke (12),36,R
196,190.,Tom Tresh (9),36,R
197,190.,"Justin Upton (14, 32)",36,R
198,199.,Bob Bailey (17),35,R
199,199.,Jesse Burkett+ (16),35,L
200,199.,Wes Covington (11),35,R
201,199.,Brian Downing (20),35,R
202,199.,Rusty Greer (9),35,L
203,199.,Mel Hall (13),35,L
204,199.,Ken Henderson (16),35,R
205,199.,Manny Mota (20),35,R
206,199.,Joe Orsulak (14),35,L
207,199.,Jim Wynn (15),35,R
208,209.,Dave Collins (16),34,L
209,209.,Hugh High (6),34,L
210,209.,Ryan Klesko (16),34,L
211,209.,Al Smith (12),34,R
212,209.,Terry Whitfield (10),34,R
213,214.,Don Buford (10),33,R
214,214.,"Adam Duvall (7, 31)",33,R
215,214.,Joe Kelley+ (17),33,R
216,214.,Bing Miller (16),33,R
217,214.,Phil Plantier (8),33,R
218,214.,Gary Sheffield (22),33,R
219,214.,Enos Slaughter+ (19),33,R
220,214.,Al Wingo (6),33,R
221,214.,Jim Wohlford (15),33,R
222,223.,Rico Carty (15),32,R
223,223.,Tommy Harper (15),32,R
224,223.,Billy Hatcher (12),32,R
225,223.,Whitey Lockman (15),32,R
226,223.,Craig Monroe (9),32,R
227,223.,Rube Oldring (13),32,R
228,223.,Gene Stephens (12),32,R
229,230.,Claude Cooper (5),31,L
230,230.,Kiki Cuyler+ (18),31,R
231,230.,"Carlos Gonzalez (12, 34)",31,L
232,230.,Mickey Hatcher (12),31,R
233,230.,Smead Jolley (4),31,R
234,230.,Candy Maldonado (15),31,R
