,Rank,"Player (yrs, age)",Stolen Bases,Bats
0,1.,Rickey Henderson+ (25),1406,R
1,2.,Lou Brock+ (19),938,L
2,3.,Billy Hamilton+ (14),914,L
3,4.,Ty Cobb+ (24),897,L
4,5.,Tim Raines+ (23),808,B
5,6.,Vince Coleman (13),752,B
6,7.,Arlie Latham (17),742,R
7,8.,Eddie Collins+ (25),741,L
8,9.,Max Carey+ (20),738,B
9,10.,Honus Wagner+ (21),723,R
10,11.,Joe Morgan+ (22),689,L
11,12.,Willie Wilson (19),668,B
12,13.,Tom Brown (17),658,L
13,14.,Bert Campaneris (19),649,R
14,15.,Kenny Lofton (17),622,L
15,16.,Otis Nixon (17),620,B
16,17.,George Davis+ (20),619,B
17,18.,Juan Pierre (14),614,L
18,19.,Dummy Hoy (14),596,L
19,20.,Maury Wills (14),586,B
20,21.,George Van Haltren (17),583,L
21,22.,Ozzie Smith+ (19),580,B
22,23.,Hugh Duffy+ (17),574,R
23,24.,Bid McPhee+ (18),568,R
24,25.,Brett Butler (17),558,L
25,26.,Davey Lopes (16),557,R
26,27.,Cesar Cedeno (17),550,R
27,28.,Bill Dahlen (21),548,R
28,29.,John Ward+ (17),540,L
29,30.,Herman Long (16),537,L
30,31.,Patsy Donovan (17),518,L
31,31.,Jack Doyle (17),518,R
32,33.,Jose Reyes (16),517,B
33,34.,Barry Bonds (22),514,L
34,35.,Fred Clarke+ (21),509,L
35,35.,Harry Stovey (14),509,R
36,35.,Ichiro Suzuki (19),509,L
37,38.,Luis Aparicio+ (18),506,R
38,39.,Paul Molitor+ (21),504,R
39,40.,Willie Keeler+ (19),495,L
40,40.,Clyde Milan (16),495,L
41,42.,Omar Moreno (12),487,L
42,43.,Carl Crawford (15),480,L
43,44.,Roberto Alomar+ (17),474,B
44,45.,Mike Griffin (12),473,L
45,46.,Jimmy Rollins (17),470,B
46,47.,Tommy McCarthy+ (13),468,R
47,48.,Jimmy Sheckard (17),465,L
48,48.,Eric Young Sr. (15),465,R
49,50.,Delino DeShields (13),463,L
50,51.,Bobby Bonds (14),461,R
51,52.,Ed Delahanty+ (16),456,R
52,53.,Ron LeFlore (9),455,R
53,54.,Curt Welch (10),453,R
54,55.,Steve Sax (14),444,R
55,56.,Joe Kelley+ (17),443,R
56,57.,Sherry Magee (16),441,R
57,58.,John McGraw+ (17),436,L
58,58.,Tris Speaker+ (22),436,L
59,60.,Marquis Grissom (17),429,R
60,61.,Bob Bescher (11),428,B
61,61.,Mike Tiernan (13),428,L
62,63.,Frankie Frisch+ (19),419,B
63,63.,Jimmy Ryan (18),419,R
64,65.,Charlie Comiskey+ (13),416,R
65,66.,Rajai Davis (14),415,R
66,67.,Craig Biggio+ (20),414,R
67,68.,Johnny Damon (18),408,L
68,68.,Tommy Harper (15),408,R
69,70.,Chuck Knoblauch (12),407,R
70,71.,Donie Bush (16),406,B
71,72.,Omar Vizquel (24),404,B
72,73.,Frank Chance+ (17),403,R
73,74.,Bobby Abreu (18),400,L
74,74.,Bill Lange (7),400,R
75,76.,Willie Davis (18),398,L
76,77.,Sam Mertes (10),396,R
77,77.,Juan Samuel (16),396,R
78,79.,Dave Collins (16),395,B
79,79.,Bill North (11),395,B
80,81.,Jesse Burkett+ (16),389,L
81,82.,Tommy Corcoran (18),388,R
82,83.,Tom Daly (17),385,B
83,83.,Freddie Patek (14),385,R
84,85.,George Burns (15),383,R
85,85.,Hugh Nicol (10),383,R
86,85.,Fred Pfeffer (16),383,R
87,85.,Walt Wilmot (10),383,B
88,89.,Nap Lajoie+ (21),380,R
89,90.,Barry Larkin+ (19),379,R
90,91.,Harry Hooper+ (17),375,L
91,91.,George Sisler+ (15),375,L
92,93.,Jack Glasscock (17),372,R
93,94.,Luis Castillo (15),370,B
94,94.,Lonnie Smith (17),370,R
95,96.,Tom Goodwin (14),369,L
96,97.,Tommy Dowd (10),368,R
97,97.,King Kelly+ (16),368,R
98,99.,Sam Crawford+ (19),367,L
99,100.,Hal Chase (15),363,R
100,100.,Tony Womack (13),363,L
101,102.,Tommy Leach (19),361,R
102,103.,Hughie Jennings+ (18),359,R
103,103.,Fielder Jones (15),359,L
104,105.,Derek Jeter+ (20),358,R
105,106.,Buck Ewing+ (18),354,R
106,106.,Gary Pettis (11),354,B
107,108.,Rod Carew+ (19),353,L
108,109.,Willie McGee (18),352,B
109,109.,Tommy Tucker (13),352,B
110,111.,Sam Rice+ (20),351,L
111,112.,George Case (11),349,R
112,112.,Eric Davis (17),349,R
113,114.,Paul Radford (12),346,R
114,114.,Devon White (17),346,B
115,116.,Ryne Sandberg+ (16),344,R
116,117.,Julio Cruz (10),343,B
117,117.,Jacoby Ellsbury (11),343,L
118,119.,Michael Bourn (11),341,L
119,119.,Chone Figgins (12),341,B
120,119.,Amos Otis (17),341,R
121,122.,John Anderson (14),338,B
122,122.,Willie Mays+ (22),338,R
123,124.,Joe Tinker+ (15),336,R
124,125.,Hub Collins (7),335,R
125,126.,Kip Selbach (13),334,R
126,127.,"Dee Strange-Gordon (10, 32)",333,L
127,128.,Elmer Flick+ (13),330,L
128,129.,Jose Cardenal (18),329,R
129,129.,Kid Gleason (22),329,B
130,129.,Ned Hanlon+ (13),329,L
131,129.,Alex Rodriguez (22),329,R
132,133.,Monte Cross (15),328,R
133,133.,Kiki Cuyler+ (18),328,R
134,135.,Lance Johnson (14),327,L
135,135.,Mookie Wilson (12),327,B
136,137.,Jim Fogarty (7),325,R
137,138.,Johnny Evers+ (18),324,L
138,138.,Miller Huggins+ (13),324,B
139,138.,Ed McKean (13),324,R
140,141.,Gary Redus (13),322,R
141,142.,Dave Concepcion (19),321,R
142,142.,Red Murray (11),321,R
143,142.,Darby O'Brien (6),321,R
144,142.,Luis Polonia (12),321,L
145,146.,Steve Finley (19),320,L
146,146.,Buck Herzog (13),320,R
147,148.,Tony Gwynn+ (20),319,L
148,149.,Larry Bowa (16),318,B
149,149.,Billy Shindle (13),318,R
150,151.,Jose Cruz (19),317,L
151,152.,Hans Lobert (14),316,R
152,153.,Brady Anderson (15),315,L
153,153.,Jake Beckley+ (20),315,L
154,155.,Andre Dawson+ (21),314,R
155,155.,Rafael Furcal (14),314,B
156,157.,Carlos Beltran (20),312,B
157,157.,Claudell Washington (17),312,L
158,159.,Coco Crisp (15),309,B
159,159.,Scott Podsednik (11),309,L
160,161.,"Elvis Andrus (12, 31)",305,R
161,161.,"Billy Hamilton (8, 29)",305,B
162,161.,Vada Pinson (18),305,L
163,164.,Reggie Sanders (17),304,R
164,165.,Lave Cross (21),303,R
165,165.,Bobby Lowe (18),303,R
166,167.,Frank Taveras (11),300,R
167,167.,Melvin Upton Jr. (12),300,R
168,169.,Larry Doyle (14),298,L
169,170.,Mike Cameron (17),297,R
170,171.,George Pinkney (10),296,L
171,172.,Edgar Renteria (16),294,R
172,173.,Eddie Burke (8),293,L
173,173.,Dode Paskert (15),293,R
174,173.,Burt Shotton (14),293,L
175,176.,Jake Stenzel (9),292,R
176,177.,Rabbit Maranville+ (23),291,R
177,178.,Steve Brodie (12),289,L
178,178.,Alfonso Soriano (16),289,R
179,180.,Ben Chapman (15),287,R
180,181.,Don Baylor (19),285,R
181,181.,Harry Davis (22),285,R
182,181.,Art Devlin (10),285,R
183,181.,Lenny Dykstra (12),285,L
184,181.,Brian Roberts (14),285,B
185,181.,Fred Tenney (17),285,L
186,187.,Kirk Gibson (17),284,L
187,188.,Dan McGann (12),282,B
188,189.,Julio Franco (23),281,R
189,189.,Hanley Ramirez (15),281,R
190,191.,Dave Foutz (13),280,R
191,191.,Lloyd Moseby (12),280,L
192,193.,Cub Stricker (11),278,R
193,194.,Cap Anson+ (27),277,R
194,195.,Jimmy Slagle (10),274,L
195,196.,Ray Durham (14),273,B
196,197.,Mark McLemore (19),272,B
197,197.,Fred Merkle (16),272,R
198,197.,Yank Robinson (10),272,R
199,200.,George Cutshaw (12),271,R
200,200.,Willie Randolph (18),271,R
201,200.,Robin Yount+ (20),271,R
202,203.,"Brett Gardner (13, 36)",270,L
203,203.,Joe Quinn (17),270,R
204,205.,Cupid Childs (13),269,L
205,205.,Billy Nash (15),269,R
206,207.,Carlos Gomez (13),268,R
207,207.,Edd Roush+ (18),268,L
208,209.,Miguel Dilone (12),267,B
209,209.,Chippy McGarr (10),267,R
210,209.,Mickey Rivers (15),267,L
211,212.,Bill Joyce (8),266,L
212,213.,Bip Roberts (12),264,B
213,214.,Oyster Burns (11),263,R
214,215.,Wid Conroy (11),262,R
215,215.,Jimmy McAleer (13),262,R
216,217.,Patsy Dougherty (10),261,L
217,218.,Shorty Fuller (9),260,R
218,218.,Brian Hunter (10),260,R
219,218.,Doggie Miller (13),260,R
220,221.,Pete Browning (13),258,R
221,221.,Ray Lankford (14),258,L
222,223.,Dan Brouthers+ (19),257,L
223,224.,"Jose Altuve (10, 30)",256,R
224,224.,"Jarrod Dyson (11, 35)",256,L
225,224.,Terry Turner (17),256,R
226,227.,Ed Konetchy (15),255,R
227,227.,Jim McTamany (7),255,R
228,229.,Ginger Beaumont (12),254,L
229,229.,Al Bumbry (14),254,L
230,231.,Von Hayes (12),253,L
231,231.,Frank Isbell (10),253,L
232,231.,Alex Rios (12),253,R
233,231.,Gary Sheffield (22),253,R
234,235.,Bug Holliday (10),252,R
235,236.,Jake Daubert (15),251,L
236,236.,George Moriarty (13),251,R
