,Rank,"Player (yrs, age)",Total Bases,Bats
699,699.,George Wood (13),2163,L
700,701.,Alfredo Griffin (18),2161,B
701,702.,Brad Ausmus (18),2157,R
702,702.,Tommy Holmes (11),2157,L
703,702.,Wally Moon (12),2157,L
704,705.,Sherm Lollar (18),2152,R
705,706.,David DeJesus (13),2149,L
706,706.,Kevin Mitchell (13),2149,R
707,708.,Clete Boyer (16),2148,R
708,708.,Tim McCarver (21),2148,L
709,710.,Tony Gonzalez (12),2146,L
710,711.,David Segui (15),2145,B
711,712.,"Brett Gardner (13, 36)",2144,L
712,713.,Mike Greenwell (12),2141,L
713,714.,Curt Walker (12),2136,L
714,715.,Billy Goodman (16),2135,L
715,715.,Red Kress (14),2135,R
716,717.,Kevin Seitzer (12),2134,R
717,718.,Riggs Stephenson (14),2133,R
718,719.,Ramon Hernandez (15),2130,R
719,719.,Adam Lind (12),2130,L
720,721.,Dan Uggla (10),2128,R
721,722.,Ralph Garr (13),2127,L
722,722.,Wally Schang (19),2127,B
723,724.,Cookie Rojas (16),2126,R
724,725.,Harry Steinfeldt (14),2123,R
725,726.,Kevin Millar (12),2120,R
726,726.,Denard Span (11),2120,L
727,728.,Jose Offerman (15),2118,B
728,729.,"Michael Brantley (12, 33)",2112,L
729,730.,Mark McLemore (19),2110,B
730,731.,Chick Stahl (10),2109,L
731,731.,Mickey Tettleton (14),2109,B
732,733.,Jason Thompson (11),2105,L
733,734.,Bill Hallman (14),2104,R
734,735.,Jose Cruz (12),2103,B
735,736.,Roy Campanella+ (10),2101,R
736,737.,Adam Kennedy (14),2100,L
737,737.,John Stone (11),2100,L
738,739.,"Dexter Fowler (13, 34)",2099,B
739,740.,Billy Jurges (17),2097,R
740,741.,"Jason Heyward (11, 30)",2096,L
741,742.,Ronnie Belliard (13),2095,R
742,743.,Charlie Hayes (14),2094,R
743,744.,Jim Sundberg (16),2093,R
744,744.,Gorman Thomas (13),2093,R
745,746.,Mike Bordick (14),2090,R
746,746.,Hughie Critz (12),2090,R
747,746.,Doug Rader (11),2090,R
748,749.,Bibb Falk (12),2088,L
749,749.,"Bryce Harper (9, 27)",2088,L
750,749.,"Buster Posey (11, 33)",2088,R
751,752.,Melvin Upton Jr. (12),2078,R
752,753.,Billy Shindle (13),2077,R
753,754.,Lance Johnson (14),2076,L
754,755.,Henry Larkin (10),2075,R
755,756.,Earl Torgeson (15),2072,L
756,757.,Carlos Guillen (14),2071,B
757,757.,Jeffrey Leonard (14),2071,R
758,759.,Bruce Bochte (12),2070,L
759,759.,Dots Miller (12),2070,R
760,759.,Ezra Sutton (18),2070,R
761,762.,Tony Batista (11),2069,R
762,762.,Oyster Burns (11),2069,R
763,764.,Juan Encarnacion (11),2066,R
764,764.,Lonny Frey (14),2066,L
765,766.,Phil Rizzuto+ (13),2065,R
766,767.,Roberto Kelly (14),2063,R
767,768.,Tito Francona (15),2062,L
768,769.,Cristian Guzman (11),2061,B
769,770.,Jacque Jones (10),2060,L
770,771.,James Loney (11),2058,L
771,771.,Carl Reynolds (13),2058,R
772,773.,Duffy Lewis (11),2057,R
773,774.,Donn Clendenon (12),2056,R
774,775.,Yunel Escobar (11),2053,R
775,776.,John Reilly (10),2052,R
776,777.,Johnny Evers+ (18),2051,L
777,777.,Hideki Matsui (10),2051,L
778,779.,Manny Trillo (17),2050,R
779,780.,Eddie Joost (17),2049,R
780,781.,Ed Kranepool (18),2047,L
781,781.,Cesar Tovar (12),2047,R
782,783.,Cecil Travis (12),2046,L
783,784.,Oscar Gamble (17),2045,L
784,785.,Duff Cooley (13),2041,L
785,785.,"Kurt Suzuki (14, 36)",2041,R
786,787.,Omar Infante (15),2039,R
787,787.,Ross Youngs+ (10),2039,L
788,789.,Mike Smith (14),2036,L
789,790.,Frank Bolling (12),2034,R
790,791.,Chase Headley (12),2031,B
791,792.,Julian Javier (13),2029,R
792,793.,Del Crandall (16),2028,R
793,794.,Johnny Ray (10),2027,B
794,795.,Lou Bierbauer (13),2025,L
795,795.,Brian McRae (10),2025,B
796,795.,Claude Ritchey (13),2025,B
797,798.,Jacoby Ellsbury (11),2023,L
798,799.,Art Fletcher (13),2022,R
799,799.,Travis Hafner (12),2022,L
800,801.,Chris Young (13),2018,R
801,802.,"Pablo Sandoval (13, 33)",2017,B
802,803.,Bill Bradley (14),2016,R
803,803.,Josh Hamilton (9),2016,L
804,805.,Jim Northrup (12),2015,L
805,805.,Alexei Ramírez (9),2015,R
806,805.,Leon Wagner (12),2015,L
807,808.,Manny Sanguillen (13),2014,R
808,809.,Joe Dugan (14),2011,R
809,810.,Gus Zernial (11),2007,R
810,811.,"Josh Donaldson (10, 34)",1993,R
811,811.,Larry Herndon (14),1993,R
812,813.,Smoky Burgess (18),1992,L
813,813.,Al Lopez+ (19),1992,R
814,813.,Red Rolfe (10),1992,L
815,816.,Kevin Bass (14),1990,B
816,817.,Dave Cash (12),1989,R
817,817.,Dan McGann (12),1989,B
818,819.,Hughie Jennings+ (18),1988,R
819,819.,Matt Lawton (12),1988,L
820,819.,Felix Millan (12),1988,R
821,822.,Casey Blake (13),1987,R
822,823.,Orlando Hudson (11),1986,B
823,824.,Johnny Logan (13),1984,R
824,825.,Todd Walker (12),1981,L
825,826.,Jerry Mumphrey (15),1979,B
826,827.,Bengie Molina (13),1978,R
827,828.,Phil Nevin (12),1976,R
828,829.,"José Abreu (7, 33)",1969,R
829,829.,Shane Victorino (12),1969,R
830,831.,Elmer Valo (20),1968,L
831,831.,Billy Werber (11),1968,R
832,833.,Ray Boone (13),1967,R
833,833.,Mookie Wilson (12),1967,B
834,835.,Mark Ellis (12),1965,R
835,835.,Ken McMullen (16),1965,R
836,837.,Charlie Keller (13),1962,L
837,838.,Sparky Adams (13),1960,R
838,839.,Charlie Comiskey+ (13),1956,R
839,839.,Dick Stuart (10),1956,R
840,841.,Fred Luderus (12),1955,L
841,842.,"Neil Walker (12, 34)",1953,B
842,843.,"Todd Frazier (10, 34)",1951,R
843,844.,Ty Wigginton (12),1950,R
844,845.,Alex Gonzalez (13),1948,R
845,846.,Tip O'Neill (10),1947,R
846,847.,Wally Post (15),1944,R
847,848.,Ivy Olson (14),1943,R
848,849.,Buck Freeman (11),1942,L
849,849.,Carlos Gomez (13),1942,R
850,851.,Davey Johnson (13),1938,R
851,852.,George Cutshaw (12),1935,R
852,853.,Mike Stanley (15),1933,R
853,854.,Tito Fuentes (13),1929,B
854,854.,Jose Hernandez (15),1929,R
