,Rank,"Player (yrs, age)",Total Bases,Bats
195,196.,B.J. Surhoff (19),3414,L
196,197.,Bobby Bonilla (16),3401,B
197,198.,Harry Hooper+ (17),3400,L
198,199.,Kiki Cuyler+ (18),3391,R
199,200.,Earl Averill+ (13),3390,L
200,201.,"Nelson Cruz (16, 39)",3384,R
201,202.,Dick Allen (15),3379,R
202,203.,Adam Dunn (14),3371,L
203,204.,George Foster (18),3370,R
204,205.,Tim Wallach (17),3369,R
205,206.,Curtis Granderson (16),3368,L
206,207.,George Van Haltren (17),3359,L
207,208.,Fred Lynn (17),3352,L
208,209.,Tino Martinez (16),3349,L
209,210.,Nellie Fox+ (19),3347,L
210,211.,Brian Downing (20),3340,R
211,212.,Willie Horton (18),3332,R
212,213.,Jose Cruz (19),3325,L
213,214.,Victor Martinez (16),3320,B
214,215.,Bobby Bonds (14),3316,R
215,215.,Joe Judge (20),3316,L
216,217.,Don Mattingly (14),3301,L
217,218.,Albert Belle (12),3300,R
218,219.,Pie Traynor+ (17),3289,R
219,220.,Red Schoendienst+ (19),3284,B
220,221.,Edd Roush+ (18),3283,L
221,222.,Hal McRae (19),3280,R
222,223.,Brian Giles (15),3279,L
223,224.,Norm Cash (17),3274,L
224,225.,Bobby Doerr+ (14),3270,R
225,226.,Ian Kinsler (14),3268,R
226,227.,Jack Clark (18),3256,R
227,228.,Bill Terry+ (14),3252,L
228,229.,Vinny Castilla (16),3249,R
229,230.,"Joey Votto (14, 36)",3245,L
230,231.,Edgar Renteria (16),3241,R
231,232.,Cesar Cedeno (17),3240,R
232,233.,Joe Kuhel (18),3239,L
233,234.,Frank Howard (16),3235,R
234,235.,George Scott (14),3231,R
235,236.,Ray Durham (14),3228,B
236,237.,Jose Reyes (16),3222,B
237,238.,Keith Hernandez (17),3214,L
238,239.,Jimmy Dykes (22),3213,R
239,240.,Todd Zeile (16),3206,R
240,241.,Joe Adcock (17),3205,R
241,242.,Richie Ashburn+ (15),3196,L
242,243.,Dave Kingman (16),3191,R
243,244.,Chase Utley (16),3189,L
244,245.,Cy Williams (19),3188,L
245,246.,Ron Cey (17),3186,R
246,247.,Dante Bichette (14),3183,R
247,248.,Adam Jones (14),3179,R
248,249.,George Hendrick (18),3178,R
249,250.,Rocky Colavito (14),3177,R
250,251.,Felipe Alou (17),3176,R
251,252.,Sherry Magee (16),3175,R
252,253.,Hugh Duffy+ (17),3174,R
253,254.,Jermaine Dye (14),3167,R
254,255.,Joe Kelley+ (17),3161,R
255,256.,Tony Fernandez (17),3156,B
256,257.,Charlie Grimm (20),3146,L
257,258.,Gabby Hartnett+ (20),3144,R
258,259.,Hank Greenberg+ (13),3142,R
259,260.,Bob Elliott (15),3141,R
260,261.,Chris Chambliss (17),3140,L
261,262.,Billy Herman+ (15),3136,R
262,263.,Gary Matthews (16),3134,R
263,263.,Ken Singleton (15),3134,B
264,265.,Wally Joyner (16),3133,L
265,265.,Robin Ventura (16),3133,L
266,267.,Ken Griffey (19),3117,L
267,268.,Dave Concepcion (19),3114,R
268,269.,Lance Parrish (19),3113,R
269,270.,"Evan Longoria (13, 34)",3108,R
270,270.,Greg Luzinski (15),3108,R
271,272.,Amos Otis (17),3105,R
272,273.,Brandon Phillips (17),3100,R
273,274.,Bid McPhee+ (18),3098,R
274,275.,Bobby Wallace+ (25),3088,R
275,276.,Hanley Ramirez (15),3086,R
276,277.,Boog Powell (17),3085,L
277,278.,Ozzie Smith+ (19),3084,B
278,279.,Jeff Conine (17),3081,R
279,279.,"Matt Kemp (15, 35)",3081,R
280,281.,Ed Konetchy (15),3080,R
281,282.,Devon White (17),3078,B
282,283.,Jay Bell (18),3076,R
283,283.,Brett Butler (17),3076,L
284,285.,Jake Daubert (15),3074,L
285,286.,Dusty Baker (19),3073,R
286,287.,Bill Dickey+ (17),3062,L
287,287.,A.J. Pierzynski (19),3062,L
288,289.,Wally Moses (17),3060,L
289,290.,Lloyd Waner+ (18),3057,L
290,291.,Vernon Wells (15),3051,R
291,292.,Reggie Sanders (17),3042,R
292,293.,Joe Mauer (15),3040,L
293,294.,"Ryan Zimmerman (15, 35)",3039,R
294,295.,Chet Lemon (16),3038,R
295,295.,Pee Wee Reese+ (16),3038,R
296,297.,Mike Cameron (17),3035,R
297,298.,Roy Sievers (17),3033,R
298,299.,Sam Thompson+ (15),3031,L
299,300.,Willie McGee (18),3029,B
300,301.,Minnie Minoso (17),3023,R
301,302.,Ron Gant (16),3016,R
302,303.,"Justin Upton (14, 32)",3015,R
303,304.,Frank White (18),3009,R
304,305.,Arky Vaughan+ (14),3003,L
305,306.,Tony Oliva (15),3002,L
306,307.,Bobby Murcer (17),2993,L
307,308.,Vern Stephens (15),2991,R
308,309.,Dick Bartell (18),2986,R
309,310.,Larry Parrish (15),2983,R
310,311.,Babe Herman (13),2980,L
311,312.,Stuffy McInnis (19),2979,R
312,313.,Kent Hrbek (14),2976,L
313,314.,Bert Campaneris (19),2971,R
314,315.,Al Dark (14),2969,R
315,316.,Tony Phillips (18),2963,B
316,317.,Tommy Corcoran (18),2960,R
317,318.,Tim Salmon (14),2958,R
318,319.,Hunter Pence (14),2957,R
319,320.,Bret Boone (14),2953,R
320,321.,Ted Kluszewski (15),2951,L
321,322.,Orlando Cabrera (15),2947,R
322,322.,Dixie Walker (18),2947,L
323,324.,Joe Sewell+ (14),2945,L
324,324.,David Wright (14),2945,R
325,326.,Prince Fielder (12),2943,L
326,327.,Tommy Leach (19),2942,R
327,327.,Bobby Veach (14),2942,L
328,329.,Ryan Howard (13),2940,L
329,330.,Carney Lansford (15),2939,R
330,331.,Tony Lazzeri+ (14),2938,R
331,331.,Herman Long (16),2938,L
332,333.,Johnny Callison (16),2934,L
333,334.,Ron Fairly (21),2931,L
334,335.,Toby Harrah (17),2926,R
335,336.,Tommy Davis (18),2922,R
336,336.,Carl Furillo (15),2922,R
337,336.,Eric Karros (14),2922,R
338,339.,Bobby Grich (17),2919,R
339,340.,Gee Walker (15),2914,R
340,341.,Bill Madlock (15),2913,R
341,342.,Bobby Thomson (15),2912,R
342,343.,Nomar Garciaparra (14),2908,R
343,344.,Willie Wilson (19),2905,B
344,345.,Jim Wynn (15),2901,R
345,346.,Hal Chase (15),2899,R
346,347.,Carl Crawford (15),2894,L
347,347.,Mo Vaughn (12),2894,L
348,349.,Stan Hack (16),2889,L
349,349.,Paul Hines (20),2889,R
350,351.,Jorge Posada (17),2888,B
351,352.,"Andrew McCutchen (12, 33)",2887,R
352,353.,Benito Santiago (20),2886,R
353,354.,Gus Bell (15),2884,L
354,354.,Jason Kendall (15),2884,R
355,356.,Sal Bando (16),2881,R
356,357.,Jimmy Sheckard (17),2878,L
357,358.,"Yadier Molina (17, 37)",2876,R
358,359.,Jose Bautista (15),2874,R
359,360.,George Bell (12),2873,R
360,360.,Ed McKean (13),2873,R
361,362.,Travis Fryman (13),2870,R
362,362.,Greg Vaughn (15),2870,R
363,364.,Melky Cabrera (15),2867,B
364,365.,Placido Polanco (16),2866,R
365,366.,Marty McManus (15),2863,R
366,366.,Bing Miller (16),2863,R
367,366.,Vic Wertz (17),2863,L
368,369.,Buddy Myer (17),2858,L
369,370.,Frank Thomas (16),2853,R
370,371.,Ralph Kiner+ (10),2852,R
371,372.,Ben Chapman (15),2849,R
372,373.,Bill Mazeroski+ (17),2848,R
373,373.,Claudell Washington (17),2848,L
374,375.,Garry Templeton (16),2847,B
375,375.,Rudy York (13),2847,R
376,377.,Harry Stovey (14),2841,R
377,378.,Pinky Higgins (14),2837,R
378,379.,Aubrey Huff (13),2833,L
379,380.,Andy Pafko (17),2823,R
380,381.,George Burns (16),2822,R
381,382.,Harvey Kuenn (15),2821,R
382,383.,Raul Mondesi (13),2819,R
383,384.,Wally Pipp (15),2818,L
384,384.,Willie Randolph (18),2818,R
385,386.,David Justice (14),2814,L
386,387.,Ken Caminiti (15),2809,B
387,388.,Phil Cavarretta (22),2807,L
388,388.,Ryan Klesko (16),2807,L
389,390.,Jhonny Peralta (15),2791,R
390,391.,Alex Rios (12),2785,R
391,392.,"Jay Bruce (13, 33)",2780,L
392,393.,George Burns (15),2778,R
393,393.,Jimmy Collins+ (14),2778,R
394,395.,Mark Grudzielanek (15),2773,R
395,395.,George Kell+ (15),2773,R
396,397.,Bob Watson (19),2767,R
397,398.,Brady Anderson (15),2763,L
398,399.,Jose Cardenal (18),2752,R
399,400.,Terry Pendleton (15),2751,B
400,400.,Del Pratt (13),2751,R
401,402.,Jeromy Burnitz (14),2748,L
402,403.,Dick Groat (14),2741,R
403,404.,Brian McCann (15),2740,L
404,405.,Ray Lankford (14),2739,L
405,405.,Justin Morneau (14),2739,L
406,407.,Darryl Strawberry (17),2738,L
407,408.,Mike Tiernan (13),2737,L
408,409.,Eddie Yost (18),2729,R
409,410.,Tom Brunansky (14),2728,R
410,411.,"Shin-Soo Choo (16, 37)",2722,L
411,412.,Fred Tenney (17),2721,L
412,413.,Bill White (13),2720,L
413,414.,Bob Meusel (11),2719,R
414,415.,Rick Monday (19),2718,L
415,416.,Harry Davis (22),2717,R
416,417.,Billy Hamilton+ (14),2716,L
417,418.,Juan Pierre (14),2714,L
418,419.,High Pockets Kelly+ (16),2711,R
419,420.,Royce Clayton (17),2707,R
420,421.,Tony Taylor (19),2702,R
421,422.,Larry Bowa (16),2696,B
422,422.,Mike Lowell (13),2696,R
423,424.,Wally Berger (11),2693,R
424,424.,Ernie Lombardi+ (17),2693,R
425,426.,"Asdrubal Cabrera (14, 34)",2692,B
426,426.,Hal Trosky (11),2692,L
427,428.,Richie Hebner (18),2690,L
428,429.,Kirk Gibson (17),2686,L
429,430.,Roy White (15),2685,B
430,431.,Tom Brown (17),2666,L
431,432.,Ben Oglivie (16),2663,L
432,433.,Patsy Donovan (17),2662,L
433,434.,Dummy Hoy (14),2658,L
434,435.,Earle Combs+ (12),2657,L
435,435.,Joe Gordon+ (11),2657,R
436,437.,Larry Doyle (14),2654,L
437,438.,"Dustin Pedroia (14, 36)",2649,R
438,439.,Troy Glaus (13),2648,R
439,440.,Home Run Baker+ (13),2647,L
440,441.,"Mike Trout (10, 28)",2642,R
441,442.,Travis Jackson+ (15),2636,R
442,443.,Dolph Camilli (12),2632,L
443,443.,"Freddie Freeman (11, 30)",2632,L
444,445.,Jack Glasscock (17),2631,R
445,446.,Eric Chavez (17),2623,L
446,447.,"Alex Gordon (14, 36)",2622,L
447,448.,Larry Doby+ (13),2621,L
448,449.,Mark Kotsay (17),2614,L
449,449.,Garry Maddox (15),2614,R
450,451.,Javy Lopez (15),2612,R
451,451.,Sam West (16),2612,L
452,453.,John Ward+ (17),2608,L
453,454.,Rafael Furcal (14),2605,B
454,454.,Deacon White+ (20),2605,L
455,456.,Rico Carty (15),2601,R
456,456.,Clyde Milan (16),2601,L
457,458.,Pat Burrell (12),2600,R
458,459.,Jim Fregosi (18),2599,R
459,460.,Hack Wilson+ (12),2593,R
460,461.,Jack Tobin (13),2590,L
461,462.,Pedro Guerrero (15),2588,R
462,462.,Jose Guillen (14),2588,R
463,464.,Doug DeCinces (15),2586,R
464,465.,King Kelly+ (16),2583,R
465,465.,Chuck Knoblauch (12),2583,R
466,465.,Adam LaRoche (12),2583,L
467,468.,Bill Nicholson (16),2581,L
468,469.,Ken Williams (14),2579,L
469,470.,Frank Schulte (15),2578,L
470,471.,Shoeless Joe Jackson (13),2577,L
471,472.,Dave Bancroft+ (16),2574,B
472,472.,Juan Uribe (16),2574,R
473,472.,Randy Winn (13),2574,B
474,475.,Larry Gardner (17),2571,L
475,476.,John Anderson (14),2569,B
476,477.,Eric Davis (17),2567,R
477,478.,Cliff Floyd (17),2564,L
478,479.,Howie Kendrick (15),2558,R
479,480.,Juan Samuel (16),2552,R
480,481.,Bill Skowron (14),2548,R
481,482.,Bobby Lowe (18),2547,R
482,483.,Kip Selbach (13),2538,R
483,484.,J.D. Drew (14),2532,L
484,485.,Michael Cuddyer (15),2530,R
485,485.,Jim Gilliam (14),2530,B
486,487.,Andy Van Slyke (13),2529,L
487,488.,Charlie Jamieson (18),2526,L
488,489.,Harlond Clift (12),2525,R
489,489.,Don Money (16),2525,R
490,491.,Mike Sweeney (16),2520,R
491,492.,Freddie Lindstrom+ (13),2519,R
492,493.,Jack Fournier (15),2517,L
493,494.,"Carlos Gonzalez (12, 34)",2516,L
494,495.,Maury Wills (14),2513,B
495,496.,Jeff Heath (14),2512,L
496,497.,Bob Boone (19),2508,R
497,498.,Ken Keltner (13),2505,R
498,499.,Ben Zobrist (14),2504,B
499,500.,Bill Freehan (15),2502,R
500,501.,Lou Boudreau+ (15),2500,R
501,502.,Richie Sexson (12),2498,R
502,503.,Chris Speier (19),2497,R
503,504.,Jayson Werth (15),2496,R
504,505.,Deron Johnson (16),2495,R
505,506.,Dick McAuliffe (16),2494,L
506,507.,Elmer Flick+ (13),2492,L
507,508.,Augie Galan (16),2490,B
508,509.,"Paul Goldschmidt (10, 32)",2487,R
509,510.,Danny Tartabull (14),2485,R
510,511.,Cecil Fielder (13),2484,R
511,512.,Steve Sax (14),2483,R
512,513.,Vic Power (12),2482,R
513,514.,Frank McCormick (13),2481,R
514,514.,Matt Stairs (19),2481,L
515,516.,Rich Aurilia (15),2479,R
516,516.,Baby Doll Jacobson (11),2479,R
517,516.,Jose Valentin (16),2479,B
518,519.,Rondell White (15),2477,R
519,520.,Curt Flood (15),2475,R
520,521.,Jay Buhner (15),2474,R
521,522.,Bill Russell (18),2471,R
522,523.,Mickey Cochrane+ (13),2470,L
523,523.,Hardy Richardson (14),2470,R
524,525.,Davey Lopes (16),2468,R
525,526.,Shawon Dunston (18),2463,R
526,527.,Leo Cardenas (16),2462,R
527,528.,Mark Reynolds (13),2458,R
528,529.,Bob Bailey (17),2451,R
529,529.,Darin Erstad (14),2451,L
530,531.,Buck Ewing+ (18),2444,R
531,532.,Tony Cuccinello (15),2437,R
532,533.,George McQuinn (12),2436,L
533,534.,Jeff Burroughs (16),2433,R
534,534.,Chick Hafey+ (13),2433,R
535,534.,Fred Pfeffer (16),2433,R
536,537.,Roger Maris (12),2429,L
537,538.,Kevin McReynolds (12),2426,R
538,538.,Roger Peckinpaugh (17),2426,R
539,540.,Tommy Tucker (13),2418,B
540,541.,"Starlin Castro (11, 30)",2417,R
541,542.,"Daniel Murphy (12, 35)",2415,L
542,543.,Mike Griffin (12),2411,L
543,543.,Pete Runnels (14),2411,L
544,545.,Jackie Jensen (11),2409,R
545,545.,Gene Woodling (17),2409,L
