,Rank,"Player (yrs, age)",Power-Speed #,Bats
0,1.,Barry Bonds (22),613.90,L
1,2.,Rickey Henderson+ (25),490.41,R
2,3.,Willie Mays+ (22),447.05,R
3,4.,Alex Rodriguez (22),446.80,R
4,5.,Bobby Bonds (14),386.01,R
5,6.,Joe Morgan+ (22),385.90,L
6,7.,Andre Dawson+ (21),365.78,R
7,8.,Hank Aaron+ (23),364.22,R
8,9.,Carlos Beltran (20),363.37,B
9,10.,Craig Biggio+ (20),341.77,R
10,11.,Alfonso Soriano (16),339.71,R
11,12.,Sammy Sosa (18),338.09,R
12,13.,Gary Sheffield (22),338.00,R
13,14.,Bobby Abreu (18),334.88,L
14,15.,Reggie Jackson+ (21),324.56,L
15,16.,Paul Molitor+ (21),319.61,R
16,17.,Eric Davis (17),311.94,R
17,18.,Steve Finley (19),311.80,L
18,19.,Ryne Sandberg+ (16),309.93,R
19,20.,Jimmy Rollins (17),309.76,B
20,21.,Don Baylor (19),309.25,R
21,22.,Reggie Sanders (17),304.50,R
22,23.,Frank Robinson+ (21),302.64,R
23,24.,Dave Winfield+ (22),301.44,R
24,25.,Derek Jeter+ (20),301.23,R
25,26.,Johnny Damon (18),298.23,L
26,27.,Marquis Grissom (17),296.90,R
27,28.,Cesar Cedeno (17),292.26,R
28,29.,Joe Carter (16),291.79,R
29,30.,Roberto Alomar+ (17),291.05,B
30,31.,Larry Walker+ (17),287.41,L
31,32.,Mike Cameron (17),287.19,R
32,33.,Ken Griffey Jr.+ (22),284.82,L
33,34.,Tim Raines+ (23),280.90,B
34,35.,Jose Canseco (17),279.15,R
35,36.,Jeff Bagwell+ (15),278.64,R
36,37.,Vada Pinson (18),278.36,L
37,38.,Ron Gant (16),276.61,R
38,39.,Hanley Ramirez (15),275.91,R
39,40.,Kirk Gibson (17),268.72,L
40,41.,"Ryan Braun (14, 36)",267.72,R
41,42.,Darryl Strawberry (17),266.31,L
42,43.,Mike Schmidt+ (18),264.13,R
43,44.,Robin Yount+ (20),260.62,R
44,45.,Barry Larkin+ (19),260.11,R
45,46.,Devon White (17),259.81,B
46,47.,Vladimir Guerrero+ (16),258.00,R
47,48.,Lou Brock+ (19),257.15,L
48,49.,Jim Wynn (15),253.78,R
49,50.,Brady Anderson (15),252.00,L
50,51.,Torii Hunter (19),251.22,R
51,52.,Ian Kinsler (14),249.80,R
52,53.,Willie Davis (18),249.78,L
53,54.,Raul Mondesi (13),248.24,R
54,55.,Ray Lankford (14),247.60,L
55,56.,Amos Otis (17),246.49,R
56,57.,George Brett+ (21),246.01,L
57,58.,Carl Yastrzemski+ (23),244.96,L
58,59.,Davey Lopes (16),242.51,R
59,60.,"Mike Trout (10, 28)",241.36,R
60,61.,Ellis Burks (18),239.07,R
61,62.,Mickey Mantle+ (18),238.05,B
62,63.,Howard Johnson (14),229.49,B
63,64.,Dale Murphy (18),229.26,R
64,65.,Juan Samuel (16),228.93,R
65,66.,Chipper Jones+ (19),227.18,B
66,67.,Jose Reyes (16),226.48,B
67,68.,Ray Durham (14),225.45,B
68,69.,Andruw Jones (17),225.15,R
69,70.,"Matt Kemp (15, 35)",224.24,R
70,71.,Jose Cruz (19),217.03,L
71,72.,Shawn Green (15),216.88,L
72,73.,David Wright (14),216.58,R
73,74.,Tommy Harper (15),215.05,R
74,74.,Kenny Lofton (17),215.05,L
75,76.,Claudell Washington (17),214.99,L
76,77.,Toby Harrah (17),214.37,R
77,78.,Julio Franco (23),214.15,R
78,79.,"Andrew McCutchen (12, 33)",213.89,R
79,80.,Melvin Upton Jr. (12),212.07,R
80,81.,Carl Crawford (15),211.95,L
81,82.,Curtis Granderson (16),211.80,L
82,83.,Dave Parker (19),211.79,L
83,84.,Lloyd Moseby (12),210.78,L
84,85.,Brandon Phillips (17),210.00,R
85,86.,Babe Ruth+ (22),209.85,L
86,87.,Alan Trammell+ (20),207.41,R
87,88.,Ty Cobb+ (24),207.00,L
88,89.,Orlando Cepeda+ (17),206.60,R
89,90.,Goose Goslin+ (18),205.89,L
90,91.,Gary Matthews (16),205.38,R
91,92.,Al Kaline+ (22),203.97,R
92,93.,Alex Rios (12),202.64,R
93,94.,Chili Davis (19),202.03,B
94,95.,"Justin Upton (14, 32)",198.81,R
95,96.,Harry Stovey (14),196.82,R
96,97.,Andy Van Slyke (13),196.48,L
97,98.,Dante Bichette (14),195.53,R
98,99.,Minnie Minoso (17),195.04,R
99,100.,"Albert Pujols (20, 40)",194.51,R
100,101.,Jose Cardenal (18),194.44,R
101,102.,Bernie Williams (16),194.42,B
102,103.,Ruben Sierra (20),193.98,B
103,104.,Andres Galarraga (19),193.82,R
104,105.,Chase Utley (16),193.15,L
105,106.,Adrian Beltre (21),193.03,R
106,107.,Dick Allen (15),192.91,R
107,108.,Carlton Fisk+ (24),190.98,R
108,109.,Reggie Smith (17),190.77,B
109,110.,Ichiro Suzuki (19),190.27,L
110,111.,Roy White (15),189.72,B
111,112.,Tony Gwynn+ (20),189.71,L
112,113.,Edgar Renteria (16),189.68,R
113,114.,Carlos Gomez (13),188.18,R
114,115.,Luis Gonzalez (19),188.02,L
115,116.,Paul O'Neill (17),187.78,L
116,117.,Rogers Hornsby+ (23),186.40,R
117,118.,Carlos Lee (14),185.30,R
118,119.,Tris Speaker+ (22),184.49,L
119,120.,Kiki Cuyler+ (18),184.14,R
120,120.,Jimmy Ryan (18),184.14,R
121,122.,Coco Crisp (15),183.01,B
122,123.,Von Hayes (12),182.72,L
123,124.,"Shin-Soo Choo (16, 37)",182.54,L
124,125.,Charlie Gehringer+ (19),182.49,L
125,126.,Cliff Floyd (17),181.02,L
126,127.,"Ian Desmond (11, 34)",181.00,R
127,128.,Eddie Murray+ (21),180.59,B
128,129.,Greg Vaughn (15),180.48,R
129,130.,Carney Lansford (15),180.40,R
130,131.,Ivan Rodriguez+ (21),180.35,R
131,132.,Lou Whitaker (19),180.32,L
132,133.,Hugh Duffy+ (17),178.95,R
133,134.,Bill Buckner (22),178.39,L
134,135.,Honus Wagner+ (21),177.24,R
135,136.,Pete Rose (24),176.98,B
136,137.,Roger Connor+ (18),176.29,B
137,138.,Jose Valentin (16),175.92,B
138,139.,Shawon Dunston (18),175.69,R
139,140.,"Jose Altuve (10, 30)",175.05,R
140,141.,Dusty Baker (19),174.96,R
141,142.,"Brett Gardner (13, 36)",174.59,L
142,143.,Ken Griffey (19),172.73,L
143,144.,Ken Williams (14),172.48,L
144,145.,Scott Rolen (17),171.83,R
145,146.,Mike Tiernan (13),169.92,L
146,147.,"Paul Goldschmidt (10, 32)",169.08,R
147,148.,Lou Gehrig+ (17),169.03,L
