,Rank,"Player (yrs, age)",Range Factor/9Inn as P,Throws
0,1.,Javier Lopez (14),3.274,L
1,2.,Roger McDowell (12),3.180,R
2,3.,Greg Maddux+ (23),3.127,R
3,4.,Dan Quisenberry (12),3.114,R
4,5.,Juan Agosto (13),3.104,L
5,6.,Jake Westbrook (13),2.935,R
6,7.,Greg Minton (16),2.834,R
7,8.,Dave Tomlin (13),2.785,L
8,9.,Tom Burgmeier (17),2.759,L
9,10.,Kenny Rogers (20),2.728,L
10,11.,Ricky Horton (7),2.727,L
11,11.,"Jared Hughes (10, 34)",2.727,R
12,13.,Bill Swift (13),2.706,R
13,14.,Aaron Cook (11),2.701,R
14,14.,Armando Reynoso (12),2.701,R
15,16.,Terry Leach (11),2.700,R
16,17.,Randy Jones (10),2.696,L
17,18.,Kirk Rueter (13),2.693,L
18,19.,Fernando Arroyo (8),2.671,R
19,20.,Jim Todd (6),2.660,R
20,21.,Kirk Saarloos (7),2.652,R
21,22.,John Denny (13),2.639,R
22,22.,Steve Ontiveros (10),2.639,R
23,24.,Brad Ziegler (11),2.635,R
24,25.,Dale Murray (12),2.633,R
25,26.,Kevin Brown (19),2.626,R
26,26.,Steve Sparks (9),2.626,R
27,28.,Kent Tekulve (16),2.625,R
28,29.,"Henderson Alvarez III (6, 30)",2.617,R
29,30.,Gene Garber (19),2.609,R
30,31.,Darren Dreifort (9),2.599,R
31,32.,Clyde Wright (10),2.597,L
32,33.,Al Nipper (7),2.595,R
33,34.,Orel Hershiser (18),2.591,R
34,35.,Mike Boddicker (14),2.589,R
35,36.,Craig McMurtry (8),2.588,R
36,37.,Mariano Rivera+ (19),2.580,R
37,38.,Dan Petry (13),2.557,R
38,39.,Rick Reuschel (19),2.556,R
39,40.,Luke Gregerson (11),2.551,R
40,41.,Mike Magnante (12),2.550,L
41,42.,Doug Corbett (8),2.539,R
42,43.,Renie Martin (6),2.532,R
43,44.,Chuck Rainey (6),2.527,R
44,45.,Mike Myers (13),2.526,L
45,45.,Bob Stanley (13),2.526,R
46,47.,"Horacio Ramirez (8, 40)",2.524,L
47,48.,Brandon Webb (7),2.517,R
48,49.,Hipolito Pichardo (10),2.514,R
49,50.,Al Fitzmorris (10),2.513,R
