,Rank,"Player (yrs, age)",Total Zone Runs as 3B (s.1953),Throws
0,1.,Brooks Robinson+ (23),293,R
1,2.,Adrian Beltre (21),168,R
2,3.,Buddy Bell (18),167,R
3,4.,Clete Boyer (16),163,R
4,5.,Robin Ventura (16),154,R
5,6.,Scott Rolen (17),140,R
6,7.,Graig Nettles (22),134,R
7,8.,Gary Gaetti (20),132,R
8,9.,Mike Schmidt+ (18),129,R
9,10.,"Evan Longoria (13, 34)",113,R
10,11.,Terry Pendleton (15),99,R
11,12.,Wade Boggs+ (18),95,R
12,13.,Matt Williams (17),94,R
13,14.,Jeff Cirillo (14),91,R
14,15.,Aurelio Rodriguez (17),86,R
15,16.,Ken McMullen (16),80,R
16,17.,"Nolan Arenado (8, 29)",77,R
17,17.,Brandon Inge (13),77,R
18,19.,Juan Uribe (16),73,R
19,20.,Ken Boyer (15),70,R
20,21.,Eric Chavez (17),63,R
21,22.,Pedro Feliz (11),62,R
22,22.,"Anthony Rendon (8, 30)",62,R
23,24.,Vinny Castilla (16),61,R
24,24.,Tim Wallach (17),61,R
25,26.,Mike Lowell (13),60,R
26,26.,"Manny Machado (9, 27)",60,R
27,28.,Scott Brosius (11),58,R
28,28.,Placido Polanco (16),58,R
29,28.,"Kyle Seager (10, 32)",58,R
30,31.,Doug DeCinces (15),56,R
31,32.,George Brett+ (21),54,R
32,33.,Corey Koskie (9),49,R
33,34.,Tom Brookens (12),46,R
34,35.,Eric Soderholm (9),43,R
35,36.,David Bell (12),42,R
36,37.,Nick Punto (14),41,R
37,38.,Eddie Mathews+ (17),40,R
38,39.,"Matt Chapman (4, 27)",39,R
39,39.,Craig Counsell (16),39,R
40,39.,Jerry Kenney (6),39,R
41,42.,"Justin Turner (12, 35)",38,R
42,43.,Joe Crede (10),36,R
43,44.,Sal Bando (16),35,R
44,44.,Freddy Sanchez (10),35,R
45,46.,Casey Blake (13),34,R
46,46.,Frank Malzone (12),34,R
47,48.,"Josh Donaldson (10, 34)",33,R
48,48.,Chone Figgins (12),33,R
49,48.,Tim Hulett (12),33,R
