,Rank,"Player (yrs, age)",Hits,Throws
0,1.,Cy Young+ (22),7092,R
1,2.,Pud Galvin+ (15),6405,R
2,3.,Bobby Mathews (15),5601,R
3,4.,Phil Niekro+ (24),5044,R
4,5.,Gaylord Perry+ (22),4938,R
5,6.,Kid Nichols+ (15),4929,R
6,7.,Walter Johnson+ (21),4913,R
7,8.,Pete Alexander+ (20),4868,R
8,9.,Warren Spahn+ (21),4830,L
9,10.,Tommy John (26),4783,L
10,11.,Greg Maddux+ (23),4726,R
11,12.,Don Sutton+ (23),4692,R
12,13.,Steve Carlton+ (24),4672,L
13,14.,Eppa Rixey+ (21),4633,L
14,15.,Bert Blyleven+ (22),4632,R
15,16.,Jim Kaat (25),4620,L
16,17.,Mickey Welch+ (13),4588,R
17,18.,Robin Roberts+ (19),4582,R
18,19.,Gus Weyhing (14),4576,R
19,20.,Ted Lyons+ (21),4489,R
20,21.,Tim Keefe+ (14),4438,R
21,22.,Burleigh Grimes+ (19),4412,R
22,23.,Old Hoss Radbourn+ (12),4328,R
23,24.,Jack Powell (16),4319,R
24,25.,Tom Glavine+ (22),4298,L
25,26.,John Clarkson+ (12),4295,R
26,27.,Early Wynn+ (23),4291,R
27,28.,Red Ruffing+ (22),4284,R
28,29.,Jack Quinn (23),4238,R
29,30.,Jamie Moyer (25),4231,L
30,31.,Christy Mathewson+ (17),4219,R
31,32.,Tony Mullane (13),4195,R
32,33.,Roger Clemens (24),4185,R
33,34.,Fergie Jenkins+ (19),4142,R
34,35.,Red Faber+ (20),4106,R
35,36.,Jim McCormick (10),4092,R
36,37.,Sad Sam Jones (22),4084,R
37,38.,Frank Tanana (21),4063,L
38,39.,Waite Hoyt+ (21),4037,R
39,40.,Tom Seaver+ (20),3971,R
40,41.,Eddie Plank+ (17),3958,L
41,42.,Nolan Ryan+ (27),3923,R
42,43.,Earl Whitehill (17),3917,L
43,44.,Paul Derringer (15),3912,R
44,45.,Herb Pennock+ (22),3900,L
45,46.,Dennis Martinez (23),3897,R
46,47.,Lefty Grove+ (17),3849,L
