,Rank,"Player (yrs, age)",Passed Balls,Throws
354,353.,Bob Didier (6),51,R
355,353.,Paul Lo Duca (11),51,R
356,353.,Brent Mayne (15),51,R
357,353.,Jim McCauley (3),51,R
358,353.,Pat Murphy (4),51,R
359,353.,David Ross (15),51,R
360,353.,Gregg Zaun (16),51,R
361,362.,Chris Cannizzaro (13),50,R
362,362.,Bart Cantz (3),50,R
363,362.,Tom Egan (10),50,R
364,362.,Ron Karkovice (12),50,R
365,362.,"Jonathan Lucroy (11, 34)",50,R
366,362.,Dioner Navarro (13),50,R
367,362.,Junior Ortiz (13),50,R
368,362.,Chris Snyder (10),50,R
369,370.,Damon Berryhill (10),49,R
370,370.,John Buck (11),49,R
371,370.,Buck Martinez (17),49,R
372,370.,Marshall Quinton (2),49,
373,370.,Dave Rader (10),49,R
374,370.,Bob Wood (7),49,R
375,376.,Ed Bailey (14),48,R
376,376.,Francisco Cervelli (13),48,R
377,376.,Hank DeBerry (11),48,R
378,376.,Billy Earle (5),48,R
379,376.,Matt Nokes (11),48,R
380,376.,"Josh Phegley (8, 32)",48,R
381,376.,Carlos Ruiz (12),48,R
382,376.,Rick Wilkins (11),48,R
383,376.,"Mike Zunino (8, 29)",48,R
384,385.,Hank Foiles (11),47,R
385,385.,Lou Hardie (4),47,
386,385.,Bubbles Hargrave (12),47,R
387,385.,Grover Hartley (14),47,R
388,385.,Ed McKenna (1),47,
389,385.,Paddy Quinn (3),47,
390,385.,Alex Trevino (13),47,R
391,385.,Bob Uecker (6),47,R
392,393.,Darrin Fletcher (14),46,R
393,393.,Jesse Gonder (8),46,R
394,393.,Hank Gowdy (17),46,R
395,393.,Stan Lopata (13),46,R
396,393.,Jerry McNertney (9),46,R
397,393.,Babe Phelps (11),46,R
398,393.,Ozzie Virgil (11),46,R
399,393.,Hal Wagner (12),46,R
