,Rank,"Player (yrs, age)",Total Zone Runs as 1B (s.1953),Throws
138,126.,"Christian Walker (6, 29)",7,R
139,140.,Julio Becquer (7),6,L
140,140.,Pat Bourque (4),6,L
141,140.,Hal Breeden (5),6,L
142,140.,Pedro Feliz (11),6,R
143,140.,Robert Fick (10),6,R
144,140.,Terry Francona (10),6,L
145,140.,Adam Lind (12),6,L
146,140.,Mike Lum (15),6,L
147,140.,Randy Milligan (8),6,R
148,140.,"Wil Myers (8, 29)",6,R
149,140.,Rocky Nelson (9),6,L
150,140.,Brett Pill (3),6,R
151,140.,Mike Squires (10),6,L
152,140.,"Eric Thames (6, 33)",6,R
153,140.,Lee Thomas (8),6,R
154,140.,Jason Thompson (11),6,L
155,140.,Earl Torgeson (15),6,L
156,140.,Pete Ward (9),6,R
157,158.,Ruben Amaro (11),5,R
158,158.,Marv Blaylock (4),5,L
159,158.,"Jorge Cantu (8, 38)",5,R
160,158.,Jeff Cirillo (14),5,R
161,158.,Allen Craig (6),5,R
162,158.,Mike Cubbage (8),5,R
163,158.,Greg Goossen (6),5,R
164,158.,Dave Hansen (15),5,R
165,158.,Charlie Hayes (14),5,R
166,158.,Chris Johnson (8),5,R
167,158.,Mark Loretta (15),5,R
168,158.,Lance Niekro (4),5,R
169,158.,Steve Pearce (13),5,R
170,158.,"Jurickson Profar (7, 27)",5,R
171,158.,Adam Rosales (11),5,R
172,158.,Rick Schu (9),5,R
173,158.,Chris Shelton (5),5,R
174,158.,Harry Simpson (8),5,R
175,158.,Chad Tracy (9),5,R
176,158.,"Evan White (1, 24)",5,L
177,178.,"José Abreu (7, 33)",4,R
178,178.,Greg Bird (4),4,R
179,178.,John Briggs (12),4,L
180,178.,"Adam Duvall (7, 31)",4,R
181,178.,Ferris Fain (9),4,L
182,178.,Barbaro Garbey (3),4,R
183,178.,Jerry Hairston (14),4,R
184,178.,Jack Hannahan (8),4,R
185,178.,Jose Hernandez (15),4,R
186,178.,Mike Ivie (11),4,R
187,178.,Brook Jacoby (11),4,R
188,178.,Mark Johnson (7),4,L
189,178.,Nippy Jones (8),4,R
190,178.,Ed Jurak (6),4,R
191,178.,Adam Kennedy (14),4,R
192,178.,Jose Leon (3),4,R
193,178.,Greg Litton (6),4,R
194,178.,Greg Luzinski (15),4,R
195,178.,"Trey Mancini (4, 28)",4,R
196,178.,"Austin Nola (2, 30)",4,R
197,178.,Bobo Osborne (6),4,R
198,178.,Roberto Petagine (7),4,L
199,178.,Scott Stahoviak (5),4,R
200,178.,Fernando Tatis (11),4,R
201,178.,Chase Utley (16),4,R
202,178.,Dennis Werth (4),4,R
203,204.,Matty Alou (15),3,L
204,204.,Rich Amaral (10),3,R
205,204.,Marlon Anderson (12),3,R
206,204.,Ronnie Belliard (13),3,R
207,204.,Juan Bernhardt (4),3,R
208,204.,Tim Bogar (9),3,R
209,204.,"Asdrubal Cabrera (14, 34)",3,R
210,204.,Gary Carter+ (19),3,R
211,204.,"Michael Chavis (2, 24)",3,R
212,204.,Chris Colabello (4),3,R
213,204.,Nick Evans (5),3,R
214,204.,Tookie Gilbert (2),3,R
215,204.,Conor Gillaspie (8),3,R
216,204.,Leo Gomez (7),3,R
217,204.,David Green (6),3,R
218,204.,Bobby Grich (17),3,R
219,204.,Carlos Guillen (14),3,R
220,204.,Joe Hague (6),3,L
221,204.,Shane Halter (8),3,R
222,204.,Sean Halton (1),3,R
223,204.,Richie Hebner (18),3,R
224,204.,Dave Hollins (12),3,R
225,204.,Jim Holt (9),3,R
226,204.,Tom Hutton (12),3,L
227,204.,Ron Jackson (7),3,R
228,204.,Cleon Jones (13),3,L
229,204.,Fred Kendall (12),3,R
230,204.,Marty Keough (11),3,L
231,204.,Mike Kinkade (6),3,R
232,204.,Ray Knight (13),3,R
233,204.,Mike Lamb (10),3,R
234,204.,Jeff Larish (3),3,R
235,204.,Jim Lindeman (9),3,R
236,204.,Ed Lucas (2),3,R
237,204.,Chris Marrero (3),3,R
238,204.,Luis Medina (3),3,L
239,204.,Denis Menke (13),3,R
240,204.,Don Money (16),3,R
241,204.,Russ Morman (9),3,R
242,204.,Tony Muser (9),3,L
243,204.,Robb Quinlan (8),3,R
244,204.,"Sean Rodriguez (13, 35)",3,R
245,204.,Pete Runnels (14),3,R
246,204.,Jerry Sands (5),3,R
247,204.,Steve Scarsone (7),3,R
248,204.,Xavier Scruggs (3),3,R
249,204.,Richie Shaffer (2),3,R
250,204.,Norm Siebern (12),3,R
251,204.,Terrmel Sledge (4),3,L
252,204.,Luis Sojo (13),3,R
253,204.,Mickey Stanley (15),3,R
254,204.,Brock Stassi (1),3,L
255,204.,R C Stevens (4),3,L
256,204.,B.J. Surhoff (19),3,R
257,204.,Larry Sutton (7),3,L
258,204.,Dale Sveum (12),3,R
259,204.,Ron Swoboda (9),3,R
260,204.,"Matt Thaiss (2, 25)",3,R
261,204.,Gary Thomasson (9),3,L
262,204.,Mark Trumbo (10),3,R
263,204.,Del Unser (15),3,L
264,204.,Ty Van Burkleo (2),3,L
265,204.,Tim Wallach (17),3,R
266,204.,Preston Ward (9),3,R
267,204.,Kevin Witt (5),3,R
268,204.,Shawn Wooten (6),3,R
269,204.,Dmitri Young (13),3,R
270,271.,Hank Allen (7),2,R
271,271.,Bill Almon (15),2,R
272,271.,"Pete Alonso (2, 25)",2,R
273,271.,Tom Alston (4),2,R
274,271.,Lars Anderson (3),2,L
275,271.,Willy Aybar (5),2,R
276,271.,Jeff Bailey (3),2,R
277,271.,Ernie Banks+ (19),2,R
278,271.,Charlie Beamon (3),2,L
279,271.,"Cody Bellinger (4, 24)",2,L
280,271.,Mike Benjamin (13),2,R
281,271.,Curt Blefary (8),2,R
282,271.,Len Boehmer (3),2,R
283,271.,Frank Bolick (2),2,R
284,271.,Eddie Bressoud (12),2,R
285,271.,"Mike Brosseau (2, 26)",2,R
286,271.,Brian Buscher (3),2,R
287,271.,Alberto Callaspo (10),2,R
288,271.,"Victor Caratini (4, 26)",2,R
289,271.,"Chris Carter (8, 33)",2,R
290,271.,Bob Cerv (12),2,R
291,271.,Howie Clark (6),2,R
292,271.,Jerald Clark (7),2,R
293,271.,Will Clark (15),2,L
294,271.,Tyler Colvin (6),2,L
295,271.,David Cooper (2),2,L
296,271.,Chris Coste (4),2,R
297,271.,"Jake Cronenworth (1, 26)",2,R
298,271.,Bobby Crosby (8),2,R
299,271.,"Bobby Dalbec (1, 25)",2,R
300,271.,Jack Daugherty (6),2,L
301,271.,Ben Davis (7),2,R
302,271.,Bill Davis (3),2,L
303,271.,"J.D. Davis (4, 27)",2,R
304,271.,Joe DeSa (2),2,L
305,271.,"Yandy Díaz (4, 28)",2,R
306,271.,Greg Dobbs (11),2,R
307,271.,Doc Edwards (5),2,R
308,271.,Bill Freehan (15),2,R
309,271.,David Freese (11),2,R
310,271.,"Joey Gallo (6, 26)",2,R
311,271.,Adrian Garrett (8),2,R
312,271.,Benji Gil (8),2,R
313,271.,"Yan Gomes (9, 32)",2,R
314,271.,Chris Gomez (16),2,R
315,271.,"Alex Gordon (14, 36)",2,R
316,271.,Tony Graffanino (13),2,R
317,271.,Todd Greene (11),2,R
318,271.,Aaron Guiel (5),2,R
319,271.,Matt Hague (3),2,R
320,271.,Ron Hansen (15),2,R
321,271.,Chase Headley (12),2,R
322,271.,Jack Hiatt (9),2,R
323,271.,Denny Hocking (13),2,R
324,271.,Tim Hummel (2),2,R
325,271.,Jeff Huson (12),2,R
326,271.,Don Kelly (9),2,R
327,271.,Jerry Kindall (9),2,R
328,271.,Joe Lansford (2),2,R
329,271.,Brent Lillibridge (6),2,R
330,271.,Matt Luke (3),2,L
331,271.,Joe Mauer (15),2,R
332,271.,John Mayberry (7),2,R
333,271.,Ken McMullen (16),2,R
334,271.,Scott Moore (5),2,R
335,271.,"Max Muncy (5, 29)",2,R
336,271.,Daniel Nava (7),2,L
337,271.,"Efren Navarro (6, 34)",2,L
338,271.,Dick Nen (6),2,L
339,271.,Graig Nettles (22),2,R
340,271.,Ken Oberkfell (16),2,R
341,271.,Joe Oliver (13),2,R
342,271.,Joe Orsulak (14),2,L
343,271.,Ben Paulsen (3),2,R
344,271.,"Hernan Perez (9, 29)",2,R
345,271.,Broderick Perkins (7),2,L
346,271.,Trevor Plouffe (9),2,R
347,271.,Todd Pratt (14),2,R
348,271.,Chris Pritchett (4),2,R
349,271.,"J.T. Realmuto (7, 29)",2,R
350,271.,Rich Reese (10),2,L
351,271.,Billy Ripken (12),2,R
352,271.,Bill Robinson (16),2,R
353,271.,Ryan Shealy (5),2,R
354,271.,Mike Simms (9),2,R
355,271.,"Brandon Snyder (6, 33)",2,R
356,271.,Bob Speake (4),2,L
357,271.,Larry Stahl (10),2,L
358,271.,Nick Swisher (12),2,L
359,271.,Gene Tenace (15),2,R
360,271.,Joey Terdoslavich (3),2,R
361,271.,Tim Tolman (7),2,R
362,271.,Scott Ullger (1),2,R
363,271.,Luis Valbuena (11),2,R
364,271.,Danny Valencia (9),2,R
365,271.,Eric Valent (5),2,L
366,271.,Scott Van Slyke (6),2,R
