,Rank,"Player (yrs, age)",Total Zone Runs as 2B (s.1953),Throws
0,1.,Bill Mazeroski+ (17),148,R
1,2.,Frank White (18),126,R
2,3.,Willie Randolph (18),115,R
3,4.,Nellie Fox+ (19),101,R
4,5.,"Dustin Pedroia (14, 36)",98,R
5,6.,Mark Ellis (12),81,R
6,7.,Ian Kinsler (14),79,R
7,8.,Lou Whitaker (19),77,R
8,9.,"DJ LeMahieu (10, 31)",76,R
9,10.,Mark Lemke (11),73,R
10,11.,"Robinson Cano (16, 37)",71,R
11,11.,Bobby Grich (17),71,R
12,13.,Placido Polanco (16),67,R
13,14.,Dick Green (12),66,R
14,14.,Bobby Knoop (9),66,R
15,16.,Julio Cruz (10),60,R
16,16.,Adam Kennedy (14),60,R
17,16.,Chase Utley (16),60,R
18,19.,Aaron Hill (13),57,R
19,19.,Ryne Sandberg+ (16),57,R
20,21.,Scott Fletcher (15),56,R
21,22.,Craig Counsell (16),55,R
22,22.,Pokey Reese (8),55,R
23,24.,Rennie Stennett (11),49,R
24,25.,Mike Gallego (13),48,R
25,25.,Jose Oquendo (12),48,R
26,27.,Mark Grudzielanek (15),47,R
27,28.,Gil McDougald (10),46,R
28,29.,Jim Gantner (17),42,R
29,30.,Ted Sizemore (12),41,R
30,31.,Jamey Carroll (12),40,R
31,31.,Red Schoendienst+ (19),40,R
32,33.,Dave Cash (12),38,R
33,34.,Tony Phillips (18),37,R
34,35.,Keith Lockhart (10),36,R
35,35.,Robby Thompson (11),36,R
36,37.,Jerry Adair (13),35,R
37,37.,Marv Breeding (4),35,R
38,37.,Danny O'Connell (10),35,R
39,37.,Al Weis (10),35,R
40,37.,"Kolten Wong (8, 29)",35,R
41,42.,"Jonathan Schoop (8, 28)",34,R
42,43.,Glenn Hubbard (12),33,R
43,44.,Miguel Cairo (17),32,R
44,44.,Horace Clarke (10),32,R
45,44.,Jose Lind (9),32,R
46,47.,Danny Espinosa (8),31,R
47,47.,Wayne Terwilliger (9),31,R
48,49.,Chuck Knoblauch (12),30,R
49,50.,Don Blasingame (12),29,R
50,50.,Tony Graffanino (13),29,R
51,52.,Jeff Reboulet (12),28,R
52,53.,Sandy Alomar (15),27,R
53,53.,Howie Kendrick (15),27,R
54,55.,"Jose Altuve (10, 30)",26,R
55,55.,Marcus Giles (7),26,R
56,55.,Mark McLemore (19),26,R
57,55.,Rey Sanchez (15),26,R
58,59.,Tim Cullen (7),25,R
59,59.,Rich Dauer (10),25,R
60,59.,Harold Reynolds (12),25,R
61,59.,Chuck Schilling (5),25,R
62,59.,Rob Wilfong (11),25,R
63,64.,Billy Gardner (10),24,R
64,64.,Orlando Hudson (11),24,R
65,66.,Darwin Barney (8),23,R
66,66.,Damion Easley (17),23,R
67,66.,"Ryan Goins (8, 32)",23,R
68,69.,Gene Alley (11),22,R
69,69.,"Jason Kipnis (10, 33)",22,R
70,69.,Steve Lombardozzi (6),22,R
71,69.,Johnny Ray (10),22,R
72,69.,Billy Ripken (12),22,R
73,74.,Hal Lanier (10),21,R
74,75.,Gene Baker (8),20,R
75,75.,Chuck Cottier (9),20,R
76,77.,Clint Barmes (13),19,R
77,77.,Mike Lansing (9),19,R
78,77.,Aaron Miles (9),19,R
79,77.,Neifi Perez (12),19,R
80,77.,Lenn Sakata (11),19,R
81,77.,Billy Smith (6),19,R
82,83.,"Ketel Marte (6, 26)",18,R
83,84.,Bret Barberie (6),17,R
84,84.,Tommy Helms (14),17,R
85,84.,Kazuo Matsui (7),17,R
86,84.,John McDonald (16),17,R
87,84.,Abraham Nunez (12),17,R
88,84.,"Joe Panik (7, 29)",17,R
89,84.,"Joey Wendle (5, 30)",17,R
90,91.,"Ozzie Albies (4, 23)",16,R
91,91.,Tim Hulett (12),16,R
92,91.,Jerry Kindall (9),16,R
93,91.,Jim Lefebvre (8),16,R
94,91.,Doug Strange (9),16,R
95,96.,Omar Infante (15),15,R
96,96.,Pat Kelly (9),15,R
97,96.,Bobby Morgan (8),15,R
98,96.,Jose Valentin (16),15,R
99,100.,Frank Bolling (12),14,R
100,100.,John Castino (6),14,R
101,100.,Jim Gilliam (14),14,R
102,100.,Billy Goodman (16),14,R
103,100.,Davey Johnson (13),14,R
104,100.,Jerry Lumpe (12),14,R
105,100.,Al Newman (8),14,R
106,100.,"Daniel Robertson (4, 26)",14,R
107,100.,Danny Thompson (7),14,R
108,109.,Mike Benjamin (13),13,R
109,109.,Pedro Gonzalez (5),13,R
110,109.,Ted Kubiak (10),13,R
111,109.,Bobby Richardson (12),13,R
112,109.,Mike Tyson (10),13,R
113,109.,Bump Wills (6),13,R
114,109.,Ben Zobrist (14),13,R
115,116.,Carlos Febles (6),12,R
116,116.,Tom Foley (13),12,R
117,116.,Kelly Johnson (11),12,R
118,116.,Ron Theobald (2),12,R
119,120.,Marlon Anderson (12),11,R
120,120.,Phil Garner (16),11,R
121,120.,Craig Grebeck (12),11,R
122,120.,Rex Hudler (13),11,R
123,120.,Junior Kennedy (7),11,R
124,120.,Manuel Lee (11),11,R
125,120.,Frank Menechino (7),11,R
126,120.,Cliff Pennington (11),11,R
127,120.,Fernando Vina (12),11,R
128,129.,Tony Batista (11),10,R
129,129.,Rafael Belliard (17),10,R
130,129.,Rocky Bridges (11),10,R
131,129.,"Adam Frazier (5, 28)",10,R
132,129.,Chris Getz (7),10,R
133,129.,"Jedd Gyorko (8, 31)",10,R
134,129.,Terry Harmon (10),10,R
135,129.,Garth Iorg (9),10,R
136,129.,Bob Johnson (11),10,R
137,129.,Paul Molitor+ (21),10,R
138,129.,Don Money (16),10,R
139,129.,Nick Punto (14),10,R
140,129.,Bob Randall (5),10,R
141,129.,Chico Ruiz (8),10,R
142,129.,Tyler Saladino (5),10,R
143,129.,"Yolmer Sanchez (7, 28)",10,R
144,129.,Luis Sojo (13),10,R
145,146.,Edgardo Alfonzo (12),9,R
146,146.,Ryan Flaherty (8),9,R
147,146.,Tim Flannery (11),9,R
148,146.,Nick Franklin (6),9,R
149,146.,"Freddy Galvis (9, 30)",9,R
150,146.,David Howard (9),9,R
151,146.,Tommy Matchick (6),9,R
152,146.,Dal Maxvill (14),9,R
153,146.,Tomas Perez (12),9,R
154,146.,"Eric Sogard (10, 34)",9,R
155,146.,Manny Trillo (17),9,R
156,146.,Jose Vizcaino (18),9,R
157,158.,Jose Baez (2),8,R
158,158.,Lance Blankenship (6),8,R
159,158.,Jack Brohamer (9),8,R
160,158.,Don Buford (10),8,R
161,158.,Chris Burke (6),8,R
162,158.,"Asdrubal Cabrera (14, 34)",8,R
163,158.,Jerry DaVanon (8),8,R
164,158.,Denny Doyle (8),8,R
165,158.,Woodie Held (14),8,R
166,158.,Brandon Hicks (4),8,R
167,158.,Bobby Malkmus (6),8,R
168,158.,Augie Ojeda (9),8,R
169,158.,Ramon Santiago (13),8,R
170,158.,"Jean Segura (9, 30)",8,R
171,158.,Cesar Tovar (12),8,R
172,158.,Josh Wilson (8),8,R
173,174.,Dustin Ackley (6),7,R
174,174.,"Hanser Alberto (5, 27)",7,R
175,174.,"David Bote (3, 27)",7,R
176,174.,Orlando Cabrera (15),7,R
177,174.,Casey Candaele (9),7,R
178,174.,Jeff Cox (2),7,R
179,174.,Mark DeRosa (16),7,R
180,174.,Alvaro Espinoza (12),7,R
181,174.,Brent Gates (7),7,R
182,174.,Benji Gil (8),7,R
183,174.,"Marwin Gonzalez (9, 31)",7,R
184,174.,Rene Gonzales (13),7,R
185,174.,Milt Graff (2),7,R
186,174.,Jerry Hairston (16),7,R
187,174.,"Enrique Hernandez (7, 28)",7,R
188,174.,Maicer Izturis (11),7,R
189,174.,Matt Kata (5),7,R
190,174.,Eddie Leon (8),7,R
191,174.,Greg Litton (6),7,R
192,174.,Greg Pryor (10),7,R
193,174.,Jerry Remy (10),7,R
194,174.,Ryan Roberts (9),7,R
195,174.,Juan Uribe (16),7,R
196,174.,Davey Williams (6),7,R
197,174.,Eric Young Sr. (15),7,R
198,199.,"Ehire Adrianza (8, 30)",6,R
199,199.,Mark Bellhorn (10),6,R
200,199.,Larry Brown (12),6,R
201,199.,"Christian Colon (6, 31)",6,R
202,199.,Kiko Garcia (10),6,R
203,199.,Doug Griffin (8),6,R
204,199.,Chip Hale (7),6,R
205,199.,Bob Heise (11),6,R
206,199.,Warren Morris (5),6,R
207,199.,Jayson Nix (7),6,R
208,199.,Frank Quilici (5),6,R
209,199.,"Jose Ramirez (8, 27)",6,R
210,199.,Addison Russell (5),6,R
211,199.,Dick Schofield (19),6,R
212,199.,"Donovan Solano (7, 32)",6,R
213,199.,Junior Spivey (5),6,R
214,199.,Chris Stynes (10),6,R
215,199.,"Ildemaro Vargas (4, 28)",6,R
216,217.,Luis Alicea (13),5,R
217,217.,"Austin Barnes (6, 30)",5,R
218,217.,Clay Bellinger (4),5,R
219,217.,Tim Bogar (9),5,R
220,217.,Homer Bush (7),5,R
221,217.,"Wilmer Difo (6, 28)",5,R
222,217.,"Tommy Edman (2, 25)",5,R
223,217.,"Eduardo Escobar (10, 31)",5,R
224,217.,"Mike Freeman (5, 32)",5,R
225,217.,Jesse Garcia (7),5,R
226,217.,Jose Hernandez (15),5,R
227,217.,Aaron Ledesma (5),5,R
228,217.,Bryan Little (5),5,R
229,217.,Mark Loretta (15),5,R
230,217.,Jose Martinez (2),5,R
231,217.,"Jose Peraza (6, 26)",5,R
232,217.,Jody Reed (11),5,R
233,217.,Will Rhymes (3),5,R
234,217.,Curt Roberts (3),5,R
235,217.,Adam Rosales (11),5,R
236,217.,"Tyler Wade (4, 25)",5,R
237,217.,George Williams (3),5,R
238,239.,Jim Anderson (6),4,R
239,239.,Mike Aviles (10),4,R
240,239.,"Erick Aybar (12, 36)",4,R
241,239.,Bob Bailor (11),4,R
242,239.,Ossie Chavarria (2),4,R
243,239.,Ivan De Jesus (4),4,R
244,239.,Wilson Delgado (9),4,R
245,239.,"Mauricio Dubon (2, 25)",4,R
246,239.,Ron Gardenhire (5),4,R
247,239.,Johnny Goryl (6),4,R
248,239.,Anderson Hernandez (6),4,R
249,239.,Ken Hubbs (3),4,R
250,239.,Joe Koppe (8),4,R
251,239.,Felipe Lopez (11),4,R
252,239.,Jose Lopez (9),4,R
253,239.,"Jed Lowrie (12, 36)",4,R
254,239.,Bill Lyons (2),4,R
255,239.,Dixon Machado (4),4,R
256,239.,Ralph Milliard (3),4,R
257,239.,Melvin Mora (13),4,R
258,239.,"Max Muncy (5, 29)",4,R
259,239.,Pete Orr (8),4,R
260,239.,John Patterson (4),4,R
261,239.,Rick Renteria (5),4,R
262,239.,Argenis Reyes (2),4,R
263,239.,Jeff Richardson (3),4,R
264,239.,"Miguel Rojas (7, 31)",4,R
265,239.,Chico Salmon (9),4,R
