,Rank,"Player (yrs, age)",Range Factor/9Inn as 2B,Throws
0,1.,Glenn Hubbard (12),5.814,R
1,2.,Bump Wills (6),5.726,R
2,3.,Bobby Grich (17),5.714,R
3,4.,Manny Trillo (17),5.698,R
4,5.,Tito Fuentes (13),5.695,R
5,6.,Rennie Stennett (11),5.673,R
6,7.,Pokey Reese (8),5.637,R
7,8.,Rob Wilfong (11),5.618,R
8,9.,Ted Sizemore (12),5.615,R
9,10.,Pedro Garcia (5),5.593,R
10,11.,Julio Cruz (10),5.575,R
11,12.,Frank White (18),5.556,R
12,13.,Mike Tyson (10),5.537,R
13,14.,Derrel Thomas (15),5.524,R
14,15.,Jose Oquendo (12),5.516,R
15,16.,Jim Gantner (17),5.506,R
16,17.,Dave Cash (12),5.491,R
17,18.,Jack Brohamer (9),5.471,R
18,19.,Jody Reed (11),5.400,R
19,20.,Willie Randolph (18),5.395,R
20,21.,Lou Whitaker (19),5.392,R
21,22.,Tony Bernazard (10),5.357,R
22,23.,Phil Garner (16),5.348,R
23,24.,Joe Morgan+ (22),5.344,R
24,25.,Billy Ripken (12),5.342,R
25,26.,Ron Oester (13),5.341,R
26,27.,Jose Lind (9),5.336,R
27,27.,Johnny Ray (10),5.336,R
28,29.,Harold Reynolds (12),5.331,R
29,30.,Orlando Hudson (11),5.325,R
30,31.,Scott Fletcher (15),5.320,R
31,32.,Ryne Sandberg+ (16),5.312,R
32,33.,Carlos Baerga (14),5.309,R
33,34.,Craig Counsell (16),5.308,R
34,35.,Robby Thompson (11),5.302,R
35,36.,Fernando Vina (12),5.290,R
36,37.,Quilvio Veras (7),5.289,R
37,38.,Tim Flannery (11),5.278,R
38,38.,Damaso Garcia (11),5.278,R
39,40.,Mike Gallego (13),5.276,R
40,41.,Doug Flynn (11),5.275,R
41,42.,Jeff Treadway (9),5.254,R
42,43.,Duane Kuiper (12),5.248,R
43,44.,Tom Herr (13),5.246,R
44,45.,Placido Polanco (16),5.238,R
45,46.,Tony Phillips (18),5.233,R
46,47.,Luis Alicea (13),5.218,R
47,48.,Davey Lopes (16),5.216,R
48,49.,Mark McLemore (19),5.215,R
49,50.,Marty Barrett (10),5.213,R
50,51.,Miguel Cairo (17),5.209,R
51,52.,Marcus Giles (7),5.195,R
52,53.,Rich Dauer (10),5.190,R
53,54.,Jeff Frye (8),5.179,R
54,54.,Jerry Remy (10),5.179,R
55,54.,Eric Young Sr. (15),5.179,R
56,57.,Juan Samuel (16),5.167,R
57,58.,Carlos Garcia (10),5.162,R
58,59.,Pat Kelly (9),5.160,R
59,60.,Tony Graffanino (13),5.152,R
60,61.,Steve Sax (14),5.150,R
61,62.,Tony Womack (13),5.143,R
62,63.,Denny Doyle (8),5.139,R
63,64.,Aaron Miles (9),5.103,R
64,65.,Mark Ellis (12),5.101,R
65,66.,Randy Velarde (16),5.100,R
66,67.,Mike Lansing (9),5.084,R
67,68.,Damion Easley (17),5.077,R
68,69.,Felix Millan (12),5.073,R
69,70.,Mark Lemke (11),5.062,R
70,71.,Jeff Kent (17),5.061,R
71,72.,Jerry Hairston (16),5.055,R
72,73.,Ronnie Belliard (13),5.043,R
73,74.,Bip Roberts (12),5.042,R
74,75.,"DJ LeMahieu (10, 31)",5.003,R
75,76.,Alex Cora (14),4.998,R
76,77.,Jorge Orta (16),4.993,R
77,78.,Mariano Duncan (12),4.990,R
78,79.,Roberto Alomar+ (17),4.973,R
79,80.,Julio Franco (23),4.970,R
80,81.,Mark Loretta (15),4.958,R
81,82.,Craig Biggio+ (20),4.953,R
82,83.,Bill Doran (12),4.943,R
83,84.,Mickey Morandini (11),4.941,R
84,85.,Wally Backman (14),4.931,R
85,86.,Delino DeShields (13),4.927,R
86,87.,Mark Grudzielanek (15),4.922,R
87,88.,Jose Lopez (9),4.921,R
88,89.,Aaron Hill (13),4.919,R
89,90.,"Kolten Wong (8, 29)",4.918,R
90,91.,Tim Teufel (11),4.911,R
91,92.,Adam Kennedy (14),4.898,R
92,93.,Jamey Carroll (12),4.892,R
93,94.,Ian Kinsler (14),4.891,R
94,95.,Keith Lockhart (10),4.888,R
95,96.,"Gordon Beckham (11, 33)",4.870,R
96,97.,Jerry Browne (10),4.868,R
97,98.,Luis Castillo (15),4.865,R
98,99.,Nelson Liriano (11),4.864,R
99,100.,Marlon Anderson (12),4.857,R
100,101.,Chuck Knoblauch (12),4.843,R
101,102.,Ray Durham (14),4.830,R
102,103.,Marco Scutaro (13),4.827,R
103,104.,Danny Espinosa (8),4.815,R
104,105.,Chase Utley (16),4.805,R
105,106.,Brandon Phillips (17),4.794,R
106,107.,Jose Offerman (15),4.790,R
107,108.,Alfonso Soriano (16),4.776,R
108,109.,Freddy Sanchez (10),4.770,R
109,110.,"Robinson Cano (16, 37)",4.761,R
110,111.,"Neil Walker (12, 34)",4.752,R
111,112.,Bret Boone (14),4.750,R
112,113.,Todd Walker (12),4.740,R
113,114.,Brian Roberts (14),4.732,R
114,115.,Kelly Johnson (11),4.729,R
115,116.,Jose Vidro (12),4.721,R
116,117.,Joey Cora (11),4.720,R
117,118.,Dan Uggla (10),4.705,R
118,119.,Edgardo Alfonzo (12),4.690,R
119,120.,Darwin Barney (8),4.686,R
120,121.,Omar Infante (15),4.674,R
121,122.,"Rougned Odor (7, 26)",4.673,R
122,123.,"Dee Strange-Gordon (10, 32)",4.660,R
123,124.,"Jonathan Schoop (8, 28)",4.646,R
124,125.,Scooter Gennett (7),4.629,R
125,126.,"Brian Dozier (9, 33)",4.601,R
126,127.,"Dustin Pedroia (14, 36)",4.597,R
127,128.,"Joe Panik (7, 29)",4.581,R
128,129.,Howie Kendrick (15),4.570,R
129,130.,Rickie Weeks (14),4.547,R
130,131.,Ben Zobrist (14),4.419,R
131,132.,Luis Rivas (8),4.357,R
132,133.,"Cesar Hernandez (8, 30)",4.331,R
133,134.,"Daniel Murphy (12, 35)",4.322,R
134,135.,"Jason Kipnis (10, 33)",4.227,R
135,136.,"Jose Altuve (10, 30)",4.208,R
136,137.,"Logan Forsythe (10, 33)",4.204,R
137,138.,"Starlin Castro (11, 30)",4.097,R
