,Rank,"Player (yrs, age)",Def. Games as P,Throws
101,102.,Greg Minton (16),710,R
102,103.,Roger Clemens (24),709,R
103,104.,Pud Galvin+ (15),705,R
104,105.,Rod Beck (13),704,R
105,105.,Stu Miller (16),704,R
106,107.,Greg Harris (15),703,R
107,107.,Troy Percival (14),703,R
108,109.,Joe Niekro (22),702,R
109,110.,Bill Campbell (15),700,R
110,110.,Jeff Montgomery (13),700,R
111,112.,Larry Andersen (17),699,R
112,113.,Bob McClure (19),698,L
113,114.,Pete Alexander+ (20),696,R
114,114.,Craig Lefferts (12),696,L
115,114.,Jamie Moyer (25),696,L
116,117.,Jonathan Broxton (13),694,R
117,117.,Bob Miller (17),694,R
118,117.,Trever Miller (13),694,L
119,120.,Matt Belisle (15),693,R
120,121.,Bert Blyleven+ (22),692,R
121,121.,Grant Jackson (18),692,L
122,121.,Dennis Martinez (23),692,R
123,121.,Kent Mercker (18),692,L
124,121.,Eppa Rixey+ (21),692,L
125,126.,"Oliver Perez (18, 38)",691,L
126,126.,Early Wynn+ (23),691,R
127,128.,Eddie Fisher (15),690,R
128,129.,Jonathan Papelbon (12),689,R
129,130.,Terry Mulholland (20),685,L
130,131.,Rheal Cormier (16),683,L
131,132.,Tom Glavine+ (22),682,L
132,133.,Ted Abernathy (14),681,R
133,133.,Derek Lowe (17),681,R
134,135.,Rafael Betancourt (12),680,R
135,135.,J.C. Romero (14),680,L
136,137.,Jason Frasor (12),679,R
137,138.,Tim Worrell (14),678,R
138,139.,Joe Beimel (13),676,L
139,139.,Robin Roberts+ (19),676,R
140,141.,Waite Hoyt+ (21),674,R
141,141.,Jim Johnson (13),674,R
142,141.,Dan Quisenberry (12),674,R
143,144.,Dennys Reyes (15),673,L
144,145.,Randy Choate (15),672,L
145,146.,Braden Looper (12),670,R
146,147.,Red Faber+ (20),669,R
147,148.,Dave Giusti (15),668,R
148,148.,Huston Street (13),668,R
149,150.,Dennis Cook (15),665,L
150,151.,Fergie Jenkins+ (19),664,R
151,151.,Greg Swindell (17),664,L
152,153.,"David Robertson (12, 35)",661,R
153,153.,Bruce Sutter+ (12),661,R
154,155.,David Wells (21),660,L
155,156.,Miguel Batista (18),658,R
156,157.,Tom Seaver+ (20),656,R
157,158.,Santiago Casilla (15),655,R
158,158.,Paul Lindblad (14),655,L
159,160.,Chuck McElroy (13),654,L
160,161.,Wilbur Wood (17),651,L
161,162.,Brian Fuentes (12),650,L
162,163.,Hector Carrasco (12),647,R
163,163.,Sad Sam Jones (22),647,R
164,163.,Dave LaRoche (14),647,L
165,166.,Luke Gregerson (11),646,R
166,167.,Robb Nen (10),643,R
167,168.,Tom Henke (14),642,R
168,169.,Dutch Leonard (20),640,R
169,169.,Gerry Staley (15),640,R
170,171.,Dennis Lamp (16),639,R
171,171.,Mike Remlinger (14),639,L
172,171.,Diego Segui (15),639,R
173,174.,Frank Tanana (21),638,L
174,175.,Bob Stanley (13),637,R
175,176.,Christy Mathewson+ (17),636,R
176,177.,Boone Logan (13),635,L
177,178.,Jeff Shaw (12),633,R
178,179.,"Kenley Jansen (11, 32)",632,R
179,179.,Charlie Root (17),632,R
180,181.,Dan Miceli (14),631,R
181,182.,Jim Perry (17),630,R
182,183.,Jerry Reuss (22),628,L
183,184.,Tim Wakefield (19),627,R
184,184.,"Tony Watson (10, 35)",627,L
185,186.,Doug Brocail (15),626,R
186,186.,Lew Burdette (18),626,R
187,186.,Jose Valverde (12),626,R
188,189.,Murry Dickson (18),625,R
