,Rank,"Player (yrs, age)",Fielding % as LF (s.1901),Throws
186,187.,Carson Bigbee (11),.9665,R
187,188.,Bob Johnson (13),.9659,R
188,189.,Zack Wheat+ (19),.9654,R
189,190.,Ray Blades (10),.9650,R
190,191.,John Stone (11),.9643,R
191,192.,Bob Meusel (11),.9642,R
192,193.,Leon Wagner (12),.9637,R
193,194.,Bob Fothergill (12),.9635,R
194,195.,Lonnie Smith (17),.9633,R
195,195.,Bobby Veach (14),.9633,R
196,197.,Lefty O'Doul (11),.9631,L
197,198.,George Bell (12),.9629,R
198,199.,Rip Radcliff (10),.9627,L
199,200.,Irish Meusel (11),.9621,R
200,201.,Frank Schulte (15),.9620,R
201,202.,Davy Jones (15),.9619,R
202,203.,Ken Williams (14),.9610,R
203,204.,Willie Stargell+ (21),.9607,L
204,205.,Wes Covington (11),.9606,R
205,205.,Jerry Lynch (13),.9606,R
206,207.,Lee Maye (13),.9599,R
207,208.,Bob Bescher (11),.9591,L
208,209.,Moose Solters (9),.9590,R
209,210.,George Stone (7),.9583,L
210,211.,Duffy Lewis (11),.9581,R
211,212.,Lou Brock+ (19),.9578,L
212,213.,Goose Goslin+ (18),.9576,R
213,214.,Topsy Hartsel (14),.9567,L
214,215.,Gee Walker (15),.9566,R
215,216.,Dave Kingman (16),.9561,R
216,217.,Jack Graney (14),.9556,L
217,218.,Dick Wakefield (9),.9534,R
218,219.,Alex Johnson (13),.9516,R
219,220.,Tillie Walker (13),.9515,R
220,221.,Burt Shotton (14),.9373,R
221,222.,Patsy Dougherty (10),.9358,R
222,223.,Roy Johnson (10),.9308,R
