,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
161,162.,Carl Mays (15),1.2068,R
162,163.,Wally Bunker (9),1.2070,R
163,163.,Jim Merritt (11),1.2070,L
164,165.,Dave Dravecky (8),1.2073,L
165,166.,Jim Brewer (17),1.2092,L
166,167.,John Clarkson+ (12),1.2093,R
167,168.,Mat Latos (9),1.2095,R
168,168.,Vic Willis+ (13),1.2095,R
169,170.,Jeff Pfeffer (13),1.2096,R
170,171.,George Bell (5),1.2109,R
171,172.,Roy Oswalt (13),1.2110,R
172,173.,Irv Young (6),1.2111,L
173,174.,Lefty Leifield (12),1.2116,L
174,174.,Bob Wicker (6),1.2116,R
175,176.,Harry Howell (13),1.2120,R
176,176.,Don Wilson (9),1.2120,R
177,178.,Dean Chance (11),1.2122,R
178,179.,Frank Corridon (6),1.2130,R
179,180.,Don Mossi (12),1.2132,L
180,181.,Sonny Siebert (12),1.2133,R
181,182.,Ron Reed (19),1.2138,R
182,183.,Dave McNally (14),1.2139,L
183,184.,LaMarr Hoyt (8),1.2140,R
184,185.,Carl Lundgren (8),1.2141,R
185,186.,Pascual Perez (11),1.2143,R
186,187.,Marco Estrada (12),1.2147,R
187,187.,Ed Karger (6),1.2147,L
188,189.,Whitey Ford+ (16),1.2150,L
189,189.,Pat Jarvis (8),1.2150,R
190,191.,Mort Cooper (11),1.2153,R
191,192.,Cy Morgan (10),1.2163,R
192,193.,Jack Powell (16),1.2167,R
193,194.,Ed Killian (8),1.2169,L
194,195.,Doc Ayers (9),1.2172,R
195,196.,Larry Dierker (14),1.2174,R
196,197.,"Josh Tomlin (11, 35)",1.2175,R
197,198.,Jack Lynch (7),1.2176,R
198,199.,Michael Jackson (17),1.2177,R
199,200.,Ben Sheets (10),1.2188,R
200,201.,Mel Stottlemyre (11),1.2189,R
201,202.,"Jake Arrieta (11, 34)",1.2196,R
202,203.,Alejandro Pena (15),1.2197,R
203,204.,"Sonny Gray (8, 30)",1.2200,R
204,205.,Rick Reed (15),1.2202,R
205,206.,Cy Falkenberg (12),1.2220,R
206,207.,Kevin Brown (19),1.2222,R
207,208.,"Mike Minor (9, 32)",1.2227,L
208,209.,"Julio Teheran (10, 29)",1.2233,R
209,210.,Ray Fisher (10),1.2235,R
210,210.,Bill Hands (11),1.2235,R
211,212.,Kid Nichols+ (15),1.2237,R
212,213.,Larry Jansen (9),1.2239,R
213,214.,"Adam Wainwright (15, 38)",1.2248,R
214,215.,Ed Seward (6),1.2250,R
215,216.,Dutch Leonard (11),1.2254,L
216,216.,Milt Pappas (17),1.2254,R
217,218.,Mickey Welch+ (13),1.2255,R
218,219.,John Smiley (12),1.2256,L
219,220.,Wilbur Cooper (15),1.2264,L
220,221.,Rick Aguilera (16),1.2266,R
221,222.,Cherokee Fisher (8),1.2270,R
222,223.,Mickey Lolich (16),1.2272,L
223,224.,Don Gullett (9),1.2273,L
224,225.,Candy Cummings+ (6),1.2276,R
225,226.,Matt Cain (13),1.2279,R
226,227.,Tully Sparks (12),1.2288,R
227,228.,Red Ames (17),1.2289,R
228,228.,Pol Perritt (10),1.2289,R
229,230.,Jimmy Key (15),1.2293,L
230,231.,Turk Farrell (14),1.2296,R
231,232.,Hal Brown (14),1.2298,R
232,233.,Dazzy Vance+ (16),1.2300,R
233,234.,Dick Donovan (15),1.2308,R
234,235.,Bill Dinneen (12),1.2314,R
235,236.,Josh Beckett (14),1.2316,R
236,236.,Steve Rogers (13),1.2316,R
237,238.,Charlie Smith (10),1.2317,R
238,238.,Wilbur Wood (17),1.2317,L
239,240.,Rich Gossage+ (22),1.2319,R
240,241.,Hank Aguirre (16),1.2324,L
241,242.,Harvey Haddix (14),1.2327,L
242,243.,Jon Matlack (13),1.2332,L
243,244.,Erskine Mayer (8),1.2334,R
244,245.,Vida Blue (17),1.2335,L
245,246.,Charlie Buffinton (11),1.2338,R
246,247.,Shaun Marcum (9),1.2340,R
247,248.,Ed Siever (7),1.2349,L
248,249.,Joaquin Benoit (16),1.2352,R
249,249.,Larry Jackson (14),1.2352,R
250,251.,Teddy Higuera (9),1.2355,L
251,252.,Tony Mullane (13),1.2365,R
252,253.,Rube Marquard+ (18),1.2372,L
253,254.,Ned Garvin (7),1.2373,R
254,255.,Bobby Mathews (15),1.2375,R
255,256.,Lefty Williams (7),1.2378,L
256,257.,Brandon Webb (7),1.2389,R
257,258.,Tim Hudson (17),1.2390,R
258,259.,Art Nehf (15),1.2391,L
259,260.,Jack Coombs (14),1.2392,R
260,261.,Doc Crandall (10),1.2394,R
261,262.,"Jake Odorizzi (9, 30)",1.2395,R
262,263.,Lew Richie (8),1.2396,R
263,264.,Billy O'Dell (13),1.2400,L
264,265.,Gene Packard (8),1.2401,L
265,266.,Bob Rhoads (8),1.2402,R
266,267.,Atlee Hammaker (12),1.2404,L
267,268.,Bill Swift (11),1.2414,R
268,269.,Bill Bernhard (9),1.2416,R
269,270.,Jim Turner (9),1.2420,R
270,271.,Leon Cadore (10),1.2423,R
271,272.,Doug Jones (16),1.2425,R
272,273.,Larry Cheney (9),1.2427,R
273,274.,Burt Hooton (15),1.2428,R
274,275.,Roy Face (16),1.2429,R
275,276.,Lew Burdette (18),1.2434,R
276,276.,Doug Drabek (13),1.2434,R
277,276.,Toad Ramsey (6),1.2434,L
278,279.,J.R. Richard (10),1.2435,R
279,279.,"Jeff Samardzija (13, 35)",1.2435,R
280,281.,Marty Pattin (13),1.2440,R
281,282.,Bobby Bolin (13),1.2443,R
282,283.,Bill Donovan (18),1.2447,R
283,284.,Steve Gromek (17),1.2448,R
284,285.,Andy Coakley (9),1.2449,R
285,286.,Willie Hernandez (13),1.2454,L
286,286.,Lon Warneke (15),1.2454,R
287,288.,Dave Stieb (16),1.2455,R
288,289.,Jesse Barnes (13),1.2457,R
289,290.,Hugh Daily (6),1.2459,R
290,290.,Patsy Flaherty (9),1.2459,L
291,290.,Dick McBride (6),1.2459,R
292,290.,Don McMahon (18),1.2459,R
293,294.,Steve Carlton+ (24),1.2467,L
294,294.,Lee Stange (10),1.2467,R
295,296.,Nolan Ryan+ (27),1.2473,R
296,297.,Rudy May (16),1.2479,L
297,298.,Craig Lefferts (12),1.2482,L
298,299.,Javier Vazquez (14),1.2489,R
299,300.,Ken Forsch (16),1.2490,R
300,301.,"Jordan Zimmermann (12, 34)",1.2491,R
301,302.,Dave Davenport (6),1.2492,R
302,303.,Gary Peters (14),1.2494,L
303,304.,Sal Maglie (10),1.2496,R
304,305.,Kent Tekulve (16),1.2501,R
305,305.,Jack Warhop (8),1.2501,R
306,307.,Dave Rozema (10),1.2505,R
307,308.,Randy Jones (10),1.2509,L
308,309.,Stan Coveleski+ (14),1.2515,R
309,310.,"Dallas Keuchel (9, 32)",1.2524,L
310,311.,"Chris Archer (8, 31)",1.2526,R
311,312.,Bill Monbouquette (11),1.2527,R
312,313.,Scott Baker (10),1.2530,R
313,314.,Stu Miller (16),1.2531,R
314,315.,Jeremy Hellickson (10),1.2534,R
315,316.,Tug McGraw (19),1.2544,L
316,317.,Fred Beebe (7),1.2547,R
317,318.,Ted Lilly (15),1.2549,L
318,319.,Scott Sanderson (19),1.2550,R
319,320.,Urban Shocker (13),1.2552,R
320,321.,Red Lucas (16),1.2553,R
321,322.,Jim Perry (17),1.2555,R
322,323.,Dutch Leonard (20),1.2556,R
323,324.,Lee Smith+ (18),1.2557,R
324,325.,David Cone (17),1.2561,R
325,325.,Dwight Gooden (16),1.2561,R
326,327.,Ben McDonald (9),1.2568,R
327,328.,Dave Boswell (8),1.2569,R
328,329.,Doug Fister (10),1.2571,R
329,329.,Bill Singer (14),1.2571,R
330,331.,George Suggs (8),1.2573,R
331,332.,Ken Raffensberger (15),1.2576,L
332,332.,Chris Young (13),1.2576,R
333,334.,Pete Conway (5),1.2577,R
334,335.,"Tanner Roark (8, 33)",1.2578,R
335,336.,Jim Kaat (25),1.2588,L
336,336.,Jerry Koosman (19),1.2588,L
337,336.,CC Sabathia (19),1.2588,L
338,339.,Jim Maloney (12),1.2591,R
339,339.,Pat Ragan (11),1.2591,R
340,341.,Al Orth (15),1.2594,R
341,341.,Preacher Roe (12),1.2594,L
342,343.,Bobby Shantz (16),1.2595,L
343,344.,Brad Radke (12),1.2599,R
344,345.,Warren Hacker (12),1.2600,R
345,345.,Greg Swindell (17),1.2600,L
346,347.,Joe Lake (6),1.2602,R
347,347.,Billy Pierce (18),1.2602,L
348,349.,Orel Hershiser (18),1.2606,R
349,350.,Dick Bosman (11),1.2608,R
350,351.,Ray Caldwell (12),1.2609,R
351,352.,"Mike Fiers (10, 35)",1.2613,R
352,353.,Ed Halicki (7),1.2615,R
353,353.,Dennis Leonard (12),1.2615,R
354,355.,Jose Rijo (14),1.2622,R
355,356.,Don Cardwell (14),1.2624,R
356,357.,John Buzhardt (11),1.2625,R
357,358.,Orlando Hernandez (9),1.2627,R
358,359.,Jesse Orosco (24),1.2630,L
359,360.,Jose DeLeon (13),1.2634,R
360,361.,Curt Davis (13),1.2637,R
361,362.,Lefty Tyler (12),1.2641,L
362,363.,Gene Garber (19),1.2642,R
363,364.,Jim Bouton (10),1.2643,R
364,365.,"Trevor Bauer (9, 29)",1.2647,R
365,366.,Rube Benton (15),1.2648,L
366,367.,"Jon Lester (15, 36)",1.2653,L
367,368.,Dennis Martinez (23),1.2656,R
368,368.,"Jose Quintana (9, 31)",1.2656,L
369,370.,David Wells (21),1.2661,L
370,371.,Bud Black (15),1.2667,L
371,371.,Frank Lary (12),1.2667,R
372,373.,Dummy Taylor (9),1.2670,R
373,374.,Bob Purkey (13),1.2673,R
374,375.,Kerry Wood (14),1.2674,R
375,376.,Bill Doak (16),1.2675,R
376,376.,Jay Hughes (4),1.2675,R
377,378.,Willie Mitchell (11),1.2678,L
378,379.,Danny Darwin (21),1.2680,R
379,380.,John Hiller (15),1.2681,L
380,380.,Phil Niekro+ (24),1.2681,R
381,380.,Craig Swan (12),1.2681,R
382,383.,Harry McIntire (9),1.2691,R
383,384.,Al Downing (17),1.2692,L
384,385.,Red Barrett (11),1.2697,R
385,385.,Paul Lindblad (14),1.2697,L
386,385.,Frank Tanana (21),1.2697,L
387,388.,Frank Kitson (10),1.2698,R
388,389.,Orlando Pena (14),1.2704,R
389,389.,Bob Welch (17),1.2704,R
390,391.,Art Fromme (10),1.2705,R
391,392.,Tom Browning (12),1.2712,L
392,393.,Otto Hess (10),1.2715,L
393,393.,Eppa Rixey+ (21),1.2715,L
394,395.,James Shields (13),1.2718,R
395,396.,Ervin Santana (15),1.2720,R
396,397.,Lindy McDaniel (21),1.2724,R
397,398.,Nelson Briles (14),1.2729,R
398,399.,Bob Shawkey (15),1.2734,R
399,400.,Claude Osteen (18),1.2746,L
400,401.,Rick Reuschel (19),1.2747,R
401,402.,Sparky Lyle (16),1.2752,L
402,403.,Alex Fernandez (10),1.2753,R
403,403.,Al Mamaux (12),1.2753,R
404,405.,Joaquin Andujar (13),1.2759,R
405,406.,Chris Carpenter (15),1.2761,R
406,407.,Johnny Lush (7),1.2765,L
407,408.,Eddie Lopat (12),1.2766,L
408,409.,Pat Dobson (11),1.2772,R
409,410.,"Wei-Yin Chen (8, 34)",1.2774,L
410,411.,Jack Kralick (9),1.2775,L
411,412.,Luke Hamlin (9),1.2776,R
412,413.,Jim Barr (12),1.2778,R
413,413.,Bernie Boland (7),1.2778,R
414,415.,Lefty Grove+ (17),1.2780,L
415,415.,Silver King (10),1.2780,R
416,417.,Jon Lieber (14),1.2784,R
417,418.,Bob Groom (10),1.2789,R
418,418.,Jimmy Lavender (6),1.2789,R
419,420.,Ray Culp (11),1.2795,R
420,421.,Larry Gura (16),1.2799,L
421,422.,Larry Christenson (11),1.2804,R
422,422.,Jim McGlothlin (9),1.2804,R
423,424.,Fred Hutchinson (11),1.2807,R
424,425.,Mark Buehrle (16),1.2810,L
425,425.,Rheal Cormier (16),1.2810,L
426,425.,"Mike Leake (10, 32)",1.2810,R
427,428.,John Montefusco (13),1.2812,R
428,429.,Bill Gullickson (14),1.2816,R
429,430.,Paul Derringer (15),1.2820,R
430,431.,Syl Johnson (19),1.2827,R
431,431.,Tommy John (26),1.2827,L
432,433.,Mike Timlin (18),1.2829,R
433,434.,Tom Burgmeier (17),1.2831,L
434,435.,"Patrick Corbin (8, 30)",1.2832,L
435,436.,Johnny Antonelli (12),1.2834,L
436,437.,Lee Richmond (6),1.2836,L
437,438.,Vern Law (16),1.2837,R
438,439.,Clay Carroll (15),1.2842,R
439,440.,"Ian Kennedy (14, 35)",1.2850,R
440,441.,Jim Bagby (9),1.2856,R
441,442.,Britt Burns (8),1.2857,L
442,443.,Mudcat Grant (14),1.2862,R
443,444.,Vean Gregg (8),1.2864,L
444,444.,Dan Plesac (18),1.2864,L
445,446.,Camilo Pascual (18),1.2871,R
446,447.,Tom Bradley (7),1.2873,R
447,448.,George Mogridge (15),1.2875,L
448,449.,Ed Willett (10),1.2880,R
449,450.,Dock Ellis (12),1.2881,R
450,451.,Denny Lemaster (11),1.2883,L
451,452.,Pretzels Getzien (9),1.2884,R
452,452.,Dolf Luque (20),1.2884,R
453,454.,Rick Wise (18),1.2890,R
454,455.,Ken Holtzman (15),1.2894,L
455,455.,Stan Williams (14),1.2894,R
456,455.,Clyde Wright (10),1.2894,L
457,458.,George Mullin (14),1.2901,R
458,459.,Jack Sanford (12),1.2902,R
459,460.,Ed Daily (7),1.2903,R
460,460.,Earl Moore (14),1.2903,R
461,462.,"Lance Lynn (9, 33)",1.2904,R
462,462.,Guy Morton (11),1.2904,R
463,464.,Eric Show (11),1.2906,R
464,465.,Scott McGregor (13),1.2907,L
465,466.,Ray Washburn (10),1.2909,R
466,467.,Cliff Melton (8),1.2912,L
467,468.,Bob Forsch (16),1.2914,R
468,469.,Oil Can Boyd (10),1.2917,R
469,470.,Bob Friend (16),1.2922,R
470,470.,Bob Tewksbury (13),1.2922,R
471,472.,Mike McCormick (16),1.2923,L
472,473.,Jean Dubuc (9),1.2926,R
473,473.,Bob Rush (13),1.2926,R
474,475.,Doug Bird (11),1.2928,R
475,476.,Doyle Alexander (19),1.2929,R
476,477.,Tim Lincecum (10),1.2931,R
477,478.,Kevin Appier (16),1.2939,R
478,479.,Bill Wegman (11),1.2943,R
479,480.,Mike Marshall (14),1.2945,R
480,480.,Jim O'Toole (10),1.2945,L
481,482.,John Lackey (15),1.2946,R
482,482.,Ben Sanders (5),1.2946,R
483,484.,Charlie Root (17),1.2951,R
484,485.,Dave Giusti (15),1.2955,R
485,485.,Don Robinson (15),1.2955,R
486,487.,Pete Harnisch (14),1.2956,R
487,487.,Dave Wickersham (10),1.2956,R
488,489.,Ewell Blackwell (10),1.2960,R
489,489.,Earl Wilson (11),1.2960,R
490,491.,Jack Morris+ (18),1.2963,R
491,492.,Steve Bedrosian (14),1.2964,R
492,493.,Cy Blanton (9),1.2969,R
493,493.,George Zettlein (6),1.2969,R
494,495.,Freddie Fitzsimmons (19),1.2970,R
495,496.,Max Lanier (14),1.2974,L
496,496.,Vern Ruhle (13),1.2974,R
497,498.,Hardie Henderson (6),1.2984,R
498,499.,Clay Buchholz (13),1.2985,R
499,500.,Chris Short (15),1.2994,L
500,501.,Tom Sturdivant (10),1.2999,R
501,502.,Chris Bosio (11),1.3000,R
502,503.,R.A. Dickey (15),1.3001,R
503,504.,Brandon McCarthy (13),1.3002,R
504,505.,Johnny Sain (11),1.3003,R
505,506.,Jack Quinn (23),1.3004,R
506,507.,Bob Moose (10),1.3005,R
507,508.,Bronson Arroyo (16),1.3007,R
508,508.,"J.A. Happ (14, 37)",1.3007,L
509,508.,Jarrod Washburn (12),1.3007,L
510,511.,Tom Candiotti (16),1.3009,R
511,511.,Moose Haas (12),1.3009,R
512,511.,Johnny Niggeling (9),1.3009,R
513,514.,Roger Wolff (7),1.3010,R
514,515.,Bruce Kison (15),1.3013,R
515,515.,Frank Mountain (7),1.3013,R
516,515.,Doug Rau (9),1.3013,L
517,515.,Frank Viola (15),1.3013,L
518,519.,Red Faber+ (20),1.3015,R
519,520.,Charlie Hough (25),1.3016,R
520,521.,Schoolboy Rowe (15),1.3022,R
521,522.,Jack McDowell (12),1.3023,R
522,523.,Bill Duggleby (8),1.3025,R
523,524.,Sherry Smith (14),1.3027,L
524,525.,Freddy Garcia (15),1.3034,R
525,526.,Arthur Rhodes (20),1.3042,L
526,527.,Watty Clark (12),1.3048,L
527,528.,Frank Sullivan (11),1.3054,R
528,529.,Moe Drabowsky (17),1.3059,R
529,530.,Ross Grimsley (11),1.3063,L
530,530.,Virgil Trucks (17),1.3063,R
531,532.,Dave Bush (9),1.3064,R
532,533.,Curt Simmons (20),1.3069,L
533,534.,Billy Loes (11),1.3072,R
534,535.,Kevin Tapani (13),1.3073,R
535,536.,Johnny Rigney (8),1.3074,R
536,537.,Dick Tidrow (13),1.3076,R
537,538.,Jim Lonborg (15),1.3079,R
538,539.,Sam McDowell (15),1.3080,L
539,540.,Gary Bell (12),1.3082,R
540,541.,Mike Norris (10),1.3083,R
541,542.,Jim Tobin (9),1.3084,R
542,543.,Jesse Petty (7),1.3092,L
543,544.,Tom Morgan (12),1.3094,R
544,545.,Tom Hughes (13),1.3098,R
545,546.,Joe Gibbon (13),1.3102,L
546,547.,Jim Nash (7),1.3104,R
547,548.,Skip Lockwood (13),1.3107,R
548,548.,Hal Newhouser+ (17),1.3107,L
549,548.,Ismael Valdez (12),1.3107,R
550,551.,Jim Colborn (10),1.3109,R
551,551.,Pedro Ramos (15),1.3109,R
552,553.,Chuck Dobson (9),1.3113,R
553,554.,Ramon Martinez (14),1.3114,R
554,555.,Dick Drago (13),1.3115,R
555,555.,Gerry Staley (15),1.3115,R
556,557.,Andy Benes (14),1.3116,R
557,557.,Ed Whitson (15),1.3116,R
558,559.,"Bartolo Colon (21, 47)",1.3118,R
559,560.,Grant Jackson (18),1.3123,L
560,561.,Denny Neagle (13),1.3125,L
561,562.,Clark Griffith+ (21),1.3126,R
562,563.,"Anibal Sanchez (15, 36)",1.3129,R
563,563.,Mike Smith (14),1.3129,L
564,565.,Dave LaRoche (14),1.3132,L
565,566.,Dan Casey (7),1.3134,L
566,566.,Matt Kilroy (10),1.3134,L
567,568.,Rick Rhoden (16),1.3136,R
568,569.,Tom Glavine+ (22),1.3137,L
569,570.,Shane Reynolds (13),1.3139,R
570,571.,Pedro Borbon (12),1.3140,R
571,572.,Phil Hughes (12),1.3145,R
572,572.,Casey Patten (8),1.3145,L
573,574.,Rick Honeycutt (21),1.3148,L
574,575.,Dan Schatzeder (15),1.3151,L
575,576.,Art Fowler (9),1.3154,R
576,576.,Henry Porter (6),1.3154,R
