,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
717,718.,Clyde Shoun (14),1.3434,L
718,719.,Egyptian Healy (8),1.3435,R
719,719.,Dave Stewart (16),1.3435,R
720,721.,Jeremy Guthrie (13),1.3437,R
721,722.,Tim Belcher (14),1.3440,R
722,723.,Rip Sewell (13),1.3443,R
723,724.,Ken Brett (14),1.3444,L
724,725.,Brian Anderson (13),1.3445,L
725,726.,Al Fitzmorris (10),1.3446,R
726,726.,Wandy Rodriguez (11),1.3446,L
727,728.,Jack Harper (8),1.3447,R
728,729.,Kyle Lohse (16),1.3450,R
729,730.,Ted Lewis (6),1.3452,R
730,731.,Jeff Russell (14),1.3459,R
731,732.,Odalis Perez (10),1.3461,L
732,733.,John Danks (10),1.3463,L
733,734.,John Burkett (15),1.3465,R
734,735.,Scott Kazmir (12),1.3476,L
735,736.,Charles Hudson (7),1.3477,R
736,737.,Joel Pineiro (12),1.3481,R
737,737.,Togie Pittinger (8),1.3481,R
738,737.,Howie Pollet (14),1.3481,L
739,740.,Ernie Broglio (8),1.3482,R
740,740.,Ted Lyons+ (21),1.3482,R
741,742.,Dave Goltz (12),1.3483,R
742,742.,Harry Gumbert (15),1.3483,R
743,744.,Herb Pennock+ (22),1.3484,L
744,745.,Terry Forster (16),1.3485,L
745,746.,Amos Rusie+ (10),1.3486,R
746,747.,Mark Gardner (13),1.3487,R
747,748.,Mike Krukow (14),1.3489,R
748,749.,Randy Wolf (16),1.3490,L
749,750.,Steve Blass (10),1.3491,R
750,751.,Jack Fisher (11),1.3494,R
751,752.,Steve Avery (11),1.3495,L
752,753.,Ed Heusser (9),1.3496,R
753,754.,Jesse Haines+ (19),1.3498,R
754,755.,Greg Harris (15),1.3504,R
755,755.,Eddie Rommel (13),1.3504,R
756,755.,Tim Wakefield (19),1.3504,R
757,758.,Bobby Jones (10),1.3505,R
758,758.,Bob Miller (17),1.3505,R
759,760.,Woodie Fryman (18),1.3507,L
760,760.,Andy Pettitte (18),1.3507,L
761,762.,Diego Segui (15),1.3509,R
762,763.,Ray Sadecki (18),1.3510,L
763,764.,Mike Stanton (19),1.3519,L
764,765.,Hank O'Day+ (7),1.3522,R
765,766.,Steve Hargan (12),1.3523,R
766,766.,Bob Muncrief (12),1.3523,R
767,768.,Lefty Gomez+ (14),1.3524,L
768,769.,Dizzy Trout (15),1.3527,R
