,Rank,"Player (yrs, age)",Double Plays Turned as 2B,Throws
0,1.,Bill Mazeroski+ (17),1706,R
1,2.,Nellie Fox+ (19),1619,R
2,3.,Willie Randolph (18),1547,R
3,4.,Lou Whitaker (19),1527,R
4,5.,Bobby Doerr+ (14),1507,R
5,6.,Joe Morgan+ (22),1505,R
6,7.,Charlie Gehringer+ (19),1444,R
7,8.,"Robinson Cano (16, 37)",1409,R
8,9.,Roberto Alomar+ (17),1407,R
9,10.,Frank White (18),1382,R
10,11.,Red Schoendienst+ (19),1368,R
11,12.,Bobby Grich (17),1302,R
12,13.,Ian Kinsler (14),1291,R
13,14.,Jeff Kent (17),1261,R
14,15.,Eddie Collins+ (25),1239,R
15,16.,Ray Durham (14),1189,R
16,17.,Bid McPhee+ (18),1188,R
17,18.,Billy Herman+ (15),1177,R
18,19.,Joe Gordon+ (11),1160,R
19,20.,Ryne Sandberg+ (16),1158,R
20,21.,Craig Biggio+ (20),1153,R
21,22.,Brandon Phillips (17),1115,R
22,23.,Bret Boone (14),1085,R
23,24.,Frankie Frisch+ (19),1062,R
24,25.,Luis Castillo (15),1051,R
25,26.,Nap Lajoie+ (21),1050,R
26,27.,Jim Gantner (17),1036,R
27,28.,Frank Bolling (12),1003,R
28,29.,Steve Sax (14),998,R
29,30.,Chase Utley (16),993,R
30,31.,Tom Herr (13),991,R
31,32.,Glenn Hubbard (12),975,R
32,33.,Manny Trillo (17),973,R
33,34.,Ski Melillo (12),965,R
34,35.,Buddy Myer (17),963,R
35,35.,Bobby Richardson (12),963,R
36,37.,Hughie Critz (12),960,R
37,38.,Cookie Rojas (16),953,R
38,39.,Tony Taylor (19),950,R
39,40.,Harold Reynolds (12),948,R
40,41.,"Dustin Pedroia (14, 36)",940,R
41,42.,Julian Javier (13),907,R
42,43.,Jerry Priddy (11),906,R
43,44.,Mark Ellis (12),903,R
44,45.,Dave Cash (12),901,R
45,46.,Rogers Hornsby+ (23),895,R
46,47.,Fred Pfeffer (16),894,R
47,48.,Robby Thompson (11),873,R
48,49.,Felix Millan (12),855,R
49,50.,Brian Roberts (14),850,R
50,51.,Del Pratt (13),849,R
51,52.,Orlando Hudson (11),841,R
52,53.,Ted Sizemore (12),835,R
53,54.,Don Blasingame (12),834,R
54,54.,Chuck Knoblauch (12),834,R
55,56.,Tito Fuentes (13),832,R
56,57.,Johnny Temple (13),829,R
57,58.,Johnny Ray (10),828,R
58,59.,Mark McLemore (19),823,R
59,60.,Bucky Harris+ (12),817,R
60,61.,Eddie Stanky (11),816,R
61,62.,Tony Cuccinello (15),812,R
62,63.,Davey Lopes (16),811,R
63,64.,Tony Lazzeri+ (14),808,R
64,65.,Tommy Helms (14),807,R
65,66.,Ronnie Belliard (13),801,R
66,67.,Aaron Hill (13),800,R
67,68.,Eric Young Sr. (15),786,R
68,69.,Bobby Avila (11),785,R
69,70.,Dan Uggla (10),784,R
70,71.,Julio Cruz (10),780,R
71,72.,Bobby Knoop (9),779,R
72,72.,Fernando Vina (12),779,R
73,74.,Damion Easley (17),772,R
74,75.,Adam Kennedy (14),769,R
75,76.,Carlos Baerga (14),759,R
76,76.,Davey Johnson (13),759,R
77,78.,Glenn Beckert (11),758,R
78,79.,Mark Grudzielanek (15),744,R
79,79.,Jerry Remy (10),744,R
80,81.,Delino DeShields (13),743,R
81,82.,Bill Doran (12),742,R
82,83.,Sandy Alomar (15),729,R
83,84.,Placido Polanco (16),718,R
84,85.,"Jose Altuve (10, 30)",715,R
85,86.,Dick Green (12),712,R
86,87.,Larry Doyle (14),698,R
87,88.,Horace Clarke (10),695,R
88,89.,Jody Reed (11),690,R
89,90.,"Brian Dozier (9, 33)",689,R
90,90.,Johnny Evers+ (18),689,R
91,92.,Rennie Stennett (11),687,R
92,93.,Ron Hunt (12),685,R
93,94.,Howie Kendrick (15),682,R
94,95.,Mickey Morandini (11),669,R
95,96.,Rod Carew+ (19),664,R
96,97.,Jerry Lumpe (12),662,R
97,98.,"Neil Walker (12, 34)",653,R
98,99.,"DJ LeMahieu (10, 31)",652,R
99,100.,Ron Oester (13),647,R
100,101.,Lonny Frey (14),642,R
101,102.,Max Bishop (12),639,R
102,102.,George Cutshaw (12),639,R
103,102.,Jackie Hayes (14),639,R
104,105.,Rickie Weeks (14),638,R
105,106.,Rich Dauer (10),636,R
106,107.,Cass Michaels (12),633,R
107,108.,Juan Samuel (16),630,R
108,109.,Jim Gilliam (14),628,R
109,110.,Omar Infante (15),627,R
110,111.,"Rougned Odor (7, 26)",624,R
