,Rank,"Player (yrs, age)",Hit By Pitch,Throws
702,680.,Ray Sadecki (18),41,L
703,680.,Bobby Shantz (16),41,L
704,680.,Frank Smith (11),41,R
705,680.,Bob Stanley (13),41,R
706,680.,Tanyon Sturtze (12),41,R
707,680.,Bob Tewksbury (13),41,R
708,680.,Tom Zachary (19),41,L
709,710.,Jack Aker (11),40,R
710,710.,Floyd Bannister (15),40,L
711,710.,Jim Bibby (12),40,R
712,710.,"Steve Cishek (11, 34)",40,R
713,710.,Sarge Connally (12),40,R
714,710.,Dave Davenport (6),40,R
715,710.,Richard Dotson (12),40,R
716,710.,Darren Dreifort (9),40,R
717,710.,Mark Eichhorn (11),40,R
718,710.,Scott Elarton (10),40,R
719,710.,Chuck Estrada (7),40,R
720,710.,Bert Gallia (9),40,R
721,710.,Harry Harper (10),40,L
722,710.,Art Houtteman (12),40,R
723,710.,"Jared Hughes (10, 34)",40,R
724,710.,Percy Jones (9),40,L
725,710.,Ken Kravec (8),40,L
726,710.,Vern Law (16),40,R
727,710.,Braden Looper (12),40,R
728,710.,Juan Marichal+ (16),40,R
729,710.,Andy Messersmith (12),40,R
730,710.,Tom Morgan (12),40,R
731,710.,Art Nehf (15),40,L
732,710.,Clayton Richard (11),40,L
733,710.,J.C. Romero (14),40,L
734,710.,Glendon Rusch (12),40,L
735,710.,Mike Smith (14),40,L
736,710.,Dennis Springer (8),40,R
737,710.,Steve Stone (11),40,R
738,710.,John Tsitouris (11),40,R
739,710.,Wayne Twitchell (10),40,R
740,710.,Bob Walk (14),40,R
741,710.,Bill Wegman (11),40,R
742,710.,Hooks Wiltse (12),40,L
743,744.,Vic Aldridge (9),39,R
744,744.,Buttons Briggs (5),39,R
745,744.,Andrew Cashner (10),39,R
746,744.,Kevin Correia (13),39,R
747,744.,Doc Crandall (10),39,R
748,744.,Rollie Fingers+ (17),39,R
749,744.,Harry Gaspar (4),39,R
750,744.,Chad Gaudin (11),39,R
751,744.,Mickey Haefner (8),39,L
752,744.,Andy Hawkins (10),39,R
753,744.,Glen Hobbie (8),39,R
754,744.,Al Jackson (10),39,L
755,744.,"Edwin Jackson (17, 36)",39,R
756,744.,Elmer Jacobs (9),39,R
757,744.,Doug Jones (16),39,R
758,744.,Tony Kaufmann (12),39,R
759,744.,Johnny Kucks (6),39,R
760,744.,Ted Lewis (6),39,R
761,744.,Art Mahaffey (7),39,R
762,744.,Rube Marquard+ (18),39,L
763,744.,Stu Miller (16),39,R
764,744.,Hugh Mulcahy (9),39,R
765,744.,Frank Owen (8),39,R
766,744.,Claude Passeau (13),39,R
767,744.,Jack Pfiester (8),39,L
768,744.,Rick Rhoden (16),39,R
769,744.,Pete Schourek (11),39,L
770,744.,Gus Shallix (2),39,R
771,744.,Ed Siever (7),39,L
772,744.,John Smiley (12),39,L
773,744.,"Jose Urena (6, 28)",39,R
774,744.,Bobby Witt (16),39,R
775,776.,Johnny Allen (13),38,R
776,776.,Johnny Antonelli (12),38,L
777,776.,"Chris Archer (8, 31)",38,R
778,776.,Al Atkinson (3),38,R
779,776.,Steve Blass (10),38,R
780,776.,Bill Burns (5),38,L
781,776.,Tex Carleton (8),38,R
782,776.,Santiago Casilla (15),38,R
783,776.,Tom Gordon (21),38,R
784,776.,Charley Hall (9),38,R
785,776.,"J.A. Happ (14, 37)",38,L
786,776.,Bob Harmon (9),38,R
787,776.,Bobby Jones (10),38,R
788,776.,Todd Jones (16),38,R
789,776.,Jimmy Key (15),38,L
790,776.,Ed Knouff (5),38,R
791,776.,Darold Knowles (16),38,L
792,776.,Hiroki Kuroda (7),38,R
793,776.,Firpo Marberry (14),38,R
794,776.,Mike Morrison (3),38,R
795,776.,Hideo Nomo (12),38,R
796,776.,Micah Owings (6),38,R
797,776.,Jim Palmer+ (19),38,R
798,776.,Roy Patterson (7),38,R
799,776.,Dick Ruthven (14),38,R
800,776.,Jeff Tesreau (7),38,R
801,776.,Bob Wickman (15),38,R
802,803.,Jersey Bakley (6),37,R
803,803.,Matt Belisle (15),37,R
804,803.,Joe Boehling (7),37,L
805,803.,Harry Brecheen (12),37,L
806,803.,Bob Buhl (15),37,R
807,803.,John Candelaria (19),37,L
808,803.,"Carlos Carrasco (11, 33)",37,R
809,803.,Clay Carroll (15),37,R
810,803.,Phil Collins (8),37,R
811,803.,Jack Cronin (7),37,R
812,803.,Cliff Curtis (5),37,R
813,803.,Ed Daily (7),37,R
814,803.,Murry Dickson (18),37,R
815,803.,Art Ditmar (9),37,R
816,803.,Jeff Fassero (16),37,L
817,803.,Gene Garber (19),37,R
818,803.,John Halama (9),37,L
819,803.,Ken Holloway (9),37,R
820,803.,Sheldon Jones (8),37,R
821,803.,"Jakob Junis (4, 27)",37,R
822,803.,Alex Kellner (12),37,L
823,803.,Charlie Leibrandt (14),37,L
824,803.,Vive Lindaman (4),37,R
825,803.,Rodrigo Lopez (11),37,R
826,803.,Grover Lowdermilk (9),37,R
827,803.,Jake Miller (9),37,L
828,803.,Hub Pruett (7),37,L
829,803.,"Jose Quintana (9, 31)",37,L
830,803.,Mel Rojas (10),37,R
831,803.,Urban Shocker (13),37,R
832,803.,Dan Straily (8),37,R
833,803.,"Pedro Strop (12, 35)",37,R
834,803.,Les Sweetland (5),37,L
835,803.,Walt Terrell (11),37,R
836,803.,Brett Tomko (14),37,R
837,803.,Bob Weiland (12),37,L
838,803.,Irv Young (6),37,L
839,803.,Matt Young (10),37,L
840,841.,Rick Aguilera (16),36,R
841,841.,"Chase Anderson (7, 32)",36,R
842,841.,Elden Auker (10),36,R
843,841.,Willie Blair (12),36,R
844,841.,Henry Boyle (6),36,R
845,841.,Hal Carlson (14),36,R
846,841.,Dad Clarkson (6),36,R
847,841.,Joe Corbett (4),36,R
848,841.,Roy Evans (5),36,R
849,841.,Dana Eveland (11),36,L
850,841.,Miguel Gonzalez (7),36,R
851,841.,Bill Greif (6),36,R
852,841.,Bill Hands (11),36,R
853,841.,Steve Hargan (12),36,R
854,841.,Billy Hoeft (15),36,L
855,841.,Joey Jay (13),36,R
856,841.,Jim Johnson (13),36,R
857,841.,Si Johnson (17),36,R
858,841.,Bob Locker (10),36,R
859,841.,"Aaron Loup (9, 32)",36,L
860,841.,Jim Maloney (12),36,R
861,841.,"Wade Miley (10, 33)",36,L
862,841.,Brian Moehler (14),36,R
863,841.,C.J. Nitkowski (10),36,L
864,841.,Blue Moon Odom (13),36,R
865,841.,Herb Pennock+ (22),36,L
866,841.,Mark Portugal (15),36,R
867,841.,Steve Ridzik (12),36,R
868,841.,Johan Santana (12),36,L
869,841.,Doc Scanlan (8),36,R
870,841.,"Joe Smith (13, 36)",36,R
871,841.,Bill Swift (11),36,R
872,841.,"Zack Wheeler (6, 30)",36,R
873,874.,Matt Albers (14),35,R
874,874.,Frank Allen (6),35,L
875,874.,Luis Ayala (9),35,R
876,874.,Bob Barr (5),35,R
877,874.,Bill Bonham (10),35,R
878,874.,Ed Brandt (11),35,L
879,874.,Tommy Bridges (16),35,R
880,874.,Doug Brocail (15),35,R
881,874.,Mike Caldwell (14),35,L
882,874.,Shawn Camp (11),35,R
883,874.,D.J. Carrasco (8),35,R
884,874.,Mark Clear (11),35,R
885,874.,"Alex Cobb (9, 32)",35,R
886,874.,Dick Coffman (15),35,R
887,874.,Roger Craig (12),35,R
888,874.,Phil Douglas (9),35,R
889,874.,Karl Drews (8),35,R
890,874.,Eric Erickson (7),35,R
891,874.,Alex Fernandez (10),35,R
892,874.,Joe Genewich (9),35,R
893,874.,Juan Guzman (10),35,R
894,874.,Roberto Hernandez (17),35,R
895,874.,Kirby Higbe (12),35,R
896,874.,Bill Hogg (4),35,R
897,874.,Ed Karger (6),35,L
898,874.,Lew Krausse (12),35,R
899,874.,Dennis Lamp (16),35,R
900,874.,John Lannan (8),35,L
901,874.,Billy Loes (11),35,R
902,874.,Carl Lundgren (8),35,R
903,874.,Nick Maddox (4),35,R
904,874.,Rick Mahler (13),35,R
905,874.,Al Mamaux (12),35,R
906,874.,"Collin McHugh (8, 33)",35,R
907,874.,Doc Medich (11),35,R
908,874.,Ramiro Mendoza (10),35,R
909,874.,Eric Milton (11),35,L
910,874.,Dickie Noles (11),35,R
911,874.,Gene Packard (8),35,L
912,874.,Robert Person (9),35,R
913,874.,Mark Petkovsek (9),35,R
914,874.,Hipolito Pichardo (10),35,R
915,874.,Mark Redman (10),35,L
916,874.,Vern Ruhle (13),35,R
917,874.,Johnny Schmitz (13),35,L
918,874.,Russ Springer (18),35,R
919,874.,Chuck Stobbs (15),35,L
920,874.,Josh Towers (8),35,R
921,874.,Claudio Vargas (8),35,R
922,874.,Pete Vuckovich (11),35,R
923,874.,Allen Watson (8),35,L
924,874.,Bob Wells (9),35,R
925,874.,Jay Witasick (12),35,R
926,874.,Hal Woodeshick (11),35,L
927,874.,Travis Wood (8),35,L
928,929.,Stan Bahnsen (16),34,R
929,929.,Stan Belinda (12),34,R
930,929.,Dick Bosman (11),34,R
931,929.,Dave Boswell (8),34,R
932,929.,Jim Bullinger (7),34,R
933,929.,Dad Clarke (7),34,R
934,929.,Omar Daal (11),34,L
935,929.,Dave Danforth (10),34,L
936,929.,Brandon Duckworth (8),34,R
937,929.,Cecil Ferguson (6),34,R
938,929.,Russ Ford (7),34,R
939,929.,Jason Grilli (15),34,R
940,929.,Henry Gruber (5),34,R
941,929.,Bill Gullickson (14),34,R
942,929.,Jason Isringhausen (16),34,R
943,929.,Jason Jennings (9),34,R
944,929.,Jeff Juden (8),34,R
945,929.,"Clayton Kershaw (13, 32)",34,L
946,929.,Harry Krause (5),34,L
947,929.,Brad Lidge (11),34,R
948,929.,Kirk McCaskill (12),34,R
949,929.,Bob McClure (19),34,L
950,929.,Larry McKeon (3),34,
951,929.,Don McMahon (18),34,R
952,929.,Johnny Niggeling (9),34,R
953,929.,Tomo Ohka (10),34,R
954,929.,Jesse Orosco (24),34,L
955,929.,Jonathan Papelbon (12),34,R
956,929.,Ed Poole (5),34,R
957,929.,Nate Robertson (9),34,L
958,929.,Bob Rush (13),34,R
959,929.,Paul Splittorff (15),34,L
960,929.,Garrett Stephenson (7),34,R
961,929.,Tom Sturdivant (10),34,R
962,929.,Jack Sutthoff (6),34,R
963,929.,Dizzy Trout (15),34,R
964,929.,Carlos Villanueva (11),34,R
965,929.,Rick White (12),34,R
966,967.,Jim Bagby (9),33,R
967,967.,Hector Carrasco (12),33,R
968,967.,"Tyler Chatwood (9, 30)",33,R
969,967.,Tony Cloninger (12),33,R
970,967.,Jack Fifield (3),33,R
971,967.,Freddie Fitzsimmons (19),33,R
972,967.,Eric Gagne (10),33,R
973,967.,Mike Garcia (14),33,R
974,967.,Joe Gibbon (13),33,L
975,967.,Tom Gorzelanny (12),33,L
976,967.,Mudcat Grant (14),33,R
977,967.,Aaron Heilman (9),33,R
978,967.,"Daniel Hudson (11, 33)",33,R
979,967.,Scott Karl (6),33,L
980,967.,Ron Kline (17),33,R
981,967.,Gene Krapp (4),33,R
982,967.,Brooks Lawrence (7),33,R
983,967.,Skip Lockwood (13),33,R
984,967.,"Mike Montgomery (6, 30)",33,L
985,967.,Matt Moore (9),33,L
986,967.,Van Mungo (14),33,R
987,967.,Gene Nelson (13),33,R
988,967.,Al Nipper (7),33,R
989,967.,Red Oldham (7),33,L
990,967.,George Pipgras (11),33,R
991,967.,Bugs Raymond (6),33,R
992,967.,Eddie Rommel (13),33,R
993,967.,Ferdie Schupp (10),33,L
994,967.,Mike Scott (13),33,R
995,967.,Eddie Smith (10),33,L
996,967.,Mike Stanton (19),33,L
997,967.,Tom Sullivan (4),33,
998,967.,Brad Thompson (6),33,R
999,967.,Chris Tillman (10),33,R
1000,967.,Steve Trout (12),33,L
1001,967.,Billy Wagner (16),33,L
1002,967.,"Taijuan Walker (8, 27)",33,R
1003,967.,"Tony Watson (10, 35)",33,L
1004,967.,Whit Wyatt (16),33,R
1005,967.,Chris Young (13),33,R
1006,967.,Curt Young (11),33,L
