,Rank,"Player (yrs, age)",Putouts as 3B,Throws
0,1.,Brooks Robinson+ (23),2697,R
1,2.,Jimmy Collins+ (14),2372,R
2,3.,Eddie Yost (18),2356,R
3,4.,Lave Cross (21),2310,R
4,5.,Pie Traynor+ (17),2289,R
5,6.,Billy Nash (15),2226,R
6,7.,Adrian Beltre (21),2194,R
7,8.,Home Run Baker+ (13),2154,R
8,9.,Willie Kamm (13),2151,R
9,10.,Eddie Mathews+ (17),2049,R
10,11.,Willie Jones (15),2045,R
11,12.,Jimmy Austin (18),2042,R
12,13.,Arlie Latham (17),1976,R
13,14.,Ron Santo+ (15),1955,R
14,15.,Stan Hack (16),1944,R
15,16.,Graig Nettles (22),1898,R
16,17.,Pinky Higgins (14),1848,R
17,18.,George Kell+ (15),1825,R
18,19.,Billy Shindle (13),1815,R
19,20.,Buddy Bell (18),1798,R
20,21.,Larry Gardner (17),1789,R
21,22.,Harlond Clift (12),1777,R
22,22.,Jerry Denny (13),1777,R
23,24.,Harry Steinfeldt (14),1776,R
24,25.,Bill Bradley (14),1755,R
25,26.,Gary Gaetti (20),1699,R
26,27.,Denny Lyons (13),1675,R
27,28.,Tim Wallach (17),1662,R
28,29.,Sal Bando (16),1647,R
29,30.,Mike Schmidt+ (18),1591,R
30,31.,Ken Keltner (13),1576,R
31,32.,Ken Boyer (15),1567,R
32,33.,Ossie Bluege (18),1551,R
33,34.,Wade Boggs+ (18),1550,R
34,35.,Aurelio Rodriguez (17),1529,R
35,36.,Ron Cey (17),1500,R
36,37.,Scott Rolen (17),1478,R
37,38.,Robin Ventura (16),1471,R
38,39.,Clete Boyer (16),1470,R
39,40.,Bobby Byrne (11),1456,R
40,40.,Heinie Groh (16),1456,R
41,42.,Pinky Whitney (12),1455,R
42,43.,Hick Carpenter (12),1450,L
43,44.,Bob Elliott (15),1448,R
44,45.,Art Devlin (10),1399,R
45,46.,Milt Stock (14),1392,R
46,47.,Terry Pendleton (15),1386,R
47,48.,Carney Lansford (15),1382,R
48,49.,George Brett+ (21),1372,R
49,50.,Mike Mowrey (13),1363,R
50,51.,Jimmy Dykes (22),1361,R
51,52.,George Pinkney (10),1343,R
52,53.,Tommy Leach (19),1323,R
53,54.,Doc Casey (10),1312,R
54,55.,Frank Malzone (12),1308,R
55,56.,Matt Williams (17),1293,R
56,57.,Hans Lobert (14),1292,R
57,58.,Eddie Foster (13),1289,R
58,59.,Darrell Evans (21),1273,R
59,60.,Bill Coughlin (9),1269,R
60,61.,Billy Werber (11),1264,R
61,62.,Ken McMullen (16),1259,R
62,63.,Doug DeCinces (15),1256,R
63,64.,Ezra Sutton (18),1252,R
64,65.,Ken Caminiti (15),1251,R
65,66.,Joe Mulvey (12),1235,R
66,67.,Charlie Irwin (10),1228,R
67,68.,Red Rolfe (10),1220,R
68,69.,Don Hoak (11),1219,R
69,70.,Red Smith (9),1210,R
70,71.,Aramis Ramirez (18),1197,R
71,72.,"Evan Longoria (13, 34)",1193,R
72,73.,Chipper Jones+ (19),1159,R
73,74.,Vinny Castilla (16),1156,R
74,75.,Mike Lowell (13),1140,R
75,76.,Doug Rader (11),1138,R
76,77.,Joe Dugan (14),1099,R
77,78.,David Wright (14),1087,R
78,79.,Jim Tabor (9),1077,R
79,80.,Heinie Zimmerman (13),1054,R
80,81.,Harry Lord (9),1046,R
81,82.,Bill Joyce (8),1044,R
82,83.,Tom Burns (13),1043,R
83,84.,Eric Chavez (17),1035,R
84,85.,Marv Owen (9),1032,R
85,86.,Frank Hankinson (10),1029,R
86,87.,Ossie Vitt (10),1026,R
87,87.,Art Whitney (11),1026,R
88,89.,Bob Aspromonte (13),1025,R
89,89.,Whitey Kurowski (9),1025,R
90,91.,Joe Randa (12),1005,R
91,92.,Ken Reitz (11),996,R
92,93.,Harry Wolverton (9),989,R
93,94.,Grady Hatton (12),979,R
94,95.,Todd Zeile (16),974,R
95,96.,Al Rosen (10),970,R
96,97.,Charlie Deal (10),967,R
97,98.,Max Alvis (9),962,R
98,98.,Eddie Grant (10),962,R
99,100.,Joe Stripp (11),956,R
100,101.,Deacon White+ (20),954,R
101,102.,George Moriarty (13),951,R
102,103.,Bill Madlock (15),949,R
103,104.,Jeff Cirillo (14),943,R
104,105.,Bill Kuehne (10),932,R
105,106.,Bob Jones (9),917,R
106,107.,Don Wert (9),914,R
107,108.,Tony Boeckel (6),912,R
108,109.,Hank Majeski (13),911,R
109,110.,Don Money (16),897,R
110,111.,Steve Buechele (11),895,R
111,112.,Troy Glaus (13),894,R
112,113.,Charlie Hayes (14),882,R
113,114.,Ed Charles (8),879,R
