,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
452,453.,Grant Balfour (12),6.02,R
453,453.,Dave Smith (13),6.02,R
454,455.,Denny McLain (10),6.01,R
455,456.,Ken Hill (14),5.99,R
456,456.,"Felipe Vazquez (5, 28)",5.99,L
457,458.,Scott Sullivan (10),5.98,R
458,459.,Terry Forster (16),5.95,L
459,460.,"Trevor Bauer (9, 29)",5.93,R
460,460.,Bill Campbell (15),5.93,R
461,462.,Denny Galehouse (15),5.89,R
462,462.,Sam Jones (12),5.89,R
463,462.,Craig Lefferts (12),5.89,L
464,465.,Luke Gregerson (11),5.88,R
465,466.,Heath Bell (11),5.83,R
466,466.,Ken Raffensberger (15),5.83,L
467,466.,Todd Worrell (11),5.83,R
468,469.,Carlos Marmol (9),5.81,R
469,469.,Jim Mecir (11),5.81,R
470,471.,Doug Rau (9),5.78,L
471,472.,Bob Purkey (13),5.76,R
472,473.,Sherry Smith (14),5.72,L
473,474.,Hideo Nomo (12),5.71,R
474,475.,Sandy Consuegra (8),5.69,R
475,475.,Matt Morris (11),5.69,R
476,475.,Chris Short (15),5.69,L
477,478.,Kiko Calero (7),5.68,R
478,478.,"Patrick Corbin (8, 30)",5.68,L
479,480.,Steve Bedrosian (14),5.67,R
480,481.,Dick Radatz (7),5.65,R
481,482.,Jim Barr (12),5.64,R
482,482.,Scott Perry (7),5.64,R
483,482.,Justin Thompson (5),5.64,L
484,485.,A.J. Burnett (17),5.63,R
485,486.,Bob Buhl (15),5.61,R
486,486.,"Jack Flaherty (4, 24)",5.61,R
487,488.,Bill Sherdel (15),5.60,L
488,489.,Brian Fuentes (12),5.58,L
489,489.,Roger Nelson (9),5.58,R
490,491.,Chuck Taylor (8),5.56,R
491,492.,Jeff Zimmerman (3),5.55,R
492,493.,Bud Black (15),5.53,L
493,494.,"Josh Hader (4, 26)",5.51,L
494,495.,Tim Burke (8),5.48,R
495,495.,"Mike Minor (9, 32)",5.48,L
496,495.,Ervin Santana (15),5.48,R
497,495.,"Alex Wood (8, 29)",5.48,L
498,499.,Johnny Schmitz (13),5.45,L
499,499.,Sonny Siebert (12),5.45,R
500,501.,Doug Corbett (8),5.44,R
501,501.,Steve Howe (12),5.44,L
