,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
913,911.,Frank Linzy (11),2.26,R
914,911.,Guy Morton (11),2.26,R
915,911.,"Arodys Vizcaino (7, 29)",2.26,R
916,917.,Wes Stock (9),2.25,R
917,918.,"Carl Edwards Jr. (6, 28)",2.24,R
918,918.,Pep Harris (3),2.24,R
919,918.,Graeme Lloyd (10),2.24,L
920,918.,Steve Olin (4),2.24,R
921,922.,Huck Betts (10),2.23,R
922,922.,Billy Koch (6),2.23,R
923,922.,Jake Miller (9),2.23,L
924,922.,Frank Papish (6),2.23,L
925,922.,Eddie Smith (10),2.23,L
926,927.,Jeff Lahti (5),2.22,R
927,927.,Dutch Leonard (11),2.22,L
928,927.,Renyel Pinto (5),2.22,L
929,930.,Bobby Burke (10),2.21,L
930,930.,Paco Rodriguez (4),2.21,L
931,932.,Hugh McQuillan (10),2.20,R
932,933.,Rob Murphy (11),2.19,L
933,934.,"Nick Anderson (2, 29)",2.18,R
934,934.,Sam LeCure (6),2.18,R
935,936.,Vern Law (16),2.17,R
936,936.,Mike Perez (8),2.17,R
937,936.,Scott Sauerbeck (7),2.17,L
938,936.,Dan Wheeler (13),2.17,R
939,940.,"Jhoulys Chacin (12, 32)",2.16,R
940,940.,Matt Mantei (10),2.16,R
941,940.,Zach Putnam (7),2.16,R
942,940.,"Alex Reyes (4, 25)",2.16,R
943,940.,Enrique Romo (6),2.16,R
944,940.,Gabe White (11),2.16,L
945,946.,Rick Ankiel (11),2.15,L
946,946.,Scott Atchison (9),2.15,R
947,946.,Hal Brown (14),2.15,R
948,946.,"Mike Montgomery (6, 30)",2.15,L
949,950.,"Will Smith (8, 30)",2.14,L
950,950.,Cecil Upshaw (9),2.14,R
951,952.,Jesse Carlson (3),2.13,L
952,953.,"Chris Archer (8, 31)",2.12,R
953,953.,"Matt Strahm (5, 28)",2.12,L
954,955.,Tony Sipp (11),2.11,L
955,956.,Ken Burkhart (5),2.10,R
956,956.,Tom Hall (10),2.10,L
957,956.,Tom Hughes (9),2.10,R
958,956.,George Kontos (8),2.10,R
959,956.,Glen Perkins (12),2.10,L
960,961.,Fritz Dorish (10),2.09,R
961,961.,Lou Pote (5),2.09,R
962,961.,John Rocker (6),2.09,L
963,964.,Todd Frohwirth (9),2.07,R
964,964.,Howie Krist (6),2.07,R
965,964.,Julio Mateo (6),2.07,R
966,964.,Chris Perez (7),2.07,R
967,968.,Luis Aponte (5),2.06,R
968,968.,Don Bessent (4),2.06,R
969,968.,"Junior Guerra (6, 35)",2.06,R
970,971.,"Diego Castillo (3, 26)",2.05,R
971,971.,"Ryan Tepera (6, 32)",2.05,R
972,973.,Dave Goltz (12),2.04,R
973,973.,Gene Thompson (6),2.04,R
974,975.,Floyd Bannister (15),2.03,L
975,975.,Bill Dailey (4),2.03,R
976,977.,Joe Magrane (8),2.02,L
977,977.,Cory Wade (4),2.02,R
978,979.,Brandon Beachy (5),2.01,R
979,979.,Frank Funk (4),2.01,R
980,981.,Norm Charlton (13),2.00,L
981,981.,Felix Rodriguez (11),2.00,R
982,981.,Hank Thormahlen (6),2.00,L
983,984.,Art Fowler (9),1.99,R
984,984.,Greg Garrett (2),1.99,L
985,984.,Leo Kiely (7),1.99,L
986,984.,Manny Sarmiento (7),1.99,R
987,984.,Yordano Ventura (4),1.99,R
988,989.,Danny Cox (11),1.98,R
989,989.,Fred Newman (6),1.98,R
990,991.,Jeff Russell (14),1.97,R
991,992.,Mike Proly (7),1.96,R
992,993.,Edward Mujica (11),1.95,R
993,994.,Charlie Wagner (6),1.94,R
994,995.,Luke Hamlin (9),1.93,R
995,996.,Bob Patterson (13),1.92,L
996,997.,Sean Burnett (9),1.91,L
997,997.,"Scott Oberg (5, 30)",1.91,R
998,997.,"Ryan Yarbrough (3, 28)",1.91,L
