,Rank,"Player (yrs, age)",Adj. Batting Runs,Bats
703,700.,Trot Nixon (12),76,L
704,705.,Tony Conigliaro (8),75,R
705,705.,Erubiel Durazo (7),75,L
706,705.,Frank Fennelly (7),75,R
707,705.,Johnny Frederick (6),75,L
708,705.,David Freese (11),75,R
709,705.,Davey Johnson (13),75,R
710,705.,"Starling Marte (9, 31)",75,R
711,705.,Johnny Pesky (10),75,L
712,705.,Eddie Robinson (13),75,L
713,705.,Jake Stahl (9),75,R
714,715.,"Xander Bogaerts (8, 27)",74,R
715,715.,Tony Clark (15),74,B
716,715.,Lucas Duda (10),74,L
717,715.,Pinky Higgins (14),74,R
718,715.,John Jaha (10),74,R
719,715.,Yank Robinson (10),74,R
720,715.,Gary Roenicke (12),74,R
721,715.,Jack Rowe (12),74,L
722,715.,"Pablo Sandoval (13, 33)",74,B
723,724.,Adam Lind (12),73,L
724,724.,Barney McCosky (11),73,L
725,724.,John Morrill (15),73,R
726,724.,Bobby Thomson (15),73,R
727,728.,Baby Doll Jacobson (11),72,R
728,728.,Sam Mertes (10),72,R
729,728.,"Tommy Pham (7, 32)",72,R
730,731.,Bob Bescher (11),71,B
731,731.,Ron Hunt (12),71,R
732,731.,Ian Kinsler (14),71,R
733,731.,Kendrys Morales (13),71,B
734,735.,Happy Felsch (6),70,R
735,735.,Bubbles Hargrave (12),70,R
736,735.,Bill Hinchman (10),70,R
737,735.,Howie Kendrick (15),70,R
738,735.,Dale Mitchell (11),70,L
739,735.,Babe Phelps (11),70,L
740,735.,Joe Rudi (16),70,R
741,735.,Danny Taylor (9),70,R
742,735.,Jose Vidro (12),70,B
743,735.,Pete Ward (9),70,L
744,735.,Phil Weintraub (7),70,L
745,746.,Ron Blomberg (8),69,L
746,746.,Hub Collins (7),69,R
747,746.,Steve Henderson (12),69,R
748,746.,High Pockets Kelly+ (16),69,R
749,746.,Chief Meyers (9),69,R
750,746.,Luke Scott (9),69,L
751,746.,Seth Smith (11),69,L
752,746.,Billy Southworth+ (13),69,L
753,746.,Gus Zernial (11),69,R
754,755.,Curt Blefary (8),68,L
755,755.,Freddie Lindstrom+ (13),68,R
756,755.,Hal Morris (13),68,L
757,755.,Otto Velez (11),68,R
758,755.,"Neil Walker (12, 34)",68,B
759,760.,Steve Braun (15),67,L
760,760.,Rube Bressler (19),67,R
761,760.,Mike Cameron (17),67,R
762,760.,"Corey Dickerson (8, 31)",67,L
763,760.,Bill Doran (12),67,B
764,760.,Dale Long (10),67,L
765,760.,Bill Melton (10),67,R
766,760.,Pie Traynor+ (17),67,R
767,768.,Bob Fothergill (12),66,R
768,768.,Bernard Gilkey (12),66,R
769,768.,Eric Karros (14),66,R
770,768.,Ivan Rodriguez+ (21),66,R
771,772.,Bruce Campbell (13),65,L
772,772.,Spud Davis (16),65,R
773,772.,Billy Nash (15),65,R
774,772.,Cecil Travis (12),65,L
775,776.,Tommy Davis (18),64,R
776,776.,Rico Petrocelli (13),64,R
777,776.,Lou Piniella (18),64,R
778,776.,J.T. Snow (16),64,L
779,780.,Lyman Bostock (4),63,L
780,780.,Joe Connolly (4),63,L
781,780.,Les Fleming (7),63,L
782,780.,Chase Headley (12),63,B
783,780.,"Eric Hosmer (10, 30)",63,L
784,780.,Fred Merkle (16),63,R
785,780.,John Milner (12),63,L
786,780.,Dutch Zwilling (4),63,L
787,788.,Ed Bailey (14),62,L
788,788.,Bob Cerv (12),62,R
789,788.,Matty McIntyre (10),62,L
790,788.,Manny Mota (20),62,R
791,788.,Darby O'Brien (6),62,R
792,793.,Del Bissonette (5),61,L
793,793.,"Matt Chapman (4, 27)",61,R
794,793.,"Rhys Hoskins (4, 27)",61,R
795,793.,Jerry Mumphrey (15),61,B
796,793.,Gene Richards (8),61,L
797,798.,"Ronald Acuna Jr. (3, 22)",60,R
798,798.,"Asdrubal Cabrera (14, 34)",60,B
799,798.,Johnny Damon (18),60,L
800,798.,Frank Demaree (12),60,R
801,798.,Brad Hawpe (9),60,L
802,798.,Cleon Jones (13),60,R
803,798.,Mike Marshall (11),60,R
804,798.,John Valentin (11),60,R
805,798.,Bobby Wallace+ (25),60,R
806,807.,Tito Francona (15),59,L
807,807.,Joe Kuhel (18),59,L
808,807.,Sam Leslie (10),59,L
809,807.,Stan Lopata (13),59,R
810,807.,Al Shaw (5),59,L
811,807.,Curt Welch (10),59,R
812,807.,Perry Werden (7),59,R
813,814.,Ivan Calderon (10),58,R
814,814.,Duke Kenworthy (4),58,B
815,814.,Fred Mann (6),58,L
816,814.,Austin McHenry (5),58,R
817,814.,Bing Miller (16),58,R
818,814.,Ward Miller (8),58,L
819,814.,Mike Mitchell (8),58,R
820,814.,"Brandon Nimmo (5, 27)",58,L
821,814.,"Matt Olson (5, 26)",58,L
822,814.,Brooks Robinson+ (23),58,R
823,814.,Fred Snodgrass (9),58,R
824,814.,"Eugenio Suarez (7, 28)",58,R
825,826.,"Nicholas Castellanos (8, 28)",57,R
826,826.,Corey Hart (11),57,R
827,826.,Pat Kelly (15),57,L
828,826.,Matt Lawton (12),57,L
829,826.,Les Mann (16),57,R
830,826.,Rick Reichardt (11),57,R
831,826.,"Miguel Sano (6, 27)",57,R
832,826.,Max West (7),57,L
833,826.,Todd Zeile (16),57,R
834,835.,"Jay Bruce (13, 33)",56,L
835,835.,Ray Chapman (9),56,R
836,835.,Kid Elberfeld (14),56,R
837,835.,Dick Hoblitzell (11),56,L
838,835.,Jim Lemon (12),56,R
839,840.,Russell Branyan (14),55,L
840,840.,"Adam Eaton (9, 31)",55,L
841,840.,Gregg Jefferies (14),55,B
842,840.,"Jeff McNeil (3, 28)",55,L
843,840.,Jorge Orta (16),55,L
844,840.,Lyle Overbay (14),55,L
845,840.,Bob Skinner (12),55,L
846,840.,Frank Thomas (16),55,R
847,840.,Al Wickland (5),55,L
848,849.,Guy Hecker (9),54,R
849,849.,Harvey Hendrick (11),54,L
850,849.,"Max Muncy (5, 29)",54,L
851,849.,Mitchell Page (8),54,L
852,849.,"Joc Pederson (7, 28)",54,L
853,849.,Ray Sanders (7),54,L
854,849.,Homer Smoot (5),54,L
855,849.,Art Wilson (14),54,R
856,849.,Babe Young (8),54,L
857,858.,Luke Easter (6),53,L
858,858.,Lonny Frey (14),53,L
859,858.,Don Money (16),53,R
860,858.,Melvin Mora (13),53,R
861,858.,Eddie Murphy (11),53,L
862,858.,Shannon Stewart (14),53,R
863,858.,Dan Uggla (10),53,R
864,858.,Rondell White (15),53,R
865,866.,Edgardo Alfonzo (12),52,R
866,866.,John Clapp (11),52,R
867,866.,Tony Cuccinello (15),52,R
868,866.,Ray Durham (14),52,B
869,866.,Emil Gross (5),52,R
870,866.,Richard Hidalgo (9),52,R
871,866.,Frank LaPorte (11),52,R
872,866.,Denis Menke (13),52,R
873,866.,Mike Morse (13),52,R
874,875.,"Josh Bell (5, 27)",51,B
875,875.,Dave Henderson (14),51,R
876,875.,Charlie Hollocher (7),51,L
877,875.,Roy Johnson (10),51,L
878,875.,Ed Lennox (6),51,R
879,875.,Willard Marshall (11),51,L
880,875.,Rance Mulliniks (16),51,L
881,875.,John O'Rourke (3),51,L
882,875.,Emmett Seery (9),51,L
883,875.,Earl Sheely (9),51,R
884,885.,Casey Blake (13),50,R
885,885.,Ed Bouchee (7),50,L
886,885.,Tom Brunansky (14),50,R
887,885.,"Mitch Haniger (4, 29)",50,R
888,885.,John Jaso (9),50,L
889,885.,Tom McCreery (9),50,B
890,885.,Larry Parrish (15),50,R
891,885.,"AJ Pollock (9, 32)",50,R
892,893.,Ken Henderson (16),49,B
893,893.,"Wil Myers (8, 29)",49,R
894,895.,"Pete Alonso (2, 25)",48,R
895,895.,Dante Bichette (14),48,R
896,895.,Hank Edwards (11),48,L
897,895.,Joe Hauser (6),48,L
898,895.,Woodie Held (14),48,R
899,895.,Bill Keister (7),48,L
900,895.,Pat Mullin (10),48,L
901,895.,Jim Russell (10),48,B
902,895.,Elmer Smith (10),48,L
903,904.,Frank Catalanotto (14),47,L
904,904.,Morgan Ensberg (8),47,R
905,904.,Jim Hickman (13),47,R
906,904.,Glenallen Hill (13),47,R
907,904.,Chet Laabs (11),47,R
908,904.,Hans Lobert (14),47,R
909,904.,Ryan Ludwick (12),47,R
910,904.,"David Peralta (7, 32)",47,L
911,904.,"Luke Voit (4, 29)",47,R
912,913.,Johnny Bassler (9),46,L
913,913.,Walton Cruise (10),46,L
914,913.,"Dexter Fowler (13, 34)",46,B
915,913.,"Todd Frazier (10, 34)",46,R
916,917.,Bill Bradley (14),45,R
917,917.,Jack Doyle (17),45,R
918,917.,Carl Everett (14),45,B
919,917.,Chuck Hinton (11),45,R
920,917.,Sherm Lollar (18),45,R
921,917.,John Lowenstein (16),45,L
922,917.,"Trey Mancini (4, 28)",45,R
923,917.,Orlando Merced (13),45,B
924,917.,Dave Nilsson (8),45,L
925,917.,Wally Post (15),45,R
926,917.,Bob Robertson (11),45,R
927,917.,Andy Seminick (15),45,R
928,917.,"Trea Turner (6, 27)",45,R
929,917.,Sam West (16),45,L
930,931.,Cal Abrams (8),44,L
931,931.,Don Lock (8),44,R
932,931.,Jack O'Brien (8),44,R
933,931.,Dave Robertson (9),44,L
934,931.,John Wockenfuss (12),44,R
935,931.,Harry Wolter (7),44,L
936,937.,Dom Dallessandro (8),43,L
937,937.,Rob Deer (11),43,R
938,937.,David DeJesus (13),43,L
939,937.,Elston Howard (14),43,R
940,937.,Johnny Lindell (12),43,R
941,937.,Dan Pasqua (10),43,L
942,937.,Otto Schomberg (3),43,L
943,937.,Tony Solaita (7),43,L
944,937.,"Trevor Story (5, 27)",43,R
945,937.,"Fernando Tatis Jr. (2, 21)",43,R
946,937.,Ellis Valentine (10),43,R
947,948.,Justin Bour (6),42,L
948,948.,"Brian Dozier (9, 33)",42,R
949,948.,Dave Hollins (12),42,B
950,948.,Lee Lacy (16),42,R
951,948.,Alex McKinnon (4),42,R
952,948.,Gary Redus (13),42,R
953,948.,Bill Salkeld (6),42,L
954,948.,Jim Viox (5),42,R
955,956.,Buttercup Dickerson (7),41,L
956,956.,Dan Ford (11),41,R
957,956.,Wayne Gross (11),41,L
958,956.,Duffy Lewis (11),41,R
959,956.,Bake McBride (11),41,L
960,956.,Johnny Moore (10),41,L
961,956.,Pete O'Brien (12),41,L
962,956.,Johnny Rizzo (5),41,R
963,956.,Duke Sims (11),41,L
964,956.,Roy Smalley (13),41,B
965,956.,Earl Smith (12),41,L
966,956.,Paul Sorrento (11),41,L
967,956.,Claudell Washington (17),41,L
968,956.,Wally Westlake (10),41,R
969,970.,Ike Boone (8),40,L
970,970.,Vin Campbell (6),40,L
971,970.,"Mark Canha (6, 31)",40,R
972,970.,Willie Davis (18),40,L
973,970.,Brad Fullmer (8),40,L
974,970.,Greg Gross (17),40,L
975,970.,Jimmie Hall (8),40,L
976,970.,Emmet Heidrick (8),40,L
977,970.,Dion James (11),40,L
978,970.,Jason Kubel (10),40,L
979,970.,Jim Pagliaroni (11),40,R
980,970.,Doug Rader (11),40,R
981,970.,"J.T. Realmuto (7, 29)",40,R
982,970.,"Jorge Soler (7, 28)",40,R
983,970.,Michael Young (14),40,R
984,985.,Beals Becker (8),39,L
985,985.,"Chris Davis (13, 34)",39,L
986,985.,Jim Dwyer (18),39,L
987,985.,Steve Finley (19),39,L
988,985.,Spud Johnson (3),39,L
989,985.,Adam Jones (14),39,R
990,985.,Aaron Robinson (8),39,L
991,985.,Al Wingo (6),39,L
992,993.,Tommie Agee (12),38,R
993,993.,Jack Crooks (8),38,R
994,993.,Al Ferrara (8),38,R
995,993.,Jack Gleason (6),38,R
996,993.,Dick Higham (8),38,L
997,993.,Davy Jones (15),38,L
998,993.,Ruppert Jones (12),38,L
