,Rank,"Player (yrs, age)",Adj. Pitching Wins,Throws
0,1.,Cy Young+ (22),75.89,R
1,2.,Roger Clemens (24),74.27,R
2,3.,Walter Johnson+ (21),72.63,R
3,4.,Lefty Grove+ (17),61.70,L
4,5.,Greg Maddux+ (23),57.75,R
5,6.,Pete Alexander+ (20),56.81,R
6,6.,Kid Nichols+ (15),56.81,R
7,8.,Randy Johnson+ (22),52.32,L
8,9.,Pedro Martinez+ (18),50.85,R
9,10.,Tom Seaver+ (20),49.27,R
10,11.,Christy Mathewson+ (17),44.19,R
11,12.,"Clayton Kershaw (13, 32)",41.95,L
12,13.,Warren Spahn+ (21),39.29,L
13,14.,Bob Gibson+ (17),39.15,R
14,15.,Carl Hubbell+ (16),38.65,L
15,16.,John Clarkson+ (12),37.75,R
16,17.,Jim Palmer+ (19),37.74,R
17,18.,Curt Schilling (20),36.94,R
18,19.,Tim Keefe+ (14),36.47,R
19,20.,Bert Blyleven+ (22),35.82,R
20,21.,Whitey Ford+ (16),34.98,L
21,22.,Mike Mussina+ (18),34.75,R
22,23.,"Justin Verlander (16, 37)",33.97,R
23,24.,John Smoltz+ (21),33.93,R
24,25.,Gaylord Perry+ (22),33.59,R
25,26.,Bob Feller+ (18),33.33,R
26,27.,Roy Halladay+ (16),33.22,R
27,28.,Mariano Rivera+ (19),32.47,R
28,29.,Tom Glavine+ (22),32.35,L
29,30.,Kevin Brown (19),32.24,R
30,31.,Eddie Plank+ (17),31.75,L
31,32.,Hal Newhouser+ (17),31.14,L
32,33.,Steve Carlton+ (24),31.09,L
33,34.,Ed Walsh+ (14),30.92,R
34,35.,Mordecai Brown+ (14),30.59,R
35,36.,"Zack Greinke (17, 36)",30.09,R
36,37.,Amos Rusie+ (10),29.97,R
37,38.,Hoyt Wilhelm+ (21),29.47,R
38,39.,Phil Niekro+ (24),29.08,R
39,40.,Dazzy Vance+ (16),28.87,R
40,41.,"Max Scherzer (13, 35)",27.95,R
41,42.,Stan Coveleski+ (14),27.94,R
42,43.,Robin Roberts+ (19),27.86,R
43,44.,Johan Santana (12),27.79,L
44,45.,Ted Lyons+ (21),27.78,R
45,46.,Sandy Koufax+ (12),27.32,L
46,47.,Fergie Jenkins+ (19),27.06,R
47,48.,Juan Marichal+ (16),27.05,R
48,49.,Tommy Bridges (16),26.82,R
49,50.,Billy Pierce (18),26.53,L
50,51.,Bret Saberhagen (16),26.43,R
51,52.,Tim Hudson (17),25.84,R
52,53.,Old Hoss Radbourn+ (12),25.83,R
53,54.,Red Faber+ (20),25.61,R
54,55.,Dave Stieb (16),25.27,R
55,56.,"Cole Hamels (15, 36)",24.86,L
56,57.,Rube Waddell+ (13),24.77,L
57,58.,Don Drysdale+ (14),24.72,R
58,59.,Tony Mullane (13),24.58,R
59,60.,Roy Oswalt (13),24.56,R
60,61.,Lefty Gomez+ (14),24.42,L
61,62.,David Cone (17),24.24,R
62,63.,Dennis Eckersley+ (24),23.61,R
63,64.,CC Sabathia (19),23.59,L
64,65.,Urban Shocker (13),23.54,R
65,66.,Nolan Ryan+ (27),23.40,R
66,67.,Kevin Appier (16),23.04,R
67,68.,Jimmy Key (15),22.89,L
68,69.,Eppa Rixey+ (21),22.75,L
69,69.,"Chris Sale (10, 31)",22.75,L
70,71.,Addie Joss+ (9),22.53,R
71,72.,Andy Pettitte (18),22.44,L
72,73.,Jim Bunning+ (17),22.38,R
73,74.,Vic Willis+ (13),22.33,R
74,75.,Joe McGinnity+ (10),22.32,R
75,76.,Luis Tiant (19),22.27,R
76,77.,Clark Griffith+ (21),22.26,R
77,78.,Eddie Cicotte (14),22.24,R
78,79.,Harry Brecheen (12),22.03,L
79,80.,Dizzy Trout (15),21.77,R
80,81.,Jim McCormick (10),21.16,R
81,82.,Mark Buehrle (16),21.06,L
82,83.,Silver King (10),20.81,R
83,84.,Dolf Luque (20),20.76,R
84,85.,Dizzy Dean+ (12),20.73,R
85,86.,Bob Caruthers (10),20.69,R
86,87.,Carl Mays (15),20.65,R
87,88.,Babe Adams (19),20.52,R
88,89.,Don Sutton+ (23),20.49,R
89,90.,Lon Warneke (15),20.19,R
90,91.,Red Ruffing+ (22),20.15,R
91,92.,Eddie Rommel (13),20.06,R
92,93.,"Jon Lester (15, 36)",19.99,L
93,94.,Ron Guidry (14),19.88,L
94,95.,Billy Wagner (16),19.73,L
95,96.,Bob Lemon+ (15),19.71,R
96,97.,Bucky Walters (19),19.67,R
97,98.,Chuck Finley (17),19.59,L
98,99.,Rick Reuschel (19),19.40,R
99,100.,Wilbur Cooper (15),19.26,L
100,101.,Dutch Leonard (20),19.21,R
101,102.,"Jacob deGrom (7, 32)",19.05,R
102,103.,"Felix Hernandez (15, 34)",18.92,R
103,104.,Waite Hoyt+ (21),18.77,R
104,105.,Ed Reulbach (13),18.72,R
105,106.,Noodles Hahn (8),18.54,L
106,107.,Al Spalding+ (8),18.47,R
107,108.,Nig Cuppy (10),18.40,R
108,108.,Virgil Trucks (17),18.40,R
109,110.,Jack Quinn (23),18.38,R
110,111.,Mickey Welch+ (13),18.27,R
111,112.,Tommy John (26),18.22,L
112,113.,"David Price (12, 34)",18.17,L
113,114.,Sam Leever (13),18.00,R
114,115.,Steve Rogers (13),17.96,R
115,116.,Jack Stivetts (11),17.79,R
116,117.,Brandon Webb (7),17.65,R
117,118.,Wes Ferrell (15),17.63,R
118,119.,"Adam Wainwright (15, 38)",17.44,R
119,120.,Rich Gossage+ (22),17.32,R
120,121.,Charlie Buffinton (11),17.19,R
121,122.,Sal Maglie (10),17.06,R
122,123.,Bob Shawkey (15),16.87,R
123,124.,Spud Chandler (11),16.79,R
124,125.,Andy Messersmith (12),16.71,R
125,126.,John Tudor (12),16.63,L
126,127.,Cliff Lee (13),16.60,L
127,128.,Jerry Koosman (19),16.59,L
128,129.,Mel Harder (20),16.48,R
129,130.,Mort Cooper (11),16.47,R
130,130.,Larry French (14),16.47,L
131,130.,"Corey Kluber (10, 34)",16.47,R
132,133.,Thornton Lee (16),15.98,L
133,134.,Hippo Vaughn (13),15.89,L
134,135.,Larry Jackson (14),15.88,R
135,136.,Mel Parnell (10),15.51,L
136,137.,"Johnny Cueto (13, 34)",15.38,R
137,138.,Chris Carpenter (15),15.28,R
138,139.,Will White (10),15.24,R
139,140.,Trevor Hoffman+ (18),15.19,R
140,141.,Frank Dwyer (12),15.17,R
141,142.,Frank Viola (15),15.15,L
142,143.,Mike Garcia (14),15.11,R
143,144.,Nap Rucker (10),15.06,L
144,145.,Dan Quisenberry (12),15.02,R
145,146.,Francisco Rodriguez (16),14.95,R
146,147.,Joe Nathan (16),14.94,R
147,147.,"Stephen Strasburg (11, 31)",14.94,R
148,149.,Orel Hershiser (18),14.93,R
149,149.,Deacon Phillippe (13),14.93,R
150,151.,Charlie Root (17),14.90,R
151,152.,John Candelaria (19),14.87,L
152,152.,Carlos Zambrano (12),14.87,R
153,154.,Sadie McMahon (9),14.77,R
154,155.,Dwight Gooden (16),14.75,R
155,156.,Bobby Shantz (16),14.73,L
156,157.,Max Lanier (14),14.68,L
157,158.,Smoky Joe Wood (14),14.55,R
158,159.,Kent Tekulve (16),14.50,R
159,160.,John Franco (21),14.44,L
160,161.,Brad Radke (12),14.35,R
161,162.,Preacher Roe (12),14.34,L
162,163.,Eddie Lopat (12),14.32,L
163,164.,Jose Rijo (14),14.31,R
164,165.,Lee Smith+ (18),14.26,R
165,166.,Ed Morris (7),14.23,L
166,167.,Jonathan Papelbon (12),14.12,R
167,168.,Milt Pappas (17),14.11,R
168,169.,Firpo Marberry (14),14.10,R
169,170.,Curt Davis (13),13.94,R
170,171.,Pud Galvin+ (15),13.91,R
171,171.,Ellis Kinder (12),13.91,R
172,173.,John Hiller (15),13.83,L
173,174.,Freddie Fitzsimmons (19),13.82,R
174,174.,Early Wynn+ (23),13.82,R
175,176.,Tom Henke (14),13.66,R
176,177.,Tiny Bonham (10),13.58,R
177,178.,Al Leiter (19),13.56,L
178,179.,"Madison Bumgarner (12, 30)",13.50,L
179,180.,"Gerrit Cole (8, 29)",13.41,R
180,181.,Chief Bender+ (16),13.39,R
181,182.,Doc White (13),13.34,L
182,183.,David Wells (21),13.33,L
183,184.,Dean Chance (11),13.17,R
184,185.,Wilbur Wood (17),13.13,L
185,186.,Tex Hughson (8),13.12,R
186,187.,Jesse Tannehill (15),13.11,L
187,188.,Vida Blue (17),13.10,L
188,189.,Theodore Breitenstein (11),13.03,L
189,190.,Dave Foutz (13),12.98,R
190,191.,Tommy Bond (10),12.86,R
191,192.,Claude Passeau (13),12.84,R
192,193.,Jake Peavy (15),12.75,R
193,194.,"Kyle Hendricks (7, 30)",12.67,R
194,195.,Don Newcombe (10),12.61,R
195,196.,Jeff Pfeffer (13),12.60,R
196,197.,"Craig Kimbrel (11, 32)",12.50,R
197,198.,John Lackey (15),12.49,R
198,199.,Rollie Fingers+ (17),12.47,R
199,200.,Sparky Lyle (16),12.46,L
200,201.,Curt Simmons (20),12.44,L
201,202.,Sam McDowell (15),12.36,L
202,203.,Bill Hutchison (9),12.24,R
203,204.,Dutch Leonard (11),12.14,L
204,205.,Larry Corcoran (8),12.07,R
205,206.,Mark Eichhorn (11),12.04,R
206,207.,Johnny Antonelli (12),11.91,L
207,208.,Jesse Orosco (24),11.89,L
208,209.,Tom Gordon (21),11.83,R
209,210.,Gary Nolan (10),11.81,R
210,210.,Bruce Sutter+ (12),11.81,R
211,212.,Jon Matlack (13),11.79,L
212,213.,Keith Foulke (11),11.78,R
213,213.,Jered Weaver (12),11.78,R
214,215.,Doug Jones (16),11.69,R
215,216.,Mike Timlin (18),11.63,R
216,217.,Jesse Haines+ (19),11.61,R
217,218.,Roberto Hernandez (17),11.53,R
218,218.,Jim Maloney (12),11.53,R
219,220.,Joe Dobson (14),11.51,R
220,220.,Hal Schumacher (13),11.51,R
221,222.,"Aroldis Chapman (11, 32)",11.48,L
222,223.,Michael Jackson (17),11.47,R
223,224.,"Yu Darvish (8, 33)",11.46,R
224,225.,Frank Lary (12),11.44,R
225,226.,"Darren O'Day (13, 37)",11.41,R
226,226.,Mel Stottlemyre (11),11.41,R
227,228.,"Kenley Jansen (11, 32)",11.38,R
228,229.,Slim Sallee (14),11.37,L
229,230.,Howie Pollet (14),11.34,L
230,231.,Frank Tanana (21),11.31,L
231,232.,Johnny Allen (13),11.24,R
232,233.,Bobo Newsom (20),11.22,R
233,234.,Dennis Martinez (23),11.21,R
234,235.,Paul Derringer (15),11.17,R
235,236.,Ned Garver (14),11.16,R
236,237.,Troy Percival (14),11.15,R
237,238.,Murry Dickson (18),11.01,R
238,239.,Armando Benitez (15),11.00,R
