,Rank,"Player (yrs, age)",Def. Games as 1B,Throws
173,174.,Dave Bergman (17),866,L
174,175.,Don Hurst (7),863,L
175,176.,Darrell Evans (21),856,R
176,177.,Jim Gentile (9),854,L
177,178.,Willie Stargell+ (21),848,L
178,179.,Jake Stahl (9),839,R
179,180.,Vic Saier (8),838,R
180,181.,Norm Siebern (12),827,R
181,182.,Mike Epstein (9),823,L
182,183.,Dale Long (10),819,L
183,184.,Rico Brogna (9),817,L
184,185.,"José Abreu (7, 33)",808,R
185,186.,Dick Allen (15),807,R
186,187.,Paul Sorrento (11),806,R
187,188.,Kevin Millar (12),800,R
188,189.,Dave Orr (8),787,R
189,189.,Joe Torre+ (18),787,R
190,191.,Lee Stevens (10),777,L
191,192.,Mark Reynolds (13),772,R
192,193.,Whitey Lockman (15),771,R
193,194.,Lance Berkman (15),765,L
194,194.,Carl Yastrzemski+ (23),765,R
195,196.,Buddy Hassett (7),747,L
196,196.,Ryan Klesko (16),747,L
197,198.,Jiggs Donahue (9),745,L
198,199.,Greg Colbrunn (13),739,R
199,200.,Dots Miller (12),737,R
200,201.,Al Oliver (18),733,L
201,202.,Danny Cater (12),731,R
202,203.,Andre Thornton (14),729,R
203,204.,John Ganzel (7),726,R
204,205.,Joe Collins (10),715,L
205,205.,Vic Wertz (17),715,R
206,207.,Henry Larkin (10),710,R
207,208.,Greg Walker (9),689,R
208,209.,Mike Squires (10),688,L
209,210.,John Kruk (10),678,L
210,210.,Mike Napoli (12),678,R
211,212.,Nick Johnson (10),673,L
212,213.,Perry Werden (7),669,R
213,214.,Scott Hatteberg (14),663,R
214,215.,Gordy Coleman (9),659,R
215,216.,Gerald Perry (13),656,R
216,217.,Enos Cabell (15),655,R
217,218.,Buck Jordan (10),648,R
218,219.,Pete Runnels (14),644,R
219,220.,Rich Reese (10),640,L
220,221.,Steve Balboni (11),630,R
221,222.,Darin Erstad (14),627,L
222,223.,Gene Tenace (15),625,R
223,224.,Ike Davis (7),623,L
224,225.,Todd Benzinger (9),622,R
225,226.,Frank Isbell (10),619,R
226,227.,Leon Durham (10),618,L
227,228.,Dale Alexander (5),617,R
228,229.,Kevin Youkilis (10),613,R
229,230.,Ed Bouchee (7),611,L
230,231.,Gaby Sanchez (7),610,R
231,232.,Joe Cunningham (12),607,L
232,233.,Dick Gernert (11),604,R
233,234.,Dave Kingman (16),603,R
234,234.,Joe Mauer (15),603,R
235,236.,Mike Ivie (11),602,R
236,236.,Tony Lupien (6),602,L
237,236.,Bob Robertson (11),602,R
238,239.,John Anderson (14),599,R
239,240.,Del Bissonette (5),598,L
240,241.,Dave Foutz (13),596,R
241,241.,Ray Sanders (7),596,R
242,243.,Patsy Tebeau (13),595,R
243,244.,Dave Magadan (16),593,R
244,244.,Ed Morgan (7),593,R
245,246.,Sam Leslie (10),589,L
246,247.,Mike Sweeney (16),588,R
247,247.,Fred Whitfield (9),588,L
248,249.,Randy Milligan (8),587,R
249,250.,"Logan Morrison (11, 32)",584,L
250,251.,Adam Lind (12),582,L
251,252.,Jack Clark (18),580,R
252,253.,Lucas Duda (10),578,R
253,254.,Pedro Guerrero (15),573,R
254,255.,"Matt Adams (9, 31)",569,R
255,256.,Frank Torre (7),564,L
256,257.,Ben Broussard (7),557,L
257,258.,Tony Horton (7),555,R
258,258.,Aubrey Huff (13),555,R
259,260.,Mike Hegan (12),553,L
260,261.,Ron Jackson (10),552,R
261,262.,Harry Stovey (14),550,R
262,263.,Willie Aikens (8),547,R
263,263.,Joe Hauser (6),547,L
264,263.,John Milner (12),547,L
265,266.,Babe Young (8),545,L
266,267.,Daric Barton (8),534,R
267,268.,Adam Dunn (14),528,R
268,269.,Joe Harris (10),522,R
269,269.,Franklin Stubbs (10),522,L
270,271.,John Jaha (10),519,R
271,272.,Tim Jordan (7),518,R
272,273.,Ricky Jordan (8),510,R
273,274.,Julio Franco (23),508,R
274,274.,Pat Putnam (8),508,R
275,276.,Charlie Carr (7),505,R
276,276.,Tony Muser (9),505,L
277,278.,George Grantham (13),502,R
278,279.,Tom Hutton (12),499,L
279,280.,Fritz Mollwitz (7),497,R
280,281.,Ed Cartwright (5),495,R
281,282.,"Edwin Encarnacion (16, 37)",491,R
282,283.,Garrett Jones (8),489,L
283,284.,Jeff King (11),488,R
284,285.,Norm Larker (6),483,L
285,285.,Nick Swisher (12),483,L
286,287.,Brian Hunter (9),481,L
287,288.,"C.J. Cron (7, 30)",480,R
288,289.,Steve Bilko (10),479,R
289,289.,Johnny Hopp (14),479,L
290,291.,Nick Esasky (8),478,R
291,292.,"Josh Bell (5, 27)",476,R
292,293.,Bob Boyd (9),475,L
293,293.,Tito Francona (15),475,L
294,295.,"Ryan Zimmerman (15, 35)",472,R
295,296.,Claude Rossman (5),471,L
296,297.,Ken Harrelson (9),469,R
297,297.,Dan Meyer (12),469,R
298,297.,Scott Spiezio (12),469,R
299,300.,Felipe Alou (17),468,R
300,301.,"Chris Carter (8, 33)",467,R
301,301.,Dick Kryhoski (7),467,L
302,303.,Bud Clancy (9),466,L
303,303.,Todd Zeile (16),466,R
304,305.,George Brett+ (21),461,R
305,306.,Justin Bour (6),460,R
306,307.,Jack Boyle (13),458,R
307,308.,Dave Revering (5),454,R
308,309.,John Mabry (14),451,R
309,310.,Howie Schultz (6),450,R
310,311.,Kendrys Morales (13),449,R
311,312.,Harry Heilmann+ (17),448,R
312,313.,Pete LaCock (9),447,L
313,314.,Del Gainer (10),444,R
314,314.,Pat Tabler (12),444,R
315,316.,Dick Burrus (6),441,L
316,317.,Dmitri Young (13),439,R
317,318.,Preston Ward (9),438,R
318,319.,Dan Stearns (7),437,R
319,320.,Mickey Rocco (4),431,L
320,321.,Luke Easter (6),427,R
321,322.,Billy Butler (10),426,R
322,322.,Ray Grimes (6),426,R
323,322.,Rusty Staub (23),426,R
324,325.,Lee Thomas (8),425,R
325,326.,Bob Oliver (8),423,R
326,326.,Jake Virtue (5),423,L
327,328.,Lamar Johnson (9),422,R
328,329.,Orlando Merced (13),418,R
329,330.,Mox McQuery (5),417,
330,331.,Lou Finney (15),415,R
331,331.,Richie Hebner (18),415,R
332,333.,"Yuli Gurriel (5, 36)",410,R
333,334.,Ron Coomer (9),408,R
334,335.,George Crowe (9),407,L
335,336.,Billy Goodman (16),406,R
336,337.,Mike Jacobs (7),405,R
337,338.,Von Hayes (12),401,R
338,339.,Bob Unglaub (6),398,R
339,340.,"Matt Olson (5, 26)",396,R
340,340.,Tom Paciorek (18),396,R
341,342.,Charlie Hickman (12),394,R
342,343.,Ross Gload (10),390,L
343,344.,Conor Jackson (7),387,R
344,344.,Dick Sisler (8),387,R
345,346.,Rocky Nelson (9),386,L
346,347.,Johnny McCarthy (11),383,L
347,347.,Alex McKinnon (4),383,
348,349.,Larry Biittner (14),381,L
349,349.,Ryan Garko (6),381,R
350,351.,Gregg Jefferies (14),380,R
351,352.,Brian Daubach (8),379,R
352,353.,Harvey Hendrick (11),378,R
353,354.,Gene Paulette (6),377,R
354,355.,Mark Trumbo (10),376,R
355,356.,Lew Fonseca (12),375,R
356,357.,Shea Hillenbrand (7),373,R
357,358.,Shano Collins (16),368,R
358,358.,Dave McCarty (11),368,L
359,360.,Gail Harris (6),367,L
360,361.,"Daniel Murphy (12, 35)",364,R
361,362.,Brandon Moss (11),355,R
362,363.,Hap Myers (5),353,R
363,364.,Phil Nevin (12),349,R
364,365.,Ed Stevens (6),345,L
365,366.,Dan Johnson (10),343,R
366,367.,Klondike Douglass (9),342,R
367,368.,Bill Everitt (7),341,R
368,368.,Milt Scott (4),341,
369,370.,Carlos Quintana (5),340,R
