,Rank,"Player (yrs, age)",Range Factor/Game as SS,Throws
0,1.,"Andrelton Simmons (9, 30)",4.339,R
1,2.,"Elvis Andrus (12, 31)",4.310,R
2,3.,"Starlin Castro (11, 30)",4.273,R
3,4.,"Trevor Story (5, 27)",4.187,R
4,5.,"Marcus Semien (8, 29)",4.137,R
5,6.,"Ian Desmond (11, 34)",4.111,R
6,7.,"Brandon Crawford (10, 33)",4.103,R
7,8.,"Zack Cozart (9, 34)",4.080,R
8,9.,"Erick Aybar (12, 36)",4.015,R
9,10.,"Nick Ahmed (7, 30)",4.008,R
10,11.,"Jean Segura (9, 30)",3.977,R
11,12.,"Asdrubal Cabrera (14, 34)",3.955,R
12,13.,"Freddy Galvis (9, 30)",3.946,R
13,14.,"Tim Anderson (5, 27)",3.904,R
14,15.,"Orlando Arcia (5, 25)",3.900,R
15,16.,"Jordy Mercer (9, 33)",3.869,R
16,17.,"Adeiny Hechavarria (9, 31)",3.808,R
17,18.,"Dansby Swanson (5, 26)",3.792,R
18,19.,"Francisco Lindor (6, 26)",3.790,R
19,20.,"Didi Gregorius (9, 30)",3.789,R
20,21.,"Carlos Correa (6, 25)",3.777,R
21,22.,"José Iglesias (9, 30)",3.758,R
22,23.,"Xander Bogaerts (8, 27)",3.712,R
23,24.,"Jed Lowrie (12, 36)",3.598,R
24,25.,"Corey Seager (6, 26)",3.588,R
