,Rank,"Player (yrs, age)",Sacrifice Hits,Bats
0,1.,"Clayton Kershaw (13, 32)",108,L
1,2.,"Elvis Andrus (12, 31)",100,R
2,3.,"Johnny Cueto (13, 34)",85,R
3,4.,"Erick Aybar (12, 36)",75,B
4,5.,"Julio Teheran (10, 29)",67,R
5,6.,"Brett Gardner (13, 36)",64,L
6,6.,"Cole Hamels (15, 36)",64,L
7,8.,"Adam Wainwright (15, 38)",60,R
8,9.,"Homer Bailey (14, 34)",55,R
9,9.,"Jon Jay (11, 35)",55,L
10,9.,"Stephen Strasburg (11, 31)",55,R
11,12.,"Asdrubal Cabrera (14, 34)",51,B
12,12.,"Jeff Mathis (16, 37)",51,R
13,14.,"Gio Gonzalez (13, 34)",50,R
14,15.,"Delino DeShields (6, 27)",47,R
15,15.,"Zack Greinke (17, 36)",47,R
16,17.,"Mike Leake (10, 32)",46,R
17,17.,"Max Scherzer (13, 35)",46,R
18,19.,"Edinson Volquez (15, 36)",45,R
19,20.,"Jordan Zimmermann (12, 34)",44,R
20,21.,"Emilio Bonifacio (12, 35)",43,B
21,21.,"Dexter Fowler (13, 34)",43,B
22,21.,"Yadier Molina (17, 37)",43,R
23,24.,"Ian Kennedy (14, 35)",42,R
24,25.,"Madison Bumgarner (12, 30)",40,R
25,25.,"Billy Hamilton (8, 29)",40,B
26,27.,"Jarrod Dyson (11, 35)",39,L
27,27.,"Oliver Perez (18, 38)",39,L
28,29.,"Charlie Morton (13, 36)",37,R
29,29.,"Sean Rodriguez (13, 35)",37,R
30,29.,"Anibal Sanchez (15, 36)",37,R
31,32.,"DJ LeMahieu (10, 31)",35,R
32,32.,"Lance Lynn (9, 33)",35,B
33,34.,"Marwin Gonzalez (9, 31)",34,B
34,34.,"Kenta Maeda (5, 32)",34,R
35,34.,"Shelby Miller (8, 29)",34,R
36,37.,"Ian Desmond (11, 34)",33,R
37,37.,"Adam Eaton (9, 31)",33,L
38,37.,"Jon Lester (15, 36)",33,L
39,37.,"Roberto Perez (7, 31)",33,R
40,37.,"Tanner Roark (8, 33)",33,R
41,37.,"Jeff Samardzija (13, 35)",33,R
42,43.,"Hyun Jin Ryu (7, 33)",32,R
43,44.,"Patrick Corbin (8, 30)",31,L
44,44.,"J.A. Happ (14, 37)",31,L
45,46.,"Jhoulys Chacin (12, 32)",30,R
46,47.,"Gordon Beckham (11, 33)",29,R
47,47.,"Tyler Chatwood (9, 30)",29,R
48,47.,"Dee Strange-Gordon (10, 32)",29,L
49,47.,"Jair Jurrjens (8, 34)",29,R
50,47.,"Michael Wacha (8, 28)",29,R
51,47.,"Alex Wood (8, 29)",29,R
52,53.,"Chase Anderson (7, 32)",28,R
53,53.,"Gerrit Cole (8, 29)",28,R
54,53.,"Zach Davies (6, 27)",28,R
55,53.,"Wade Miley (10, 33)",28,L
56,57.,"Josh Harrison (10, 32)",27,R
57,58.,"Daniel Descalso (10, 33)",26,L
58,58.,"Kyle Hendricks (7, 30)",26,R
59,58.,"Jason Kipnis (10, 33)",26,L
60,58.,"Martin Maldonado (10, 33)",26,R
61,58.,"Andrew Romine (10, 34)",26,B
62,58.,"Jean Segura (9, 30)",26,R
63,64.,"Jose Altuve (10, 30)",25,R
64,64.,"Freddy Galvis (9, 30)",25,B
65,64.,"Jon Gray (6, 28)",25,R
66,64.,"Francisco Lindor (6, 26)",25,B
67,64.,"German Marquez (5, 25)",25,R
68,64.,"Dustin Pedroia (14, 36)",25,R
69,64.,"Robbie Ray (7, 28)",25,L
70,71.,"Mike Foltynewicz (7, 28)",24,R
71,71.,"Leury Garcia (8, 29)",24,B
72,71.,"José Iglesias (9, 30)",24,R
73,71.,"Jose Quintana (9, 31)",24,R
74,71.,"Yolmer Sanchez (7, 28)",24,B
75,71.,"Kurt Suzuki (14, 36)",24,R
76,77.,"Jake Arrieta (11, 34)",23,R
77,77.,"Zack Cozart (9, 34)",23,R
78,77.,"Jacob deGrom (7, 32)",23,L
79,77.,"Ryan Goins (8, 32)",23,L
80,77.,"Edwin Jackson (17, 36)",23,R
81,77.,"Jonathan Villar (8, 29)",23,B
82,83.,"Charlie Blackmon (10, 33)",22,L
83,83.,"Bartolo Colon (21, 47)",22,R
84,83.,"Jordy Mercer (9, 33)",22,R
85,83.,"Jonathan Sanchez (8, 37)",22,L
86,83.,"Zack Wheeler (6, 30)",22,L
87,88.,"Drew Butera (11, 36)",20,R
88,88.,"Trevor Cahill (12, 32)",20,R
89,88.,"Zack Godley (6, 30)",20,R
90,88.,"Eduardo Nunez (11, 33)",20,R
91,88.,"Kolten Wong (8, 29)",20,L
92,93.,"Adeiny Hechavarria (9, 31)",19,R
93,93.,"Ender Inciarte (7, 29)",19,L
94,93.,"Jake Marisnick (8, 29)",19,R
95,93.,"Jose Ramirez (8, 27)",19,B
96,93.,"Eric Sogard (10, 34)",19,L
97,98.,"Mike Fiers (10, 35)",18,R
98,98.,"Sandy Leon (9, 31)",18,B
99,98.,"Cameron Maybin (14, 33)",18,R
100,98.,"Adalberto Mondesi (6, 24)",18,B
