,Rank,"Player (yrs, age)",Fielding % as 1B,Throws
0,1.,"Paul Goldschmidt (10, 32)",.9963,R
1,2.,"Justin Smoak (11, 33)",.9959,L
2,3.,"Mitch Moreland (11, 34)",.9957,L
3,4.,"Anthony Rizzo (10, 30)",.9954,L
4,5.,"Freddie Freeman (11, 30)",.9950,R
5,6.,"Chris Davis (13, 34)",.9947,R
6,6.,"Logan Morrison (11, 32)",.9947,L
7,8.,"Brandon Belt (10, 32)",.9942,L
8,9.,"Eric Hosmer (10, 30)",.9941,L
9,10.,"Miguel Cabrera (18, 37)",.9938,R
10,10.,"Albert Pujols (20, 40)",.9938,R
11,12.,"Carlos Santana (11, 34)",.9935,R
12,13.,"Yonder Alonso (10, 33)",.9934,R
13,13.,"Joey Votto (14, 36)",.9934,R
14,15.,"José Abreu (7, 33)",.9922,R
15,16.,"Matt Adams (9, 31)",.9921,R
