,Rank,"Player (yrs, age)",Assists as 2B,Throws
0,1.,"Robinson Cano (16, 37)",5833,R
1,2.,"Dustin Pedroia (14, 36)",4004,R
2,3.,"Jose Altuve (10, 30)",3171,R
3,4.,"DJ LeMahieu (10, 31)",2869,R
4,5.,"Jason Kipnis (10, 33)",2822,R
5,6.,"Brian Dozier (9, 33)",2813,R
6,7.,"Neil Walker (12, 34)",2796,R
7,8.,"Rougned Odor (7, 26)",2198,R
8,9.,"Jonathan Schoop (8, 28)",2166,R
9,10.,"Kolten Wong (8, 29)",2105,R
10,11.,"Gordon Beckham (11, 33)",2070,R
11,12.,"Daniel Murphy (12, 35)",2035,R
12,13.,"Cesar Hernandez (8, 30)",1865,R
13,14.,"Dee Strange-Gordon (10, 32)",1845,R
14,15.,"Joe Panik (7, 29)",1666,R
15,16.,"Logan Forsythe (10, 33)",1448,R
16,17.,"Starlin Castro (11, 30)",1323,R
17,18.,"Josh Harrison (10, 32)",1094,R
18,19.,"Eric Sogard (10, 34)",1090,R
19,20.,"Whit Merrifield (5, 31)",1042,R
20,21.,"Yolmer Sanchez (7, 28)",1035,R
21,22.,"Jed Lowrie (12, 36)",1034,R
22,23.,"Jedd Gyorko (8, 31)",1007,R
23,24.,"Ozzie Albies (4, 23)",978,R
24,25.,"Asdrubal Cabrera (14, 34)",961,R
25,26.,"Donovan Solano (7, 32)",832,R
26,27.,"Daniel Descalso (10, 33)",780,R
27,28.,"Jonathan Villar (8, 29)",759,R
28,29.,"Jace Peterson (7, 30)",747,R
29,30.,"Sean Rodriguez (13, 35)",714,R
30,31.,"Adam Frazier (5, 28)",653,R
31,32.,"Ryan Goins (8, 32)",652,R
32,33.,"Derek Dietrich (8, 30)",588,R
33,34.,"Matt Carpenter (10, 34)",551,R
34,35.,"Javier Baez (7, 27)",530,R
35,36.,"Jorge Cantu (8, 38)",523,R
36,37.,"Ketel Marte (6, 26)",521,R
37,38.,"Yoan Moncada (5, 25)",504,R
38,39.,"Emilio Bonifacio (12, 35)",498,R
39,40.,"Brock Holt (9, 32)",489,R
