,Rank,"Player (yrs, age)",Double Plays Turned as C,Throws
0,1.,"Yadier Molina (17, 37)",121,R
1,2.,"Matt Wieters (12, 34)",73,R
2,3.,"Jonathan Lucroy (11, 34)",57,R
3,4.,"Alex Avila (12, 33)",56,R
4,4.,"Kurt Suzuki (14, 36)",56,R
5,6.,"Chris Iannetta (14, 37)",50,R
6,7.,"J.T. Realmuto (7, 29)",49,R
7,8.,"Buster Posey (11, 33)",48,R
8,9.,"Jason Castro (10, 33)",47,R
9,10.,"Jeff Mathis (16, 37)",44,R
10,10.,"Salvador Perez (9, 30)",44,R
11,12.,"Welington Castillo (10, 33)",39,R
12,12.,"James McCann (7, 30)",39,R
13,14.,"Yasmani Grandal (9, 31)",38,R
14,15.,"Tyler Flowers (12, 34)",36,R
15,16.,"Yan Gomes (9, 32)",35,R
16,17.,"Wilson Ramos (11, 32)",32,R
17,18.,"Martin Maldonado (10, 33)",31,R
18,18.,"Mike Zunino (8, 29)",31,R
19,20.,"Roberto Perez (7, 31)",30,R
20,20.,"Rene Rivera (12, 36)",30,R
21,22.,"Travis d'Arnaud (8, 31)",26,R
22,23.,"Caleb Joseph (7, 34)",24,R
23,23.,"Tony Wolters (5, 28)",24,R
24,25.,"Tucker Barnhart (7, 29)",23,R
25,25.,"Robinson Chirinos (9, 36)",23,R
26,27.,"Christian Vazquez (6, 29)",21,R
27,28.,"Willson Contreras (5, 28)",19,R
28,29.,"Sandy Leon (9, 31)",18,R
29,30.,"Jorge Alfaro (5, 27)",17,R
30,30.,"Austin Hedges (6, 27)",17,R
31,30.,"Manny Pina (7, 33)",17,R
32,30.,"Gary Sanchez (6, 27)",17,R
33,34.,"Drew Butera (11, 36)",16,R
34,34.,"Elias Diaz (6, 29)",16,R
35,34.,"Josh Phegley (8, 32)",16,R
36,37.,"Curt Casali (7, 31)",15,R
37,38.,"Austin Romine (9, 31)",14,R
38,39.,"Wilin Rosario (5, 31)",13,R
39,39.,"Stephen Vogt (8, 35)",13,R
