,Rank,"Player (yrs, age)",Games Started,Throws
0,1.,"Bartolo Colon (21, 47)",552,R
1,2.,"Zack Greinke (17, 36)",459,R
2,3.,"Justin Verlander (16, 37)",454,R
3,4.,"Jon Lester (15, 36)",423,L
4,5.,"Cole Hamels (15, 36)",422,L
5,6.,"Felix Hernandez (15, 34)",418,R
6,7.,"Max Scherzer (13, 35)",368,R
7,8.,"Clayton Kershaw (13, 32)",354,L
8,9.,"Rick Porcello (12, 31)",351,R
9,10.,"Gio Gonzalez (13, 34)",328,L
10,11.,"Anibal Sanchez (15, 36)",327,R
11,12.,"Adam Wainwright (15, 38)",326,R
12,13.,"Edwin Jackson (17, 36)",318,R
13,14.,"David Price (12, 34)",311,L
14,15.,"Johnny Cueto (13, 34)",308,R
15,16.,"Francisco Liriano (14, 36)",300,L
16,17.,"J.A. Happ (14, 37)",298,L
17,18.,"Mike Leake (10, 32)",296,R
18,19.,"Madison Bumgarner (12, 30)",295,L
19,20.,"Ian Kennedy (14, 35)",290,R
20,21.,"Jordan Zimmermann (12, 34)",275,R
21,22.,"Edinson Volquez (15, 36)",273,R
22,23.,"Charlie Morton (13, 36)",258,R
23,24.,"Jake Arrieta (11, 34)",255,R
24,25.,"Wade Miley (10, 33)",249,L
25,26.,"Jose Quintana (9, 31)",247,L
26,27.,"Homer Bailey (14, 34)",245,R
27,28.,"Jeff Samardzija (13, 35)",241,R
28,28.,"Stephen Strasburg (11, 31)",241,R
29,30.,"Lance Lynn (9, 33)",236,R
30,31.,"Julio Teheran (10, 29)",235,R
31,32.,"Chris Sale (10, 31)",232,L
32,33.,"Derek Holland (12, 33)",227,L
33,33.,"Ivan Nova (11, 33)",227,R
34,35.,"Jhoulys Chacin (12, 32)",226,R
35,36.,"Trevor Cahill (12, 32)",225,R
36,37.,"Dallas Keuchel (9, 32)",213,L
37,38.,"Chris Archer (8, 31)",210,R
38,39.,"Gerrit Cole (8, 29)",204,R
39,39.,"Corey Kluber (10, 34)",204,R
40,41.,"Kyle Gibson (8, 32)",200,R
41,42.,"Patrick Corbin (8, 30)",198,L
42,43.,"Mike Fiers (10, 35)",197,R
43,44.,"Trevor Bauer (9, 29)",195,R
44,44.,"Carlos Carrasco (11, 33)",195,R
45,44.,"Oliver Perez (18, 38)",195,L
46,47.,"Danny Duffy (10, 31)",192,L
47,47.,"Jake Odorizzi (9, 30)",192,R
48,49.,"Sonny Gray (8, 30)",188,R
49,50.,"Brett Anderson (12, 32)",186,L
50,51.,"Jacob deGrom (7, 32)",183,R
51,51.,"Tanner Roark (8, 33)",183,R
52,53.,"Yu Darvish (8, 33)",182,R
53,54.,"Mike Minor (9, 32)",181,L
54,55.,"Kyle Hendricks (7, 30)",174,R
55,56.,"Masahiro Tanaka (7, 31)",173,R
56,57.,"Wei-Yin Chen (8, 34)",170,L
57,58.,"Nathan Eovaldi (9, 30)",169,R
58,58.,"Martin Perez (9, 29)",169,L
59,60.,"Chase Anderson (7, 32)",167,R
60,61.,"Kevin Gausman (8, 29)",164,R
61,61.,"Rich Hill (16, 40)",164,L
62,63.,"Michael Wacha (8, 28)",158,R
63,64.,"Robbie Ray (7, 28)",157,L
64,65.,"Alex Cobb (9, 32)",156,R
65,66.,"Jordan Lyles (10, 29)",152,R
66,67.,"Josh Tomlin (11, 35)",150,R
67,68.,"Michael Pineda (7, 31)",148,R
68,69.,"Tommy Milone (10, 33)",145,L
69,70.,"Matt Harvey (8, 31)",144,R
70,71.,"Tyler Chatwood (9, 30)",143,R
71,72.,"Tyson Ross (10, 33)",142,R
72,73.,"Drew Pomeranz (10, 31)",140,L
73,73.,"Marcus Stroman (6, 29)",140,R
74,75.,"Aaron Nola (6, 27)",139,R
75,75.,"Hector Santiago (9, 32)",139,L
76,77.,"Alex Wood (8, 29)",138,L
77,78.,"Hyun Jin Ryu (7, 33)",137,L
78,78.,"Jonathan Sanchez (8, 37)",137,L
79,78.,"Zack Wheeler (6, 30)",137,R
80,81.,"James Paxton (8, 31)",136,L
81,82.,"Shelby Miller (8, 29)",132,R
82,83.,"Matthew Boyd (6, 29)",130,L
83,84.,"Jair Jurrjens (8, 34)",128,R
84,84.,"Garrett Richards (10, 32)",128,R
85,86.,"Zach Davies (6, 27)",123,R
86,86.,"Carlos Martinez (8, 28)",123,R
87,88.,"Jon Gray (6, 28)",122,R
88,88.,"Eduardo Rodriguez (5, 27)",122,L
89,90.,"Wade LeBlanc (12, 35)",120,L
90,91.,"Collin McHugh (8, 33)",119,R
91,92.,"Mike Foltynewicz (7, 28)",118,R
92,92.,"Noah Syndergaard (5, 27)",118,R
93,94.,"Jose Berrios (5, 26)",115,R
94,94.,"Anthony DeSclafani (6, 30)",115,R
95,96.,"Dylan Bundy (6, 27)",114,R
96,96.,"Kenta Maeda (5, 32)",114,R
97,98.,"Brandon Morrow (12, 35)",113,R
98,99.,"Drew Smyly (7, 31)",111,L
99,100.,"Blake Snell (5, 27)",108,L
