,Rank,"Player (yrs, age)",Total Zone Runs as 2B (s.1953),Throws
0,1.,"Dustin Pedroia (14, 36)",98,R
1,2.,"DJ LeMahieu (10, 31)",76,R
2,3.,"Robinson Cano (16, 37)",71,R
3,4.,"Kolten Wong (8, 29)",35,R
4,5.,"Jonathan Schoop (8, 28)",34,R
5,6.,"Jose Altuve (10, 30)",26,R
6,7.,"Ryan Goins (8, 32)",23,R
7,8.,"Jason Kipnis (10, 33)",22,R
8,9.,"Ketel Marte (6, 26)",18,R
9,10.,"Joe Panik (7, 29)",17,R
10,10.,"Joey Wendle (5, 30)",17,R
11,12.,"Ozzie Albies (4, 23)",16,R
12,13.,"Daniel Robertson (4, 26)",14,R
13,14.,"Adam Frazier (5, 28)",10,R
14,14.,"Jedd Gyorko (8, 31)",10,R
15,14.,"Yolmer Sanchez (7, 28)",10,R
16,17.,"Freddy Galvis (9, 30)",9,R
17,17.,"Eric Sogard (10, 34)",9,R
18,19.,"Asdrubal Cabrera (14, 34)",8,R
19,19.,"Jean Segura (9, 30)",8,R
20,21.,"Hanser Alberto (5, 27)",7,R
21,21.,"David Bote (3, 27)",7,R
22,21.,"Marwin Gonzalez (9, 31)",7,R
23,21.,"Enrique Hernandez (7, 28)",7,R
24,25.,"Ehire Adrianza (8, 30)",6,R
25,25.,"Christian Colon (6, 31)",6,R
26,25.,"Jose Ramirez (8, 27)",6,R
27,25.,"Donovan Solano (7, 32)",6,R
28,25.,"Ildemaro Vargas (4, 28)",6,R
29,30.,"Austin Barnes (6, 30)",5,R
30,30.,"Wilmer Difo (6, 28)",5,R
31,30.,"Tommy Edman (2, 25)",5,R
32,30.,"Eduardo Escobar (10, 31)",5,R
33,30.,"Mike Freeman (5, 32)",5,R
34,30.,"Jose Peraza (6, 26)",5,R
35,30.,"Tyler Wade (4, 25)",5,R
36,37.,"Erick Aybar (12, 36)",4,R
37,37.,"Max Muncy (5, 29)",4,R
38,37.,"Miguel Rojas (7, 31)",4,R
39,37.,"Trea Turner (6, 27)",4,R
