,Rank,"Player (yrs, age)",Sacrifice Flies,Bats
0,1.,"Albert Pujols (20, 40)",115,R
1,2.,"Evan Longoria (13, 34)",89,R
2,3.,"Miguel Cabrera (18, 37)",86,R
3,4.,"Nick Markakis (15, 36)",73,L
4,5.,"Matt Kemp (15, 35)",72,R
5,6.,"Yadier Molina (17, 37)",71,R
6,7.,"Ryan Zimmerman (15, 35)",67,R
7,8.,"Edwin Encarnacion (16, 37)",66,R
8,9.,"Robinson Cano (16, 37)",62,L
9,9.,"Kurt Suzuki (14, 36)",62,R
10,11.,"Dustin Pedroia (14, 36)",59,R
11,12.,"Asdrubal Cabrera (14, 34)",57,B
12,13.,"Justin Upton (14, 32)",56,R
13,14.,"Andrew McCutchen (12, 33)",55,R
14,15.,"Elvis Andrus (12, 31)",52,R
15,15.,"Mike Trout (10, 28)",52,R
16,17.,"Buster Posey (11, 33)",51,R
17,17.,"Pablo Sandoval (13, 33)",51,B
18,19.,"Nolan Arenado (8, 29)",50,R
19,20.,"Brandon Crawford (10, 33)",49,L
20,20.,"Carlos Santana (11, 34)",49,B
21,22.,"Jason Kipnis (10, 33)",48,L
22,22.,"Daniel Murphy (12, 35)",48,L
23,24.,"Nelson Cruz (16, 39)",47,R
24,25.,"Jay Bruce (13, 33)",46,L
25,26.,"Matt Carpenter (10, 34)",45,L
26,26.,"Josh Reddick (12, 33)",45,L
27,26.,"Anthony Rendon (8, 30)",45,R
28,29.,"Michael Brantley (12, 33)",44,L
29,29.,"Ryan Braun (14, 36)",44,R
30,29.,"Joey Votto (14, 36)",44,L
31,29.,"Neil Walker (12, 34)",44,B
32,33.,"Starlin Castro (11, 30)",43,R
33,33.,"Alex Gordon (14, 36)",43,L
34,35.,"Matthew Joyce (13, 35)",42,L
35,36.,"Paul Goldschmidt (10, 32)",41,R
36,36.,"Carlos Gonzalez (12, 34)",41,L
37,36.,"Matt Wieters (12, 34)",41,B
38,39.,"Shin-Soo Choo (16, 37)",40,L
39,39.,"Bryce Harper (9, 27)",40,L
40,39.,"Jed Lowrie (12, 36)",40,B
41,39.,"Jonathan Lucroy (11, 34)",40,R
42,39.,"J.D. Martinez (10, 32)",40,R
43,44.,"Jose Altuve (10, 30)",39,R
44,44.,"Erick Aybar (12, 36)",39,B
45,44.,"Jorge Cantu (8, 38)",39,R
46,44.,"Ian Desmond (11, 34)",39,R
47,44.,"Freddie Freeman (11, 30)",39,L
48,49.,"Chris Davis (13, 34)",38,L
49,49.,"Todd Frazier (10, 34)",38,R
50,49.,"Kyle Seager (10, 32)",38,L
51,52.,"Eric Hosmer (10, 30)",37,L
52,53.,"Brian Dozier (9, 33)",36,R
53,53.,"Brett Gardner (13, 36)",36,L
54,53.,"Chris Iannetta (14, 37)",36,R
55,53.,"Francisco Lindor (6, 26)",36,B
56,53.,"Manny Machado (9, 27)",36,R
57,53.,"Mitch Moreland (11, 34)",36,L
58,53.,"Mike Moustakas (10, 31)",36,L
59,60.,"José Abreu (7, 33)",35,R
60,60.,"Anthony Rizzo (10, 30)",35,L
61,62.,"Kole Calhoun (9, 32)",34,L
62,62.,"Didi Gregorius (9, 30)",34,L
63,64.,"Mookie Betts (7, 27)",33,R
64,64.,"Eduardo Escobar (10, 31)",33,B
65,66.,"Khris Davis (8, 32)",32,R
66,66.,"DJ LeMahieu (10, 31)",32,R
67,66.,"Justin Turner (12, 35)",32,R
68,69.,"Salvador Perez (9, 30)",31,R
69,70.,"Gordon Beckham (11, 33)",30,R
70,70.,"Lorenzo Cain (11, 34)",30,R
71,70.,"Chris Carter (8, 33)",30,R
72,70.,"Nicholas Castellanos (8, 28)",30,R
73,70.,"Zack Cozart (9, 34)",30,R
74,70.,"Josh Donaldson (10, 34)",30,R
75,70.,"Yan Gomes (9, 32)",30,R
76,70.,"Giancarlo Stanton (11, 30)",30,R
77,78.,"Xander Bogaerts (8, 27)",29,R
78,79.,"Yonder Alonso (10, 33)",28,L
79,79.,"Charlie Blackmon (10, 33)",28,L
80,79.,"Yoenis Céspedes (8, 34)",28,R
81,79.,"Dexter Fowler (13, 34)",28,B
82,79.,"Josh Harrison (10, 32)",28,R
83,79.,"Wilson Ramos (11, 32)",28,R
84,79.,"Andrelton Simmons (9, 30)",28,R
85,86.,"Carlos Correa (6, 25)",27,R
86,87.,"Dee Strange-Gordon (10, 32)",26,L
87,87.,"Yasmani Grandal (9, 31)",26,B
88,87.,"Jon Jay (11, 35)",26,L
89,87.,"Joe Panik (7, 29)",26,L
90,87.,"Jose Ramirez (8, 27)",26,B
91,92.,"Jesus Aguilar (7, 30)",25,R
92,92.,"Yuli Gurriel (5, 36)",25,R
93,92.,"Adeiny Hechavarria (9, 31)",25,R
94,92.,"Jason Heyward (11, 30)",25,L
95,92.,"Jeff Mathis (16, 37)",25,R
96,92.,"Kevin Pillar (8, 31)",25,R
97,92.,"AJ Pollock (9, 32)",25,R
98,99.,"Wilmer Flores (8, 28)",24,R
99,99.,"Logan Forsythe (10, 33)",24,R
100,99.,"Jedd Gyorko (8, 31)",24,R
101,99.,"Eduardo Nunez (11, 33)",24,R
102,99.,"Rougned Odor (7, 26)",24,L
103,99.,"Eddie Rosario (6, 28)",24,L
104,99.,"Eugenio Suarez (7, 28)",24,R
