,Rank,"Player (yrs, age)",Errors Committed as SS,Throws
0,1.,"Elvis Andrus (12, 31)",194,R
1,2.,"Erick Aybar (12, 36)",149,R
2,3.,"Ian Desmond (11, 34)",147,R
3,4.,"Starlin Castro (11, 30)",138,R
4,5.,"Brandon Crawford (10, 33)",135,R
5,6.,"Jean Segura (9, 30)",116,R
6,7.,"Asdrubal Cabrera (14, 34)",111,R
7,8.,"Marcus Semien (8, 29)",104,R
8,9.,"Tim Anderson (5, 27)",94,R
9,10.,"Andrelton Simmons (9, 30)",88,R
10,11.,"Xander Bogaerts (8, 27)",78,R
11,12.,"Didi Gregorius (9, 30)",74,R
12,12.,"Jonathan Villar (8, 29)",74,R
13,14.,"Jorge Polanco (7, 26)",68,R
14,15.,"Jordy Mercer (9, 33)",67,R
15,16.,"Adeiny Hechavarria (9, 31)",65,R
16,17.,"Zack Cozart (9, 34)",64,R
17,18.,"Corey Seager (6, 26)",60,R
18,19.,"Nick Ahmed (7, 30)",59,R
19,20.,"Orlando Arcia (5, 25)",57,R
20,20.,"Francisco Lindor (6, 26)",57,R
21,22.,"Brad Miller (8, 30)",56,R
22,23.,"Trevor Story (5, 27)",52,R
23,24.,"Freddy Galvis (9, 30)",51,R
24,25.,"Dansby Swanson (5, 26)",50,R
25,26.,"Javier Baez (7, 27)",49,R
26,26.,"Jed Lowrie (12, 36)",49,R
27,28.,"José Iglesias (9, 30)",46,R
28,29.,"Carlos Correa (6, 25)",45,R
29,30.,"Ketel Marte (6, 26)",43,R
30,30.,"Trea Turner (6, 27)",43,R
31,32.,"Amed Rosario (4, 24)",41,R
32,33.,"Eduardo Nunez (11, 33)",40,R
33,34.,"Willy Adames (3, 24)",39,R
34,35.,"Dee Strange-Gordon (10, 32)",36,R
35,36.,"Miguel Rojas (7, 31)",35,R
36,37.,"Chris Taylor (7, 29)",34,R
37,38.,"Chris Owings (8, 28)",33,R
38,39.,"Paul DeJong (4, 26)",32,R
39,39.,"Marwin Gonzalez (9, 31)",32,R
