,Rank,"Player (yrs, age)",Games Played,Bats
0,1.,"Albert Pujols (20, 40)",2862,R
1,2.,"Miguel Cabrera (18, 37)",2457,R
2,3.,"Robinson Cano (16, 37)",2234,L
3,4.,"Nick Markakis (15, 36)",2154,L
4,5.,"Yadier Molina (17, 37)",2025,R
5,6.,"Edwin Encarnacion (16, 37)",1960,R
6,7.,"Joey Votto (14, 36)",1771,L
7,8.,"Ryan Braun (14, 36)",1766,R
8,9.,"Alex Gordon (14, 36)",1753,L
9,10.,"Matt Kemp (15, 35)",1750,R
10,11.,"Nelson Cruz (16, 39)",1742,R
11,11.,"Evan Longoria (13, 34)",1742,R
12,13.,"Justin Upton (14, 32)",1739,R
13,14.,"Asdrubal Cabrera (14, 34)",1712,B
14,15.,"Ryan Zimmerman (15, 35)",1689,R
15,16.,"Elvis Andrus (12, 31)",1652,R
16,16.,"Shin-Soo Choo (16, 37)",1652,L
17,18.,"Jay Bruce (13, 33)",1640,L
18,19.,"Andrew McCutchen (12, 33)",1617,R
19,20.,"Brett Gardner (13, 36)",1548,L
20,21.,"Dustin Pedroia (14, 36)",1512,R
21,21.,"Kurt Suzuki (14, 36)",1512,R
22,23.,"Carlos Santana (11, 34)",1495,B
23,24.,"Starlin Castro (11, 30)",1486,R
24,25.,"Ian Desmond (11, 34)",1478,R
25,26.,"Erick Aybar (12, 36)",1454,B
26,27.,"Dexter Fowler (13, 34)",1453,B
27,28.,"Daniel Murphy (12, 35)",1452,L
28,29.,"Jason Heyward (11, 30)",1427,L
29,30.,"Chris Davis (13, 34)",1417,L
30,31.,"Freddie Freeman (11, 30)",1406,L
31,32.,"Eric Hosmer (10, 30)",1403,L
32,33.,"Carlos Gonzalez (12, 34)",1377,L
33,34.,"Matthew Joyce (13, 35)",1357,L
34,35.,"Kyle Seager (10, 32)",1321,L
35,36.,"Paul Goldschmidt (10, 32)",1311,R
36,36.,"Pablo Sandoval (13, 33)",1311,B
37,38.,"Neil Walker (12, 34)",1306,B
38,39.,"Brandon Crawford (10, 33)",1305,L
39,40.,"Jose Altuve (10, 30)",1291,R
40,41.,"Justin Smoak (11, 33)",1286,B
41,42.,"Anthony Rizzo (10, 30)",1265,L
42,43.,"Buster Posey (11, 33)",1258,R
43,44.,"Mike Trout (10, 28)",1252,R
44,45.,"Josh Reddick (12, 33)",1251,L
45,46.,"Michael Brantley (12, 33)",1245,L
46,47.,"Todd Frazier (10, 34)",1231,R
47,48.,"Jonathan Lucroy (11, 34)",1203,R
48,49.,"Matt Carpenter (10, 34)",1199,L
49,50.,"Chris Iannetta (14, 37)",1197,R
50,51.,"Jon Jay (11, 35)",1196,L
51,52.,"Giancarlo Stanton (11, 30)",1185,R
52,53.,"Mitch Moreland (11, 34)",1179,L
53,54.,"Mike Moustakas (10, 31)",1175,L
54,55.,"Matt Wieters (12, 34)",1167,B
55,56.,"Jason Kipnis (10, 33)",1165,L
56,57.,"Cameron Maybin (14, 33)",1153,R
57,58.,"DJ LeMahieu (10, 31)",1150,R
58,59.,"Brian Dozier (9, 33)",1144,R
59,60.,"Bryce Harper (9, 27)",1142,L
60,60.,"Manny Machado (9, 27)",1142,R
61,62.,"Brandon Belt (10, 32)",1135,L
62,63.,"J.D. Martinez (10, 32)",1122,R
63,64.,"Charlie Blackmon (10, 33)",1119,L
64,65.,"Jed Lowrie (12, 36)",1118,B
65,66.,"Justin Turner (12, 35)",1114,R
66,67.,"Sean Rodriguez (13, 35)",1103,R
67,68.,"Jean Segura (9, 30)",1099,R
68,69.,"Nolan Arenado (8, 29)",1079,R
69,69.,"Daniel Descalso (10, 33)",1079,L
70,71.,"Yonder Alonso (10, 33)",1072,L
71,72.,"Gordon Beckham (11, 33)",1069,R
72,73.,"Josh Donaldson (10, 34)",1066,R
73,74.,"Andrelton Simmons (9, 30)",1060,R
74,75.,"Lorenzo Cain (11, 34)",1050,R
75,76.,"Kole Calhoun (9, 32)",1020,L
76,77.,"Alex Avila (12, 33)",1018,L
77,78.,"Starling Marte (9, 31)",1014,R
78,79.,"Dee Strange-Gordon (10, 32)",1002,L
79,80.,"Freddy Galvis (9, 30)",998,B
80,81.,"Logan Morrison (11, 32)",997,L
81,82.,"Marcell Ozuna (8, 29)",991,R
82,83.,"Eduardo Escobar (10, 31)",982,B
83,84.,"Salvador Perez (9, 30)",979,R
84,85.,"Christian Yelich (8, 28)",978,L
85,86.,"Xander Bogaerts (8, 27)",970,R
86,86.,"Logan Forsythe (10, 33)",970,R
87,88.,"Anthony Rendon (8, 30)",968,R
88,89.,"Marwin Gonzalez (9, 31)",962,B
89,90.,"José Abreu (7, 33)",961,R
90,91.,"Nicholas Castellanos (8, 28)",948,R
91,92.,"Wilson Ramos (11, 32)",946,R
92,93.,"Jeff Mathis (16, 37)",945,R
93,94.,"Khris Davis (8, 32)",938,R
94,95.,"Yasmani Grandal (9, 31)",925,B
95,96.,"Adeiny Hechavarria (9, 31)",922,R
96,97.,"Didi Gregorius (9, 30)",911,L
97,97.,"Josh Harrison (10, 32)",911,R
98,99.,"Kevin Pillar (8, 31)",905,R
99,100.,"Jordy Mercer (9, 33)",904,R
