,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
0,1.,"Clayton Kershaw (13, 32)",48.04,L
1,2.,"Justin Verlander (16, 37)",39.89,R
2,3.,"Zack Greinke (17, 36)",32.14,R
3,4.,"Max Scherzer (13, 35)",29.82,R
4,5.,"Cole Hamels (15, 36)",25.04,L
5,6.,"Chris Sale (10, 31)",24.64,L
6,7.,"Felix Hernandez (15, 34)",22.98,R
7,8.,"Jacob deGrom (7, 32)",21.40,R
8,9.,"Adam Wainwright (15, 38)",21.37,R
9,10.,"David Price (12, 34)",20.93,L
10,11.,"Jon Lester (15, 36)",20.18,L
11,12.,"Corey Kluber (10, 34)",17.46,R
12,13.,"Madison Bumgarner (12, 30)",16.31,L
13,14.,"Johnny Cueto (13, 34)",16.27,R
14,15.,"Gerrit Cole (8, 29)",16.00,R
15,16.,"Stephen Strasburg (11, 31)",14.84,R
16,17.,"Kyle Hendricks (7, 30)",13.81,R
17,18.,"Craig Kimbrel (11, 32)",13.39,R
18,19.,"Kenley Jansen (11, 32)",13.19,R
19,20.,"Bartolo Colon (21, 47)",13.17,R
20,21.,"Darren O'Day (13, 37)",12.02,R
21,22.,"Aroldis Chapman (11, 32)",11.90,L
22,23.,"Yu Darvish (8, 33)",11.70,R
23,24.,"Joakim Soria (13, 36)",11.51,R
24,25.,"Lance Lynn (9, 33)",11.26,R
25,26.,"Hyun Jin Ryu (7, 33)",11.00,L
26,27.,"Tyler Clippard (14, 35)",10.65,R
27,28.,"Dallas Keuchel (9, 32)",10.44,L
28,29.,"David Robertson (12, 35)",10.08,R
29,30.,"Gio Gonzalez (13, 34)",9.89,L
30,31.,"Mike Clevinger (5, 29)",9.87,R
31,32.,"Tony Watson (10, 35)",9.77,L
32,33.,"Carlos Carrasco (11, 33)",9.39,R
33,34.,"Aaron Nola (6, 27)",9.26,R
34,35.,"Sergio Romo (13, 37)",8.83,R
35,36.,"Zack Britton (10, 32)",8.70,L
36,37.,"Jose Quintana (9, 31)",8.06,L
37,38.,"Joe Smith (13, 36)",7.98,R
38,39.,"Mark Melancon (12, 35)",7.97,R
39,40.,"Dellin Betances (9, 32)",7.81,R
40,41.,"Masahiro Tanaka (7, 31)",7.55,R
41,42.,"Sonny Gray (8, 30)",7.50,R
42,43.,"Rich Hill (16, 40)",7.27,L
43,44.,"Wade Davis (12, 34)",7.25,R
44,45.,"Jake Arrieta (11, 34)",7.24,R
45,46.,"Greg Holland (10, 34)",7.17,R
46,47.,"Blake Snell (5, 27)",6.99,L
47,48.,"Will Harris (9, 35)",6.95,R
48,49.,"Sean Doolittle (9, 33)",6.77,L
49,50.,"Shane Bieber (3, 25)",6.75,R
50,51.,"Roberto Osuna (6, 25)",6.72,R
51,52.,"Carlos Martinez (8, 28)",6.70,R
52,53.,"Jared Hughes (10, 34)",6.56,R
53,54.,"Steve Cishek (11, 34)",6.55,R
54,55.,"Kelvin Herrera (10, 30)",6.48,R
55,56.,"Luis Severino (5, 26)",6.30,R
56,56.,"Noah Syndergaard (5, 27)",6.30,R
57,58.,"Felipe Vazquez (5, 28)",5.99,L
58,59.,"Trevor Bauer (9, 29)",5.93,R
59,60.,"Patrick Corbin (8, 30)",5.68,L
60,61.,"Jack Flaherty (4, 24)",5.61,R
61,62.,"Josh Hader (4, 26)",5.51,L
62,63.,"Mike Minor (9, 32)",5.48,L
63,63.,"Alex Wood (8, 29)",5.48,L
64,65.,"Ken Giles (7, 29)",5.42,R
65,66.,"J.A. Happ (14, 37)",5.41,L
66,67.,"Marcus Stroman (6, 29)",5.27,R
67,68.,"Chad Green (5, 29)",5.12,R
68,69.,"Raisel Iglesias (6, 30)",5.07,R
69,70.,"Eduardo Rodriguez (5, 27)",5.02,L
70,71.,"Mychal Givens (6, 30)",4.99,R
71,72.,"Pedro Baez (7, 32)",4.98,R
72,73.,"Tanner Roark (8, 33)",4.87,R
73,74.,"Alex Colome (8, 31)",4.84,R
74,75.,"Cody Allen (8, 31)",4.71,R
75,76.,"Walker Buehler (4, 25)",4.65,R
76,76.,"Blake Treinen (7, 32)",4.65,R
77,78.,"James Paxton (8, 31)",4.63,L
78,79.,"Brandon Kintzler (11, 35)",4.62,R
79,80.,"Yusmeiro Petit (13, 35)",4.54,R
80,81.,"Brad Hand (10, 30)",4.53,L
81,82.,"Kenta Maeda (5, 32)",4.40,R
82,83.,"Julio Teheran (10, 29)",4.37,R
83,84.,"Jeremy Jeffress (11, 32)",4.35,R
84,85.,"Chris Devenski (5, 29)",4.25,R
85,86.,"Pedro Strop (12, 35)",4.23,R
86,87.,"Trevor Rosenthal (8, 30)",4.21,R
87,88.,"Justin Wilson (9, 32)",4.17,L
88,89.,"Luis Avilan (9, 30)",4.12,L
89,89.,"Luis Castillo (4, 27)",4.12,R
90,91.,"Brad Keller (3, 24)",4.07,R
91,92.,"Tommy Hunter (13, 33)",4.06,R
92,93.,"Taylor Rogers (5, 29)",4.01,L
93,94.,"Andrew Miller (15, 35)",3.88,L
94,95.,"Jair Jurrjens (8, 34)",3.87,R
95,95.,"Jake Odorizzi (9, 30)",3.87,R
96,97.,"Jake McGee (11, 33)",3.86,L
97,98.,"Ryan Pressly (8, 31)",3.80,R
98,99.,"AJ Ramos (8, 33)",3.79,R
99,100.,"Mike Soroka (3, 22)",3.78,R
