,Rank,"Player (yrs, age)",Double Plays Turned as 2B,Throws
0,1.,"Robinson Cano (16, 37)",1409,R
1,2.,"Dustin Pedroia (14, 36)",940,R
2,3.,"Jose Altuve (10, 30)",715,R
3,4.,"Brian Dozier (9, 33)",689,R
4,5.,"Neil Walker (12, 34)",653,R
5,6.,"DJ LeMahieu (10, 31)",652,R
6,7.,"Rougned Odor (7, 26)",624,R
7,8.,"Jason Kipnis (10, 33)",575,R
8,9.,"Jonathan Schoop (8, 28)",571,R
9,10.,"Kolten Wong (8, 29)",535,R
10,11.,"Gordon Beckham (11, 33)",495,R
11,12.,"Dee Strange-Gordon (10, 32)",471,R
12,13.,"Daniel Murphy (12, 35)",469,R
13,14.,"Cesar Hernandez (8, 30)",456,R
14,15.,"Joe Panik (7, 29)",415,R
15,16.,"Logan Forsythe (10, 33)",299,R
16,17.,"Starlin Castro (11, 30)",285,R
17,18.,"Yolmer Sanchez (7, 28)",282,R
18,19.,"Whit Merrifield (5, 31)",275,R
19,20.,"Josh Harrison (10, 32)",267,R
20,21.,"Asdrubal Cabrera (14, 34)",263,R
21,22.,"Ozzie Albies (4, 23)",258,R
22,23.,"Jed Lowrie (12, 36)",255,R
23,24.,"Eric Sogard (10, 34)",249,R
24,25.,"Jedd Gyorko (8, 31)",205,R
25,26.,"Daniel Descalso (10, 33)",192,R
26,27.,"Donovan Solano (7, 32)",187,R
27,28.,"Jace Peterson (7, 30)",185,R
28,29.,"Sean Rodriguez (13, 35)",181,R
29,30.,"Jonathan Villar (8, 29)",178,R
30,31.,"Adam Frazier (5, 28)",160,R
31,32.,"Ryan Goins (8, 32)",151,R
32,33.,"Javier Baez (7, 27)",141,R
33,34.,"Matt Carpenter (10, 34)",139,R
34,35.,"Ketel Marte (6, 26)",135,R
35,36.,"Emilio Bonifacio (12, 35)",134,R
36,37.,"Jorge Cantu (8, 38)",126,R
37,38.,"Derek Dietrich (8, 30)",121,R
38,39.,"Jurickson Profar (7, 27)",115,R
39,40.,"Tommy La Stella (7, 31)",111,R
