,Rank,"Player (yrs, age)",Doubles,Bats
0,1.,"Albert Pujols (20, 40)",669,R
1,2.,"Miguel Cabrera (18, 37)",581,R
2,3.,"Robinson Cano (16, 37)",571,L
3,4.,"Nick Markakis (15, 36)",514,L
4,5.,"Joey Votto (14, 36)",412,L
5,6.,"Ryan Braun (14, 36)",408,R
6,7.,"Ryan Zimmerman (15, 35)",401,R
7,8.,"Dustin Pedroia (14, 36)",394,R
8,9.,"Evan Longoria (13, 34)",392,R
9,10.,"Yadier Molina (17, 37)",381,R
10,11.,"Asdrubal Cabrera (14, 34)",380,B
11,12.,"Daniel Murphy (12, 35)",371,L
12,13.,"Edwin Encarnacion (16, 37)",370,R
13,14.,"Alex Gordon (14, 36)",357,L
14,15.,"Andrew McCutchen (12, 33)",343,R
15,16.,"Freddie Freeman (11, 30)",342,L
16,17.,"Shin-Soo Choo (16, 37)",339,L
17,18.,"Matt Kemp (15, 35)",338,R
18,19.,"Justin Upton (14, 32)",337,R
19,20.,"Nelson Cruz (16, 39)",330,R
20,21.,"Jay Bruce (13, 33)",311,L
21,22.,"Jose Altuve (10, 30)",308,R
22,23.,"Paul Goldschmidt (10, 32)",305,R
23,24.,"Elvis Andrus (12, 31)",303,R
24,24.,"Michael Brantley (12, 33)",303,L
25,26.,"Carlos Gonzalez (12, 34)",302,L
26,27.,"Carlos Santana (11, 34)",301,B
27,28.,"Starlin Castro (11, 30)",299,R
28,29.,"Matt Carpenter (10, 34)",290,L
29,30.,"Kurt Suzuki (14, 36)",283,R
30,31.,"Kyle Seager (10, 32)",280,L
31,32.,"Ian Desmond (11, 34)",277,R
32,33.,"Eric Hosmer (10, 30)",272,L
33,34.,"Buster Posey (11, 33)",270,R
34,35.,"Anthony Rizzo (10, 30)",268,L
35,36.,"Nolan Arenado (8, 29)",262,R
36,36.,"Pablo Sandoval (13, 33)",262,B
37,38.,"Jason Kipnis (10, 33)",260,L
38,38.,"Mike Trout (10, 28)",260,R
39,40.,"Jed Lowrie (12, 36)",259,B
40,41.,"Erick Aybar (12, 36)",256,B
41,41.,"Anthony Rendon (8, 30)",256,R
42,43.,"J.D. Martinez (10, 32)",254,R
43,44.,"Dexter Fowler (13, 34)",253,B
44,45.,"Jason Heyward (11, 30)",249,L
45,46.,"Giancarlo Stanton (11, 30)",246,R
46,47.,"Brandon Belt (10, 32)",244,L
47,47.,"Manny Machado (9, 27)",244,R
48,49.,"Nicholas Castellanos (8, 28)",240,R
49,50.,"Charlie Blackmon (10, 33)",239,L
50,51.,"Mookie Betts (7, 27)",238,R
51,51.,"Neil Walker (12, 34)",238,B
52,53.,"Xander Bogaerts (8, 27)",236,R
53,54.,"Brett Gardner (13, 36)",235,L
54,54.,"Mike Moustakas (10, 31)",235,L
55,56.,"Brandon Crawford (10, 33)",234,L
56,56.,"Justin Turner (12, 35)",234,R
57,58.,"José Abreu (7, 33)",233,R
58,59.,"Brian Dozier (9, 33)",231,R
59,60.,"Chris Davis (13, 34)",228,L
60,60.,"Josh Donaldson (10, 34)",228,R
61,60.,"Bryce Harper (9, 27)",228,L
62,63.,"Jonathan Lucroy (11, 34)",216,R
63,63.,"Christian Yelich (8, 28)",216,L
64,65.,"Jose Ramirez (8, 27)",213,B
65,66.,"Todd Frazier (10, 34)",211,R
66,67.,"Mitch Moreland (11, 34)",208,L
67,67.,"Josh Reddick (12, 33)",208,L
68,69.,"Lorenzo Cain (11, 34)",207,R
69,70.,"DJ LeMahieu (10, 31)",206,R
70,70.,"Starling Marte (9, 31)",206,R
71,72.,"Matthew Joyce (13, 35)",205,L
72,72.,"Kevin Pillar (8, 31)",205,R
73,74.,"Jorge Cantu (8, 38)",203,R
74,75.,"Jean Segura (9, 30)",196,R
75,75.,"Justin Smoak (11, 33)",196,B
76,77.,"Corey Dickerson (8, 31)",195,L
77,78.,"Francisco Lindor (6, 26)",191,B
78,79.,"Matt Wieters (12, 34)",190,B
79,80.,"Eduardo Escobar (10, 31)",189,B
80,80.,"Salvador Perez (9, 30)",189,R
81,82.,"Andrelton Simmons (9, 30)",188,R
82,83.,"Gordon Beckham (11, 33)",187,R
83,84.,"Jon Jay (11, 35)",185,L
84,85.,"Yonder Alonso (10, 33)",181,L
85,85.,"Chris Iannetta (14, 37)",181,R
86,87.,"Kole Calhoun (9, 32)",176,L
87,87.,"Marcell Ozuna (8, 29)",176,R
88,89.,"Yoenis Céspedes (8, 34)",173,R
89,89.,"Cameron Maybin (14, 33)",173,R
90,91.,"Kris Bryant (6, 28)",172,R
91,92.,"Marcus Semien (8, 29)",170,R
92,93.,"Wil Myers (8, 29)",169,R
93,94.,"AJ Pollock (9, 32)",168,R
94,95.,"Jordy Mercer (9, 33)",166,R
95,96.,"Josh Harrison (10, 32)",163,R
96,96.,"José Iglesias (9, 30)",163,R
97,96.,"Logan Morrison (11, 32)",163,L
98,99.,"Jackie Bradley Jr. (8, 30)",162,L
99,99.,"Marwin Gonzalez (9, 31)",162,B
