,Rank,"Player (yrs, age)",Assists as 1B,Throws
0,1.,"Joey Votto (14, 36)",1593,R
1,2.,"Albert Pujols (20, 40)",1582,R
2,3.,"Anthony Rizzo (10, 30)",1054,L
3,4.,"Eric Hosmer (10, 30)",872,L
4,5.,"Paul Goldschmidt (10, 32)",856,R
5,6.,"Freddie Freeman (11, 30)",787,R
6,7.,"Miguel Cabrera (18, 37)",727,R
7,8.,"Brandon Belt (10, 32)",677,L
8,9.,"Chris Davis (13, 34)",573,R
9,10.,"Mitch Moreland (11, 34)",562,L
10,11.,"Carlos Santana (11, 34)",539,R
11,12.,"Justin Smoak (11, 33)",510,L
12,13.,"José Abreu (7, 33)",465,R
13,14.,"Yonder Alonso (10, 33)",457,R
14,15.,"Matt Adams (9, 31)",360,R
15,16.,"Logan Morrison (11, 32)",336,L
16,17.,"Josh Bell (5, 27)",305,R
17,18.,"Daniel Murphy (12, 35)",289,R
18,19.,"Yuli Gurriel (5, 36)",265,R
19,20.,"C.J. Cron (7, 30)",252,R
20,21.,"Matt Olson (5, 26)",251,R
21,22.,"Edwin Encarnacion (16, 37)",225,R
22,23.,"Chris Carter (8, 33)",209,R
23,24.,"Ryan Zimmerman (15, 35)",201,R
24,25.,"Jesus Aguilar (7, 30)",199,R
25,26.,"Rhys Hoskins (4, 27)",172,R
26,27.,"Christian Walker (6, 29)",171,R
27,28.,"Wil Myers (8, 29)",161,R
28,29.,"Matt Carpenter (10, 34)",150,R
29,30.,"Eric Thames (6, 33)",140,R
30,31.,"Pete Alonso (2, 25)",126,R
31,32.,"Marwin Gonzalez (9, 31)",120,R
32,33.,"Buster Posey (11, 33)",114,R
33,34.,"Ronald Guzman (3, 25)",101,L
34,35.,"Ryon Healy (5, 28)",93,R
35,36.,"Ian Desmond (11, 34)",89,R
36,37.,"Jorge Cantu (8, 38)",88,R
37,38.,"Trey Mancini (4, 28)",83,R
38,39.,"Luke Voit (4, 29)",78,R
39,40.,"Max Muncy (5, 29)",75,R
