,Rank,"Player (yrs, age)",Def. Games as RF (s.1901),Throws
0,1.,"Nick Markakis (15, 36)",2074,L
1,2.,"Jay Bruce (13, 33)",1437,L
2,3.,"Jason Heyward (11, 30)",1319,L
3,4.,"Josh Reddick (12, 33)",1072,R
4,5.,"Kole Calhoun (9, 32)",990,L
5,6.,"Giancarlo Stanton (11, 30)",982,R
6,7.,"Shin-Soo Choo (16, 37)",947,L
7,8.,"Nelson Cruz (16, 39)",881,R
8,9.,"Bryce Harper (9, 27)",800,R
9,10.,"Justin Upton (14, 32)",769,R
10,11.,"Carlos Gonzalez (12, 34)",693,L
11,12.,"Mookie Betts (7, 27)",637,R
12,13.,"Gregory Polanco (7, 28)",605,L
13,14.,"Avisail Garcia (9, 29)",597,R
14,15.,"Matthew Joyce (13, 35)",596,R
15,16.,"Stephen Piscotty (6, 29)",545,R
16,17.,"George Springer (7, 30)",534,R
17,18.,"Matt Kemp (15, 35)",524,R
18,19.,"Max Kepler (6, 27)",493,L
19,20.,"J.D. Martinez (10, 32)",492,R
20,21.,"Nomar Mazara (5, 25)",460,L
21,22.,"Steven Souza Jr. (6, 31)",431,R
22,23.,"Aaron Judge (5, 28)",375,R
23,24.,"Adam Eaton (9, 31)",374,L
24,25.,"Nicholas Castellanos (8, 28)",357,R
25,26.,"Domingo Santana (7, 27)",346,R
26,27.,"Charlie Blackmon (10, 33)",316,L
27,28.,"Hunter Renfroe (5, 28)",304,R
28,29.,"Randal Grichuk (7, 28)",293,R
29,30.,"Ryan Braun (14, 36)",289,R
30,31.,"Mitch Haniger (4, 29)",285,R
31,32.,"Jon Jay (11, 35)",281,L
32,33.,"Jorge Soler (7, 28)",257,R
33,34.,"Scott Schebler (6, 29)",255,R
34,35.,"Wil Myers (8, 29)",226,R
35,36.,"Dexter Fowler (13, 34)",221,R
36,37.,"Michael Conforto (6, 27)",217,R
37,38.,"Christian Yelich (8, 28)",199,R
38,39.,"David Peralta (7, 32)",176,L
39,40.,"Joey Rickard (5, 29)",172,L
