,Rank,"Player (yrs, age)",Adj. Batting Runs,Bats
0,1.,"Albert Pujols (20, 40)",738,R
1,2.,"Miguel Cabrera (18, 37)",643,R
2,3.,"Mike Trout (10, 28)",516,R
3,4.,"Joey Votto (14, 36)",502,L
4,5.,"Ryan Braun (14, 36)",315,R
5,6.,"Robinson Cano (16, 37)",309,L
6,6.,"Paul Goldschmidt (10, 32)",309,R
7,8.,"Freddie Freeman (11, 30)",304,L
8,8.,"Andrew McCutchen (12, 33)",304,R
9,10.,"Nelson Cruz (16, 39)",293,R
10,11.,"Giancarlo Stanton (11, 30)",270,R
11,12.,"Bryce Harper (9, 27)",245,L
12,13.,"Edwin Encarnacion (16, 37)",242,R
13,14.,"Shin-Soo Choo (16, 37)",222,L
14,15.,"Josh Donaldson (10, 34)",212,R
15,16.,"Anthony Rizzo (10, 30)",209,L
16,17.,"J.D. Martinez (10, 32)",205,R
17,18.,"Christian Yelich (8, 28)",202,L
18,19.,"Buster Posey (11, 33)",196,R
19,20.,"Evan Longoria (13, 34)",193,R
20,21.,"José Abreu (7, 33)",190,R
21,22.,"Carlos Santana (11, 34)",184,B
22,23.,"Jose Altuve (10, 30)",179,R
23,24.,"Mookie Betts (7, 27)",178,R
24,25.,"Matt Kemp (15, 35)",176,R
25,26.,"Matt Carpenter (10, 34)",174,L
26,27.,"Justin Upton (14, 32)",173,R
27,28.,"Anthony Rendon (8, 30)",157,R
28,29.,"Justin Turner (12, 35)",154,R
29,30.,"Ryan Zimmerman (15, 35)",149,R
30,31.,"Kris Bryant (6, 28)",147,R
31,32.,"George Springer (7, 30)",143,R
32,33.,"Brandon Belt (10, 32)",135,L
33,33.,"Alex Bregman (5, 26)",135,R
34,35.,"Manny Machado (9, 27)",132,R
35,36.,"Nick Markakis (15, 36)",130,L
36,37.,"Dustin Pedroia (14, 36)",129,R
37,38.,"Nolan Arenado (8, 29)",122,R
38,39.,"Michael Brantley (12, 33)",119,L
39,40.,"Aaron Judge (5, 28)",118,R
40,41.,"Cody Bellinger (4, 24)",108,L
41,42.,"Yoenis Céspedes (8, 34)",104,R
42,43.,"Daniel Murphy (12, 35)",102,L
43,44.,"Jose Ramirez (8, 27)",101,B
44,44.,"Kyle Seager (10, 32)",101,L
45,46.,"Charlie Blackmon (10, 33)",96,L
46,47.,"Michael Conforto (6, 27)",95,L
47,48.,"Juan Soto (3, 21)",93,L
48,49.,"Carlos Correa (6, 25)",91,R
49,50.,"Corey Seager (6, 26)",90,L
50,51.,"Marcell Ozuna (8, 29)",84,R
51,52.,"Khris Davis (8, 32)",82,R
52,53.,"Carlos Gonzalez (12, 34)",81,L
53,53.,"Matthew Joyce (13, 35)",81,L
54,55.,"Francisco Lindor (6, 26)",79,B
55,56.,"Yasmani Grandal (9, 31)",77,B
56,57.,"Starling Marte (9, 31)",75,R
57,58.,"Xander Bogaerts (8, 27)",74,R
58,58.,"Pablo Sandoval (13, 33)",74,B
59,60.,"Tommy Pham (7, 32)",72,R
60,61.,"Neil Walker (12, 34)",68,B
61,62.,"Corey Dickerson (8, 31)",67,L
62,63.,"Eric Hosmer (10, 30)",63,L
63,64.,"Matt Chapman (4, 27)",61,R
64,64.,"Rhys Hoskins (4, 27)",61,R
65,66.,"Ronald Acuna Jr. (3, 22)",60,R
66,66.,"Asdrubal Cabrera (14, 34)",60,B
67,68.,"Brandon Nimmo (5, 27)",58,L
68,68.,"Matt Olson (5, 26)",58,L
69,68.,"Eugenio Suarez (7, 28)",58,R
70,71.,"Nicholas Castellanos (8, 28)",57,R
71,71.,"Miguel Sano (6, 27)",57,R
72,73.,"Jay Bruce (13, 33)",56,L
73,74.,"Adam Eaton (9, 31)",55,L
74,74.,"Jeff McNeil (3, 28)",55,L
75,76.,"Max Muncy (5, 29)",54,L
76,76.,"Joc Pederson (7, 28)",54,L
77,78.,"Josh Bell (5, 27)",51,B
78,79.,"Mitch Haniger (4, 29)",50,R
79,79.,"AJ Pollock (9, 32)",50,R
80,81.,"Wil Myers (8, 29)",49,R
81,82.,"Pete Alonso (2, 25)",48,R
82,83.,"David Peralta (7, 32)",47,L
83,83.,"Luke Voit (4, 29)",47,R
84,85.,"Dexter Fowler (13, 34)",46,B
85,85.,"Todd Frazier (10, 34)",46,R
86,87.,"Trey Mancini (4, 28)",45,R
87,87.,"Trea Turner (6, 27)",45,R
88,89.,"Trevor Story (5, 27)",43,R
89,89.,"Fernando Tatis Jr. (2, 21)",43,R
90,91.,"Brian Dozier (9, 33)",42,R
91,92.,"Mark Canha (6, 31)",40,R
92,92.,"J.T. Realmuto (7, 29)",40,R
93,92.,"Jorge Soler (7, 28)",40,R
94,95.,"Chris Davis (13, 34)",39,L
95,96.,"Jed Lowrie (12, 36)",37,B
96,97.,"Yordan Álvarez (2, 23)",36,L
97,97.,"Kole Calhoun (9, 32)",36,L
98,99.,"Jason Heyward (11, 30)",35,L
99,99.,"Gleyber Torres (3, 23)",35,R
