,Rank,"Player (yrs, age)",Assists as OF,Throws
0,1.,"Nick Markakis (15, 36)",122,L
1,2.,"Jay Bruce (13, 33)",104,L
2,3.,"Alex Gordon (14, 36)",102,R
3,4.,"Matt Kemp (15, 35)",91,R
4,5.,"Shin-Soo Choo (16, 37)",80,L
5,6.,"Ryan Braun (14, 36)",78,R
6,7.,"Carlos Gonzalez (12, 34)",77,L
7,8.,"Brett Gardner (13, 36)",76,L
8,9.,"Starling Marte (9, 31)",75,R
9,10.,"Andrew McCutchen (12, 33)",74,R
10,11.,"Jason Heyward (11, 30)",69,L
11,11.,"Josh Reddick (12, 33)",69,R
12,13.,"Bryce Harper (9, 27)",68,R
13,14.,"Yoenis Céspedes (8, 34)",67,R
14,15.,"Giancarlo Stanton (11, 30)",66,R
15,16.,"Jarrod Dyson (11, 35)",62,R
16,17.,"Michael Brantley (12, 33)",61,L
17,17.,"Justin Upton (14, 32)",61,R
18,19.,"Jackie Bradley Jr. (8, 30)",59,R
19,19.,"Kole Calhoun (9, 32)",59,L
20,21.,"Billy Hamilton (8, 29)",57,R
21,22.,"Eddie Rosario (6, 28)",53,R
22,23.,"Lorenzo Cain (11, 34)",52,R
23,24.,"Mookie Betts (7, 27)",51,R
24,24.,"Nelson Cruz (16, 39)",51,R
25,24.,"Dexter Fowler (13, 34)",51,R
26,24.,"Avisail Garcia (9, 29)",51,R
27,24.,"Marcell Ozuna (8, 29)",51,R
28,29.,"Adam Eaton (9, 31)",50,L
29,29.,"Ender Inciarte (7, 29)",50,L
30,31.,"Kevin Kiermaier (8, 30)",49,R
31,32.,"J.D. Martinez (10, 32)",47,R
32,33.,"Kevin Pillar (8, 31)",45,R
33,34.,"Gregory Polanco (7, 28)",43,L
34,35.,"George Springer (7, 30)",42,R
35,36.,"Charlie Blackmon (10, 33)",41,L
36,37.,"Mike Trout (10, 28)",38,R
37,38.,"Juan Lagares (8, 31)",35,R
38,39.,"Michael Conforto (6, 27)",34,R
39,39.,"Matthew Joyce (13, 35)",34,R
