,Rank,"Player (yrs, age)",Assists as P,Throws
0,1.,"Bartolo Colon (21, 47)",456,R
1,2.,"Zack Greinke (17, 36)",425,R
2,3.,"Clayton Kershaw (13, 32)",334,L
3,4.,"Cole Hamels (15, 36)",323,L
4,5.,"Felix Hernandez (15, 34)",321,R
5,6.,"Justin Verlander (16, 37)",289,R
6,7.,"Adam Wainwright (15, 38)",280,R
7,8.,"Mike Leake (10, 32)",273,R
8,9.,"Trevor Cahill (12, 32)",264,R
9,10.,"Dallas Keuchel (9, 32)",260,L
10,11.,"Gio Gonzalez (13, 34)",250,L
11,12.,"Jon Lester (15, 36)",249,L
12,13.,"Jake Arrieta (11, 34)",248,R
13,13.,"Johnny Cueto (13, 34)",248,R
14,15.,"Francisco Liriano (14, 36)",239,L
15,16.,"Anibal Sanchez (15, 36)",230,R
16,17.,"Rick Porcello (12, 31)",225,R
17,18.,"Julio Teheran (10, 29)",221,R
18,19.,"Madison Bumgarner (12, 30)",215,L
19,20.,"David Price (12, 34)",212,L
20,21.,"Jordan Zimmermann (12, 34)",196,R
21,22.,"Brett Anderson (12, 32)",192,L
22,23.,"Patrick Corbin (8, 30)",191,L
23,24.,"Jhoulys Chacin (12, 32)",189,R
24,25.,"Edwin Jackson (17, 36)",187,R
25,26.,"Wade Miley (10, 33)",186,L
26,27.,"J.A. Happ (14, 37)",184,L
27,28.,"Jose Quintana (9, 31)",183,L
28,29.,"Kyle Hendricks (7, 30)",177,R
29,30.,"Max Scherzer (13, 35)",176,R
30,31.,"Edinson Volquez (15, 36)",171,R
31,32.,"Derek Holland (12, 33)",166,L
32,33.,"Jeff Samardzija (13, 35)",161,R
33,34.,"Gerrit Cole (8, 29)",157,R
34,35.,"Horacio Ramirez (8, 40)",155,L
35,36.,"Ian Kennedy (14, 35)",154,R
36,37.,"Joe Smith (13, 36)",152,R
37,38.,"Kyle Gibson (8, 32)",151,R
38,39.,"Oliver Perez (18, 38)",150,L
39,40.,"Charlie Morton (13, 36)",149,R
