,Rank,"Player (yrs, age)",Adjusted OPS+,Bats
0,1.,"Mike Trout (10, 28)",176,R
1,2.,"Joey Votto (14, 36)",149,L
2,3.,"Miguel Cabrera (18, 37)",147,R
3,4.,"Albert Pujols (20, 40)",146,R
4,5.,"Giancarlo Stanton (11, 30)",144,R
5,6.,"Paul Goldschmidt (10, 32)",141,R
6,7.,"Freddie Freeman (11, 30)",139,L
7,8.,"Bryce Harper (9, 27)",138,L
8,9.,"José Abreu (7, 33)",136,R
9,9.,"Josh Donaldson (10, 34)",136,R
10,11.,"Mookie Betts (7, 27)",135,R
11,11.,"J.D. Martinez (10, 32)",135,R
12,11.,"Christian Yelich (8, 28)",135,L
13,14.,"Ryan Braun (14, 36)",134,R
14,14.,"Kris Bryant (6, 28)",134,R
15,16.,"Nelson Cruz (16, 39)",133,R
16,16.,"Andrew McCutchen (12, 33)",133,R
17,18.,"George Springer (7, 30)",131,R
18,19.,"Anthony Rizzo (10, 30)",129,L
19,20.,"Buster Posey (11, 33)",128,R
20,20.,"Justin Turner (12, 35)",128,R
21,22.,"Anthony Rendon (8, 30)",127,R
22,23.,"Robinson Cano (16, 37)",126,L
23,24.,"Matt Carpenter (10, 34)",125,L
24,24.,"Yoenis Céspedes (8, 34)",125,R
25,26.,"Jose Altuve (10, 30)",124,R
26,27.,"Edwin Encarnacion (16, 37)",123,R
27,27.,"Jose Ramirez (8, 27)",123,B
28,29.,"Brandon Belt (10, 32)",122,L
29,29.,"Shin-Soo Choo (16, 37)",122,L
30,31.,"Matt Kemp (15, 35)",121,R
31,31.,"Manny Machado (9, 27)",121,R
32,33.,"Nolan Arenado (8, 29)",120,R
33,33.,"Evan Longoria (13, 34)",120,R
34,33.,"Carlos Santana (11, 34)",120,B
35,36.,"Khris Davis (8, 32)",119,R
36,36.,"Justin Upton (14, 32)",119,R
37,38.,"Corey Dickerson (8, 31)",118,L
38,39.,"Francisco Lindor (6, 26)",117,B
39,39.,"Marcell Ozuna (8, 29)",117,R
40,41.,"Charlie Blackmon (10, 33)",116,L
41,41.,"Michael Brantley (12, 33)",116,L
42,41.,"Ryan Zimmerman (15, 35)",116,R
43,44.,"Yasmani Grandal (9, 31)",115,B
44,44.,"Starling Marte (9, 31)",115,R
45,46.,"AJ Pollock (9, 32)",114,R
46,46.,"Kyle Seager (10, 32)",114,L
47,46.,"Eugenio Suarez (7, 28)",114,R
48,49.,"Xander Bogaerts (8, 27)",113,R
49,49.,"Daniel Murphy (12, 35)",113,L
50,49.,"Dustin Pedroia (14, 36)",113,R
51,52.,"Nicholas Castellanos (8, 28)",112,R
52,52.,"Carlos Gonzalez (12, 34)",112,L
53,52.,"Matthew Joyce (13, 35)",112,L
54,55.,"Adam Eaton (9, 31)",111,L
55,55.,"Wil Myers (8, 29)",111,R
56,55.,"Pablo Sandoval (13, 33)",111,B
57,58.,"Nick Markakis (15, 36)",109,L
58,58.,"Neil Walker (12, 34)",109,B
59,60.,"Jay Bruce (13, 33)",108,L
60,60.,"Todd Frazier (10, 34)",108,R
61,60.,"Eric Hosmer (10, 30)",108,L
62,63.,"Brian Dozier (9, 33)",107,R
63,64.,"Asdrubal Cabrera (14, 34)",106,B
64,64.,"Kole Calhoun (9, 32)",106,L
65,64.,"Chris Davis (13, 34)",106,L
66,67.,"Dexter Fowler (13, 34)",105,B
67,67.,"Jed Lowrie (12, 36)",105,B
68,67.,"Marcus Semien (8, 29)",105,R
69,70.,"Lorenzo Cain (11, 34)",104,R
70,70.,"Jason Heyward (11, 30)",104,L
71,70.,"Logan Morrison (11, 32)",104,L
72,70.,"Josh Reddick (12, 33)",104,L
73,74.,"Yonder Alonso (10, 33)",103,L
74,74.,"Avisail Garcia (9, 29)",103,R
75,74.,"Wilson Ramos (11, 32)",103,R
76,74.,"Justin Smoak (11, 33)",103,B
77,78.,"Alex Gordon (14, 36)",102,L
78,78.,"Jason Kipnis (10, 33)",102,L
79,78.,"DJ LeMahieu (10, 31)",102,R
80,78.,"Mitch Moreland (11, 34)",102,L
81,82.,"Alex Avila (12, 33)",101,L
82,82.,"Brett Gardner (13, 36)",101,L
83,82.,"Jonathan Lucroy (11, 34)",101,R
84,82.,"Mike Moustakas (10, 31)",101,L
85,82.,"Salvador Perez (9, 30)",101,R
86,87.,"Didi Gregorius (9, 30)",100,L
87,88.,"Marwin Gonzalez (9, 31)",99,B
88,88.,"Jonathan Schoop (8, 28)",99,R
89,90.,"Starlin Castro (11, 30)",98,R
90,90.,"Cesar Hernandez (8, 30)",98,B
91,90.,"Chris Iannetta (14, 37)",98,R
92,90.,"Yadier Molina (17, 37)",98,R
93,90.,"Jean Segura (9, 30)",98,R
94,95.,"Jorge Cantu (8, 38)",97,R
95,95.,"Eduardo Escobar (10, 31)",97,B
96,95.,"Jon Jay (11, 35)",97,L
97,98.,"Brandon Crawford (10, 33)",95,L
98,98.,"Ian Desmond (11, 34)",95,R
99,98.,"Jonathan Villar (8, 29)",95,B
