,Rank,"Player (yrs, age)",Complete Games,Throws
0,1.,"Bartolo Colon (21, 47)",38,R
1,2.,"Justin Verlander (16, 37)",26,R
2,3.,"Felix Hernandez (15, 34)",25,R
3,3.,"Clayton Kershaw (13, 32)",25,L
4,5.,"Adam Wainwright (15, 38)",24,R
5,6.,"Johnny Cueto (13, 34)",17,R
6,6.,"Cole Hamels (15, 36)",17,L
7,6.,"Corey Kluber (10, 34)",17,R
8,6.,"David Price (12, 34)",17,L
9,10.,"Zack Greinke (17, 36)",16,R
10,10.,"Chris Sale (10, 31)",16,L
11,12.,"Madison Bumgarner (12, 30)",15,L
12,12.,"Jon Lester (15, 36)",15,L
13,14.,"Dallas Keuchel (9, 32)",12,L
14,15.,"Carlos Carrasco (11, 33)",11,R
15,15.,"Max Scherzer (13, 35)",11,R
16,17.,"Ivan Nova (11, 33)",10,R
17,17.,"Rick Porcello (12, 31)",10,R
18,19.,"Derek Holland (12, 33)",9,L
19,19.,"Jeff Samardzija (13, 35)",9,R
20,19.,"Anibal Sanchez (15, 36)",9,R
21,22.,"Jordan Zimmermann (12, 34)",8,R
22,23.,"Homer Bailey (14, 34)",7,R
23,23.,"Masahiro Tanaka (7, 31)",7,R
24,25.,"Jake Arrieta (11, 34)",6,R
25,25.,"Sonny Gray (8, 30)",6,R
26,25.,"Mike Leake (10, 32)",6,R
27,28.,"Henderson Alvarez III (6, 30)",5,R
28,28.,"Trevor Bauer (9, 29)",5,R
29,28.,"Patrick Corbin (8, 30)",5,L
30,28.,"Zach Eflin (5, 26)",5,R
31,28.,"Kyle Hendricks (7, 30)",5,R
32,28.,"Edwin Jackson (17, 36)",5,R
33,28.,"Shelby Miller (8, 29)",5,R
34,28.,"Julio Teheran (10, 29)",5,R
35,28.,"Josh Tomlin (11, 35)",5,R
36,37.,"Alex Cobb (9, 32)",4,R
37,37.,"Gerrit Cole (8, 29)",4,R
38,37.,"Lucas Giolito (5, 25)",4,R
39,37.,"Gio Gonzalez (13, 34)",4,L
40,37.,"J.A. Happ (14, 37)",4,L
41,37.,"Rich Hill (16, 40)",4,L
42,37.,"Mike Minor (9, 32)",4,L
43,37.,"Brandon Morrow (12, 35)",4,R
44,37.,"Edinson Volquez (15, 36)",4,R
45,46.,"Brett Anderson (12, 32)",3,L
46,46.,"Chris Archer (8, 31)",3,R
47,46.,"Jose Berrios (5, 26)",3,R
48,46.,"Shane Bieber (3, 25)",3,R
49,46.,"Dylan Bundy (6, 27)",3,R
50,46.,"Trevor Cahill (12, 32)",3,R
51,46.,"Jhoulys Chacin (12, 32)",3,R
52,46.,"Jacob deGrom (7, 32)",3,R
53,46.,"Kyle Gibson (8, 32)",3,R
54,46.,"Kendall Graveman (6, 29)",3,R
55,46.,"Daniel Hudson (11, 33)",3,R
56,46.,"Francisco Liriano (14, 36)",3,L
57,46.,"Lance Lynn (9, 33)",3,R
58,46.,"Charlie Morton (13, 36)",3,R
59,46.,"Martin Perez (9, 29)",3,L
60,46.,"Oliver Perez (18, 38)",3,L
61,46.,"Horacio Ramirez (8, 40)",3,L
62,46.,"Garrett Richards (10, 32)",3,R
63,46.,"Tyson Ross (10, 33)",3,R
64,46.,"Hyun Jin Ryu (7, 33)",3,L
65,46.,"Marcus Stroman (6, 29)",3,R
66,46.,"Noah Syndergaard (5, 27)",3,R
67,46.,"Jameson Taillon (4, 28)",3,R
68,46.,"Taijuan Walker (8, 27)",3,R
69,70.,"Sandy Alcantara (4, 24)",2,R
70,70.,"Matthew Boyd (6, 29)",2,L
71,70.,"Walker Buehler (4, 25)",2,R
72,70.,"Brett Cecil (10, 33)",2,L
73,70.,"Tyler Chatwood (9, 30)",2,R
74,70.,"Mike Clevinger (5, 29)",2,R
75,70.,"Yu Darvish (8, 33)",2,R
76,70.,"Wade Davis (12, 34)",2,R
77,70.,"Mike Fiers (10, 35)",2,R
78,70.,"Mike Foltynewicz (7, 28)",2,R
79,70.,"Michael Fulmer (4, 27)",2,R
80,70.,"Marco Gonzales (6, 28)",2,L
81,70.,"Tommy Hunter (13, 33)",2,R
82,70.,"Jair Jurrjens (8, 34)",2,R
83,70.,"Brad Keller (3, 24)",2,R
84,70.,"Ian Kennedy (14, 35)",2,R
85,70.,"Carlos Martinez (8, 28)",2,R
86,70.,"Daniel Mengden (5, 27)",2,R
87,70.,"Miles Mikolas (5, 31)",2,R
88,70.,"Wade Miley (10, 33)",2,L
89,70.,"Tommy Milone (10, 33)",2,L
90,70.,"Mike Montgomery (6, 30)",2,L
91,70.,"Aaron Nola (6, 27)",2,R
