,Rank,"Player (yrs, age)",Slugging %,Bats
0,1.,"Mike Trout (10, 28)",.5821,R
1,2.,"Albert Pujols (20, 40)",.5465,R
2,3.,"Giancarlo Stanton (11, 30)",.5461,R
3,4.,"Nolan Arenado (8, 29)",.5408,R
4,5.,"Miguel Cabrera (18, 37)",.5399,R
5,6.,"Ryan Braun (14, 36)",.5323,R
6,7.,"J.D. Martinez (10, 32)",.5295,R
7,8.,"Nelson Cruz (16, 39)",.5290,R
8,9.,"Paul Goldschmidt (10, 32)",.5221,R
9,10.,"Mookie Betts (7, 27)",.5219,R
10,11.,"José Abreu (7, 33)",.5199,R
11,12.,"Joey Votto (14, 36)",.5172,L
12,13.,"Bryce Harper (9, 27)",.5131,L
13,14.,"Freddie Freeman (11, 30)",.5094,L
14,15.,"Kris Bryant (6, 28)",.5083,R
15,16.,"Josh Donaldson (10, 34)",.5082,R
16,17.,"Charlie Blackmon (10, 33)",.5054,L
17,18.,"Carlos Gonzalez (12, 34)",.4999,L
18,19.,"Corey Dickerson (8, 31)",.4973,L
19,20.,"Yoenis Céspedes (8, 34)",.4970,R
20,21.,"Edwin Encarnacion (16, 37)",.4963,R
21,22.,"Khris Davis (8, 32)",.4945,R
22,22.,"Jose Ramirez (8, 27)",.4945,B
23,24.,"Robinson Cano (16, 37)",.4915,L
24,25.,"George Springer (7, 30)",.4914,R
25,26.,"Anthony Rendon (8, 30)",.4902,R
26,27.,"Christian Yelich (8, 28)",.4884,L
27,28.,"Manny Machado (9, 27)",.4880,R
28,29.,"Francisco Lindor (6, 26)",.4876,B
29,30.,"Anthony Rizzo (10, 30)",.4852,L
30,31.,"Matt Kemp (15, 35)",.4841,R
31,32.,"Andrew McCutchen (12, 33)",.4781,R
32,33.,"Ryan Zimmerman (15, 35)",.4749,R
33,34.,"Justin Upton (14, 32)",.4744,R
34,35.,"AJ Pollock (9, 32)",.4743,R
35,36.,"Evan Longoria (13, 34)",.4726,R
36,36.,"Eugenio Suarez (7, 28)",.4726,R
37,38.,"Nicholas Castellanos (8, 28)",.4721,R
38,39.,"Justin Turner (12, 35)",.4695,R
39,40.,"Jay Bruce (13, 33)",.4688,L
40,41.,"Marcell Ozuna (8, 29)",.4660,R
41,42.,"Chris Davis (13, 34)",.4586,L
42,43.,"Jose Altuve (10, 30)",.4584,R
43,44.,"Matt Carpenter (10, 34)",.4571,L
44,45.,"Buster Posey (11, 33)",.4564,R
45,46.,"Daniel Murphy (12, 35)",.4550,L
46,47.,"Xander Bogaerts (8, 27)",.4538,R
47,48.,"Brandon Belt (10, 32)",.4532,L
48,49.,"Starling Marte (9, 31)",.4503,R
49,50.,"Jonathan Schoop (8, 28)",.4501,R
50,51.,"Salvador Perez (9, 30)",.4494,R
51,52.,"Todd Frazier (10, 34)",.4478,R
52,53.,"Mitch Moreland (11, 34)",.4477,L
53,54.,"Wil Myers (8, 29)",.4473,R
54,55.,"Shin-Soo Choo (16, 37)",.4472,L
55,56.,"Carlos Santana (11, 34)",.4459,B
56,57.,"Yasmani Grandal (9, 31)",.4448,B
57,58.,"Pablo Sandoval (13, 33)",.4447,B
58,59.,"Kyle Seager (10, 32)",.4425,L
59,60.,"Mike Moustakas (10, 31)",.4423,L
60,61.,"Brian Dozier (9, 33)",.4411,R
61,62.,"Michael Brantley (12, 33)",.4400,L
62,63.,"Dustin Pedroia (14, 36)",.4392,R
63,64.,"Jorge Cantu (8, 38)",.4386,R
64,64.,"Rougned Odor (7, 26)",.4386,L
65,66.,"Eric Hosmer (10, 30)",.4346,L
66,67.,"Wilson Ramos (11, 32)",.4337,R
67,68.,"Didi Gregorius (9, 30)",.4331,L
68,69.,"Eduardo Escobar (10, 31)",.4302,B
69,69.,"DJ LeMahieu (10, 31)",.4302,R
70,71.,"Kole Calhoun (9, 32)",.4295,L
71,72.,"Josh Reddick (12, 33)",.4285,L
72,73.,"Matthew Joyce (13, 35)",.4283,L
73,74.,"Ian Desmond (11, 34)",.4274,R
74,75.,"Neil Walker (12, 34)",.4261,B
75,76.,"Asdrubal Cabrera (14, 34)",.4257,B
76,77.,"Logan Morrison (11, 32)",.4254,L
77,78.,"Marcus Semien (8, 29)",.4253,R
78,79.,"Nick Markakis (15, 36)",.4232,L
79,80.,"Avisail Garcia (9, 29)",.4218,R
80,81.,"Justin Smoak (11, 33)",.4187,B
81,82.,"Dexter Fowler (13, 34)",.4181,B
82,83.,"Jonathan Lucroy (11, 34)",.4164,R
83,84.,"Jason Kipnis (10, 33)",.4162,L
84,85.,"Adam Eaton (9, 31)",.4157,L
85,86.,"Starlin Castro (11, 30)",.4144,R
86,87.,"Jason Heyward (11, 30)",.4137,L
87,88.,"Lorenzo Cain (11, 34)",.4133,R
88,89.,"Jed Lowrie (12, 36)",.4129,B
89,90.,"Marwin Gonzalez (9, 31)",.4126,B
90,91.,"Jackie Bradley Jr. (8, 30)",.4119,L
91,92.,"Alex Gordon (14, 36)",.4103,L
92,93.,"Matt Wieters (12, 34)",.4091,B
93,94.,"Kevin Pillar (8, 31)",.4083,R
94,95.,"Jean Segura (9, 30)",.4070,R
95,96.,"Chris Iannetta (14, 37)",.4058,R
96,97.,"Yadier Molina (17, 37)",.4042,R
97,98.,"Eduardo Nunez (11, 33)",.4038,R
98,99.,"Yonder Alonso (10, 33)",.4036,L
99,100.,"Josh Harrison (10, 32)",.4016,R
