,Rank,"Player (yrs, age)",Shutouts,Throws
0,1.,"Clayton Kershaw (13, 32)",15,L
1,2.,"Bartolo Colon (21, 47)",13,R
2,3.,"Felix Hernandez (15, 34)",11,R
3,4.,"Adam Wainwright (15, 38)",10,R
4,5.,"Justin Verlander (16, 37)",9,R
5,6.,"Johnny Cueto (13, 34)",8,R
6,6.,"Derek Holland (12, 33)",8,L
7,8.,"Cole Hamels (15, 36)",7,L
8,8.,"Corey Kluber (10, 34)",7,R
9,8.,"Anibal Sanchez (15, 36)",7,R
10,11.,"Madison Bumgarner (12, 30)",6,L
11,12.,"Henderson Alvarez III (6, 30)",5,R
12,12.,"Jake Arrieta (11, 34)",5,R
13,12.,"Zack Greinke (17, 36)",5,R
14,12.,"Shelby Miller (8, 29)",5,R
15,12.,"Max Scherzer (13, 35)",5,R
16,17.,"Homer Bailey (14, 34)",4,R
17,17.,"Carlos Carrasco (11, 33)",4,R
18,17.,"Sonny Gray (8, 30)",4,R
19,17.,"Kyle Hendricks (7, 30)",4,R
20,17.,"Dallas Keuchel (9, 32)",4,L
21,17.,"Jon Lester (15, 36)",4,L
22,17.,"Brandon Morrow (12, 35)",4,R
23,17.,"Jeff Samardzija (13, 35)",4,R
24,17.,"Masahiro Tanaka (7, 31)",4,R
25,17.,"Jordan Zimmermann (12, 34)",4,R
26,27.,"Chris Archer (8, 31)",3,R
27,27.,"Trevor Bauer (9, 29)",3,R
28,27.,"Zach Eflin (5, 26)",3,R
29,27.,"Lucas Giolito (5, 25)",3,R
30,27.,"J.A. Happ (14, 37)",3,L
31,27.,"Edwin Jackson (17, 36)",3,R
32,27.,"Ivan Nova (11, 33)",3,R
33,27.,"Rick Porcello (12, 31)",3,R
34,27.,"David Price (12, 34)",3,L
35,27.,"Chris Sale (10, 31)",3,L
36,27.,"Julio Teheran (10, 29)",3,R
37,38.,"Sandy Alcantara (4, 24)",2,R
38,38.,"Shane Bieber (3, 25)",2,R
39,38.,"Trevor Cahill (12, 32)",2,R
40,38.,"Mike Clevinger (5, 29)",2,R
41,38.,"Gerrit Cole (8, 29)",2,R
42,38.,"Patrick Corbin (8, 30)",2,L
43,38.,"Mike Fiers (10, 35)",2,R
44,38.,"Gio Gonzalez (13, 34)",2,L
45,38.,"Rich Hill (16, 40)",2,L
46,38.,"Mike Leake (10, 32)",2,R
47,38.,"Carlos Martinez (8, 28)",2,R
48,38.,"Daniel Mengden (5, 27)",2,R
49,38.,"Miles Mikolas (5, 31)",2,R
50,38.,"Mike Minor (9, 32)",2,L
51,38.,"Mike Montgomery (6, 30)",2,L
52,38.,"Charlie Morton (13, 36)",2,R
53,38.,"Martin Perez (9, 29)",2,L
54,38.,"Oliver Perez (18, 38)",2,L
55,38.,"Jose Quintana (9, 31)",2,L
56,38.,"Garrett Richards (10, 32)",2,R
57,38.,"Hyun Jin Ryu (7, 33)",2,L
58,38.,"Stephen Strasburg (11, 31)",2,R
59,38.,"Noah Syndergaard (5, 27)",2,R
60,38.,"Edinson Volquez (15, 36)",2,R
61,62.,"Brett Anderson (12, 32)",1,L
62,62.,"Matt Andriese (6, 30)",1,R
63,62.,"Jose Berrios (5, 26)",1,R
64,62.,"Matthew Boyd (6, 29)",1,L
65,62.,"Dylan Bundy (6, 27)",1,R
66,62.,"Brett Cecil (10, 33)",1,L
67,62.,"Jhoulys Chacin (12, 32)",1,R
68,62.,"Tyler Chatwood (9, 30)",1,R
69,62.,"Alex Cobb (9, 32)",1,R
70,62.,"Yu Darvish (8, 33)",1,R
71,62.,"Wade Davis (12, 34)",1,R
72,62.,"Jacob deGrom (7, 32)",1,R
73,62.,"Anthony DeSclafani (6, 30)",1,R
74,62.,"Roenis Elias (6, 31)",1,L
75,62.,"Mike Foltynewicz (7, 28)",1,R
76,62.,"Michael Fulmer (4, 27)",1,R
77,62.,"Kyle Gibson (8, 32)",1,R
78,62.,"Chi Chi Gonzalez (4, 28)",1,R
79,62.,"Kendall Graveman (6, 29)",1,R
80,62.,"Jon Gray (6, 28)",1,R
81,62.,"Jesse Hahn (6, 30)",1,R
82,62.,"Matt Harvey (8, 31)",1,R
83,62.,"Andrew Heaney (7, 29)",1,L
84,62.,"Jair Jurrjens (8, 34)",1,R
85,62.,"Brad Keller (3, 24)",1,R
86,62.,"Ian Kennedy (14, 35)",1,R
87,62.,"Yusei Kikuchi (2, 29)",1,L
88,62.,"Francisco Liriano (14, 36)",1,L
89,62.,"Jordan Lyles (10, 29)",1,R
90,62.,"Lance Lynn (9, 33)",1,R
91,62.,"Sean Manaea (5, 28)",1,L
92,62.,"German Marquez (5, 25)",1,R
93,62.,"Tyler Matzek (3, 29)",1,L
94,62.,"Steven Matz (6, 29)",1,L
95,62.,"Wade Miley (10, 33)",1,L
96,62.,"Alec Mills (4, 28)",1,R
97,62.,"Sergio Mitre (8, 39)",1,R
98,62.,"Aaron Nola (6, 27)",1,R
99,62.,"James Paxton (8, 31)",1,L
100,62.,"Yusmeiro Petit (13, 35)",1,R
101,62.,"Zach Plesac (2, 25)",1,R
102,62.,"Horacio Ramirez (8, 40)",1,L
103,62.,"Robbie Ray (7, 28)",1,L
104,62.,"Tanner Roark (8, 33)",1,R
105,62.,"Tyson Ross (10, 33)",1,R
106,62.,"Chris Rusin (9, 33)",1,L
107,62.,"Jonathan Sanchez (8, 37)",1,L
108,62.,"Luis Severino (5, 26)",1,R
109,62.,"Matt Shoemaker (8, 33)",1,R
110,62.,"Drew Smyly (7, 31)",1,L
111,62.,"Glenn Sparkman (4, 28)",1,R
112,62.,"Chris Stratton (5, 29)",1,R
113,62.,"Marcus Stroman (6, 29)",1,R
114,62.,"Jameson Taillon (4, 28)",1,R
115,62.,"Josh Tomlin (11, 35)",1,R
116,62.,"Vince Velasquez (6, 28)",1,R
117,62.,"Michael Wacha (8, 28)",1,R
118,62.,"Taijuan Walker (8, 27)",1,R
119,62.,"Zack Wheeler (6, 30)",1,R
120,62.,"Trevor Williams (5, 28)",1,R
