,Rank,"Player (yrs, age)",Offensive Win %,Bats
0,1.,"Mike Trout (10, 28)",.795,R
1,2.,"Joey Votto (14, 36)",.746,L
2,3.,"Paul Goldschmidt (10, 32)",.717,R
3,4.,"Bryce Harper (9, 27)",.703,L
4,5.,"Mookie Betts (7, 27)",.701,R
5,6.,"Freddie Freeman (11, 30)",.700,L
6,7.,"Miguel Cabrera (18, 37)",.697,R
7,8.,"Kris Bryant (6, 28)",.693,R
8,9.,"Giancarlo Stanton (11, 30)",.686,R
9,9.,"Christian Yelich (8, 28)",.686,L
10,11.,"Albert Pujols (20, 40)",.683,R
11,12.,"Anthony Rendon (8, 30)",.675,R
12,13.,"Charlie Blackmon (10, 33)",.674,L
13,14.,"Andrew McCutchen (12, 33)",.671,R
14,15.,"Josh Donaldson (10, 34)",.669,R
15,16.,"Ryan Braun (14, 36)",.667,R
16,17.,"Anthony Rizzo (10, 30)",.658,L
17,18.,"Matt Carpenter (10, 34)",.656,L
18,19.,"Nolan Arenado (8, 29)",.654,R
19,20.,"J.D. Martinez (10, 32)",.653,R
20,21.,"Jose Ramirez (8, 27)",.645,B
21,22.,"Justin Turner (12, 35)",.643,R
22,23.,"Nelson Cruz (16, 39)",.641,R
23,24.,"Carlos Gonzalez (12, 34)",.636,L
24,25.,"Shin-Soo Choo (16, 37)",.634,L
25,25.,"George Springer (7, 30)",.634,R
26,27.,"José Abreu (7, 33)",.631,R
27,28.,"Buster Posey (11, 33)",.628,R
28,29.,"Brandon Belt (10, 32)",.624,L
29,30.,"Jose Altuve (10, 30)",.612,R
30,30.,"Edwin Encarnacion (16, 37)",.612,R
31,32.,"Justin Upton (14, 32)",.604,R
32,33.,"Carlos Santana (11, 34)",.603,B
33,34.,"Francisco Lindor (6, 26)",.602,B
34,35.,"Robinson Cano (16, 37)",.599,L
35,36.,"Xander Bogaerts (8, 27)",.598,R
36,36.,"Yoenis Céspedes (8, 34)",.598,R
37,36.,"AJ Pollock (9, 32)",.598,R
38,39.,"Dustin Pedroia (14, 36)",.596,R
39,40.,"Michael Brantley (12, 33)",.592,L
40,40.,"Corey Dickerson (8, 31)",.592,L
41,42.,"Adam Eaton (9, 31)",.590,L
42,43.,"Daniel Murphy (12, 35)",.588,L
43,44.,"Dexter Fowler (13, 34)",.587,B
44,45.,"Matt Kemp (15, 35)",.586,R
45,46.,"Eugenio Suarez (7, 28)",.581,R
46,47.,"Starling Marte (9, 31)",.580,R
47,47.,"Ryan Zimmerman (15, 35)",.580,R
48,49.,"Marcell Ozuna (8, 29)",.579,R
49,50.,"Manny Machado (9, 27)",.575,R
50,51.,"DJ LeMahieu (10, 31)",.574,R
51,52.,"Yasmani Grandal (9, 31)",.567,B
52,53.,"Evan Longoria (13, 34)",.562,R
53,53.,"Nick Markakis (15, 36)",.562,L
54,55.,"Jason Heyward (11, 30)",.560,L
55,56.,"Nicholas Castellanos (8, 28)",.558,R
56,57.,"Lorenzo Cain (11, 34)",.552,R
57,58.,"Neil Walker (12, 34)",.551,B
58,59.,"Matthew Joyce (13, 35)",.550,L
59,60.,"Khris Davis (8, 32)",.549,R
60,61.,"Chris Davis (13, 34)",.548,L
61,62.,"Jay Bruce (13, 33)",.544,L
62,62.,"Brett Gardner (13, 36)",.544,L
63,64.,"Eric Hosmer (10, 30)",.543,L
64,65.,"Wil Myers (8, 29)",.539,R
65,66.,"Pablo Sandoval (13, 33)",.538,B
66,67.,"Jason Kipnis (10, 33)",.537,L
67,68.,"Brian Dozier (9, 33)",.533,R
68,68.,"Kyle Seager (10, 32)",.533,L
69,70.,"Jed Lowrie (12, 36)",.532,B
70,71.,"Cesar Hernandez (8, 30)",.530,B
71,72.,"Alex Gordon (14, 36)",.527,L
72,72.,"Chris Iannetta (14, 37)",.527,R
73,74.,"Todd Frazier (10, 34)",.526,R
74,75.,"Jonathan Lucroy (11, 34)",.525,R
75,76.,"Josh Reddick (12, 33)",.524,L
76,77.,"Logan Morrison (11, 32)",.523,L
77,78.,"Mitch Moreland (11, 34)",.522,L
78,79.,"Alex Avila (12, 33)",.520,L
79,80.,"Didi Gregorius (9, 30)",.519,L
80,81.,"Kole Calhoun (9, 32)",.516,L
81,82.,"Ender Inciarte (7, 29)",.514,L
82,83.,"Marcus Semien (8, 29)",.510,R
83,84.,"Asdrubal Cabrera (14, 34)",.509,B
84,85.,"Jon Jay (11, 35)",.507,L
85,86.,"Yonder Alonso (10, 33)",.506,L
86,86.,"Jean Segura (9, 30)",.506,R
87,88.,"Kolten Wong (8, 29)",.505,L
88,89.,"Jackie Bradley Jr. (8, 30)",.503,L
89,90.,"Ian Desmond (11, 34)",.500,R
90,91.,"Mike Moustakas (10, 31)",.499,L
91,91.,"Jonathan Villar (8, 29)",.499,B
92,93.,"Eduardo Escobar (10, 31)",.493,B
93,94.,"Justin Smoak (11, 33)",.491,B
94,95.,"Wilson Ramos (11, 32)",.489,R
95,96.,"Avisail Garcia (9, 29)",.488,R
96,96.,"Josh Harrison (10, 32)",.488,R
97,98.,"Starlin Castro (11, 30)",.481,R
98,99.,"Yadier Molina (17, 37)",.477,R
99,100.,"Jorge Cantu (8, 38)",.474,R
