,Rank,"Player (yrs, age)",Range Factor/9Inn as 3B,Throws
0,1.,"Nolan Arenado (8, 29)",3.077,R
1,2.,"Manny Machado (9, 27)",2.838,R
2,3.,"Kyle Seager (10, 32)",2.791,R
3,4.,"Josh Donaldson (10, 34)",2.765,R
4,5.,"Ryan Zimmerman (15, 35)",2.751,R
5,6.,"Mike Moustakas (10, 31)",2.678,R
6,7.,"Evan Longoria (13, 34)",2.628,R
7,8.,"Todd Frazier (10, 34)",2.543,R
8,9.,"Edwin Encarnacion (16, 37)",2.536,R
9,10.,"Eugenio Suarez (7, 28)",2.505,R
10,11.,"Jake Lamb (7, 29)",2.496,R
11,12.,"Justin Turner (12, 35)",2.485,R
12,13.,"Pablo Sandoval (13, 33)",2.481,R
13,14.,"Kris Bryant (6, 28)",2.463,R
14,15.,"Anthony Rendon (8, 30)",2.449,R
15,16.,"Matt Carpenter (10, 34)",2.440,R
16,17.,"Miguel Cabrera (18, 37)",2.424,R
17,18.,"Jose Ramirez (8, 27)",2.397,R
18,19.,"Maikel Franco (7, 27)",2.390,R
19,20.,"Nicholas Castellanos (8, 28)",2.366,R
20,21.,"Eduardo Escobar (10, 31)",2.318,R
