,Rank,"Player (yrs, age)",Triples,Bats
0,1.,"Dexter Fowler (13, 34)",82,B
1,2.,"Brett Gardner (13, 36)",69,L
2,3.,"Dee Strange-Gordon (10, 32)",54,L
3,4.,"Ryan Braun (14, 36)",49,R
4,5.,"Elvis Andrus (12, 31)",48,R
5,5.,"Charlie Blackmon (10, 33)",48,L
6,5.,"Andrew McCutchen (12, 33)",48,R
7,5.,"Mike Trout (10, 28)",48,R
8,9.,"Erick Aybar (12, 36)",46,B
9,10.,"Adam Eaton (9, 31)",44,L
10,10.,"Kevin Kiermaier (8, 30)",44,L
11,12.,"Starling Marte (9, 31)",43,R
12,13.,"Jean Segura (9, 30)",42,R
13,14.,"Starlin Castro (11, 30)",40,R
14,14.,"Carlos Gonzalez (12, 34)",40,L
15,16.,"Brandon Crawford (10, 33)",38,L
16,16.,"Justin Upton (14, 32)",38,R
17,18.,"Ian Desmond (11, 34)",37,R
18,18.,"Matt Kemp (15, 35)",37,R
19,20.,"Jarrod Dyson (11, 35)",36,L
20,20.,"Billy Hamilton (8, 29)",36,B
21,20.,"Adeiny Hechavarria (9, 31)",36,R
22,20.,"Jason Heyward (11, 30)",36,L
23,20.,"David Peralta (7, 32)",36,L
24,25.,"DJ LeMahieu (10, 31)",35,R
25,26.,"Nicholas Castellanos (8, 28)",34,R
26,26.,"Cameron Maybin (14, 33)",34,R
27,28.,"Brandon Belt (10, 32)",33,L
28,28.,"Emilio Bonifacio (12, 35)",33,B
29,28.,"Robinson Cano (16, 37)",33,L
30,28.,"Josh Reddick (12, 33)",33,L
31,32.,"Jay Bruce (13, 33)",32,L
32,32.,"Eduardo Escobar (10, 31)",32,B
33,34.,"Corey Dickerson (8, 31)",30,L
34,34.,"AJ Pollock (9, 32)",30,R
35,36.,"Shin-Soo Choo (16, 37)",29,L
36,36.,"Ketel Marte (6, 26)",29,B
37,36.,"Daniel Murphy (12, 35)",29,L
38,36.,"Trea Turner (6, 27)",29,R
39,40.,"Jose Altuve (10, 30)",28,R
40,40.,"Asdrubal Cabrera (14, 34)",28,B
41,40.,"Josh Harrison (10, 32)",28,R
42,40.,"Ender Inciarte (7, 29)",28,L
43,44.,"Nolan Arenado (8, 29)",27,R
44,44.,"Mookie Betts (7, 27)",27,R
45,44.,"Matt Carpenter (10, 34)",27,L
46,44.,"Cesar Hernandez (8, 30)",27,B
47,44.,"Brad Miller (8, 30)",27,L
48,44.,"Mallex Smith (5, 27)",27,L
49,50.,"Freddy Galvis (9, 30)",26,B
50,50.,"Alex Gordon (14, 36)",26,L
51,50.,"Evan Longoria (13, 34)",26,R
52,50.,"Rougned Odor (7, 26)",26,L
53,54.,"Daniel Descalso (10, 33)",25,L
54,54.,"Jon Jay (11, 35)",25,L
55,54.,"Kolten Wong (8, 29)",25,L
56,54.,"Christian Yelich (8, 28)",25,L
57,58.,"Lorenzo Cain (11, 34)",24,R
58,58.,"Yoenis Céspedes (8, 34)",24,R
59,58.,"Zack Cozart (9, 34)",24,R
60,58.,"Jason Kipnis (10, 33)",24,L
61,58.,"Jonathan Lucroy (11, 34)",24,R
62,58.,"Chris Owings (8, 28)",24,R
63,58.,"Yolmer Sanchez (7, 28)",24,B
64,65.,"Jackie Bradley Jr. (8, 30)",23,L
65,65.,"Freddie Freeman (11, 30)",23,L
66,65.,"Jose Ramirez (8, 27)",23,B
67,65.,"Andrelton Simmons (9, 30)",23,R
68,69.,"Nick Markakis (15, 36)",22,L
69,69.,"Whit Merrifield (5, 31)",22,R
70,69.,"Eddie Rosario (6, 28)",22,L
71,69.,"Danny Santana (7, 29)",22,B
72,69.,"Marcus Semien (8, 29)",22,R
73,69.,"Trevor Story (5, 27)",22,R
74,69.,"Chris Taylor (7, 29)",22,R
75,69.,"Neil Walker (12, 34)",22,B
76,69.,"Ryan Zimmerman (15, 35)",22,R
77,78.,"Michael Brantley (12, 33)",21,L
78,78.,"Derek Dietrich (8, 30)",21,L
79,78.,"Brian Dozier (9, 33)",21,R
80,78.,"Didi Gregorius (9, 30)",21,L
81,78.,"Bryce Harper (9, 27)",21,L
82,78.,"Jake Lamb (7, 29)",21,L
83,78.,"Logan Morrison (11, 32)",21,L
84,78.,"Pablo Sandoval (13, 33)",21,B
85,86.,"Nick Ahmed (7, 30)",20,R
86,86.,"Paul Goldschmidt (10, 32)",20,R
87,86.,"Randal Grichuk (7, 28)",20,R
88,86.,"Eric Hosmer (10, 30)",20,L
89,86.,"Marcell Ozuna (8, 29)",20,R
90,86.,"Amed Rosario (4, 24)",20,R
91,86.,"Joey Votto (14, 36)",20,L
92,93.,"Delino DeShields (6, 27)",19,R
93,93.,"Anthony Gose (5, 29)",19,L
94,93.,"Juan Lagares (8, 31)",19,R
95,93.,"Manuel Margot (5, 25)",19,R
96,93.,"Adalberto Mondesi (6, 24)",19,B
97,93.,"Eduardo Nunez (11, 33)",19,R
98,93.,"Joe Panik (7, 29)",19,L
99,93.,"J.T. Realmuto (7, 29)",19,R
