,Rank,"Player (yrs, age)",Putouts as LF (s.1901),Throws
0,1.,"Alex Gordon (14, 36)",2699,R
1,2.,"Ryan Braun (14, 36)",2151,R
2,3.,"Brett Gardner (13, 36)",1699,L
3,4.,"Justin Upton (14, 32)",1696,R
4,5.,"Michael Brantley (12, 33)",1302,L
5,6.,"Yoenis Céspedes (8, 34)",1078,R
6,7.,"Corey Dickerson (8, 31)",1031,R
7,8.,"Eddie Rosario (6, 28)",977,R
8,9.,"Christian Yelich (8, 28)",907,R
9,10.,"Khris Davis (8, 32)",861,R
10,11.,"Adam Duvall (7, 31)",840,R
11,12.,"Starling Marte (9, 31)",839,R
12,13.,"Marcell Ozuna (8, 29)",835,R
13,14.,"David Peralta (7, 32)",825,L
14,15.,"Carlos Gonzalez (12, 34)",720,L
15,16.,"Robbie Grossman (8, 30)",686,L
16,17.,"Matthew Joyce (13, 35)",644,R
17,18.,"Kyle Schwarber (6, 27)",642,R
18,19.,"Andrew Benintendi (5, 25)",630,L
19,20.,"Juan Soto (3, 21)",536,L
20,21.,"J.D. Martinez (10, 32)",516,R
21,22.,"Matt Kemp (15, 35)",450,R
22,23.,"Albert Pujols (20, 40)",443,R
23,24.,"Michael Conforto (6, 27)",441,R
24,25.,"Tommy Pham (7, 32)",419,R
25,26.,"Logan Morrison (11, 32)",414,L
26,27.,"Miguel Cabrera (18, 37)",379,R
27,28.,"Shin-Soo Choo (16, 37)",357,L
28,29.,"Trey Mancini (4, 28)",347,R
29,30.,"Felix Pie (6, 35)",329,L
30,31.,"Bryce Harper (9, 27)",311,R
31,32.,"Ben Gamel (5, 28)",286,L
32,33.,"Rhys Hoskins (4, 27)",279,R
33,34.,"Cameron Maybin (14, 33)",266,R
34,35.,"Teoscar Hernandez (5, 27)",260,R
35,36.,"Eloy Jimenez (2, 23)",258,R
36,37.,"Mark Canha (6, 31)",256,R
37,38.,"Joc Pederson (7, 28)",245,L
38,39.,"Joey Gallo (6, 26)",242,R
39,40.,"Derek Dietrich (8, 30)",236,R
