,Rank,"Player (yrs, age)",Batters Faced,Throws
0,1.,"Bartolo Colon (21, 47)",14655,R
1,2.,"Justin Verlander (16, 37)",12214,R
2,3.,"Zack Greinke (17, 36)",12002,R
3,4.,"Felix Hernandez (15, 34)",11284,R
4,5.,"Cole Hamels (15, 36)",11115,L
5,6.,"Jon Lester (15, 36)",10860,L
6,7.,"Max Scherzer (13, 35)",9573,R
7,8.,"Clayton Kershaw (13, 32)",9179,L
8,9.,"Adam Wainwright (15, 38)",9001,R
9,10.,"Rick Porcello (12, 31)",8912,R
10,11.,"Edwin Jackson (17, 36)",8569,R
11,12.,"Anibal Sanchez (15, 36)",8315,R
12,13.,"David Price (12, 34)",8314,L
13,14.,"Gio Gonzalez (13, 34)",8242,L
14,15.,"Johnny Cueto (13, 34)",7964,R
15,16.,"Francisco Liriano (14, 36)",7781,L
16,17.,"Madison Bumgarner (12, 30)",7697,L
17,18.,"Mike Leake (10, 32)",7693,R
18,19.,"Ian Kennedy (14, 35)",7565,R
19,20.,"J.A. Happ (14, 37)",7377,L
20,21.,"Jeff Samardzija (13, 35)",6891,R
21,22.,"Edinson Volquez (15, 36)",6797,R
22,23.,"Jordan Zimmermann (12, 34)",6740,R
23,24.,"Chris Sale (10, 31)",6544,L
24,25.,"Oliver Perez (18, 38)",6422,L
25,26.,"Trevor Cahill (12, 32)",6294,R
26,27.,"Jake Arrieta (11, 34)",6286,R
27,28.,"Jose Quintana (9, 31)",6244,L
28,29.,"Charlie Morton (13, 36)",6200,R
29,30.,"Wade Miley (10, 33)",6095,L
30,31.,"Derek Holland (12, 33)",6090,L
31,32.,"Lance Lynn (9, 33)",6048,R
32,33.,"Homer Bailey (14, 34)",6039,R
33,34.,"Stephen Strasburg (11, 31)",5844,R
34,35.,"Julio Teheran (10, 29)",5809,R
35,36.,"Ivan Nova (11, 33)",5778,R
36,37.,"Dallas Keuchel (9, 32)",5681,L
37,38.,"Jhoulys Chacin (12, 32)",5658,R
38,39.,"Corey Kluber (10, 34)",5401,R
39,40.,"Chris Archer (8, 31)",5203,R
40,41.,"Gerrit Cole (8, 29)",5131,R
41,42.,"Patrick Corbin (8, 30)",5128,L
42,43.,"Carlos Carrasco (11, 33)",5115,R
43,44.,"Trevor Bauer (9, 29)",5031,R
44,45.,"Kyle Gibson (8, 32)",4995,R
45,46.,"Mike Fiers (10, 35)",4807,R
46,47.,"Tanner Roark (8, 33)",4802,R
47,48.,"Mike Minor (9, 32)",4780,L
48,49.,"Danny Duffy (10, 31)",4722,L
49,50.,"Sonny Gray (8, 30)",4711,R
50,51.,"Jacob deGrom (7, 32)",4654,R
51,52.,"Yu Darvish (8, 33)",4652,R
52,53.,"Wei-Yin Chen (8, 34)",4485,L
53,54.,"Brett Anderson (12, 32)",4419,L
54,55.,"Jake Odorizzi (9, 30)",4381,R
55,56.,"Martin Perez (9, 29)",4314,L
56,57.,"Masahiro Tanaka (7, 31)",4299,R
57,58.,"Jordan Lyles (10, 29)",4276,R
58,59.,"Josh Tomlin (11, 35)",4235,R
59,60.,"Kyle Hendricks (7, 30)",4232,R
60,61.,"Kevin Gausman (8, 29)",4192,R
61,62.,"Nathan Eovaldi (9, 30)",4131,R
62,63.,"Rich Hill (16, 40)",4092,L
63,64.,"Hector Santiago (9, 32)",4019,L
64,65.,"Wade Davis (12, 34)",4009,R
65,66.,"Jesse Chavez (13, 36)",4002,R
66,67.,"Tommy Milone (10, 33)",3914,L
67,68.,"Tyson Ross (10, 33)",3855,R
68,69.,"Michael Wacha (8, 28)",3849,R
69,70.,"Alex Cobb (9, 32)",3845,R
70,71.,"Wade LeBlanc (12, 35)",3758,L
71,72.,"Carlos Martinez (8, 28)",3757,R
72,73.,"Chase Anderson (7, 32)",3732,R
73,74.,"Tyler Chatwood (9, 30)",3700,R
74,75.,"Brandon Morrow (12, 35)",3653,R
75,76.,"Robbie Ray (7, 28)",3646,L
76,77.,"Tommy Hunter (13, 33)",3597,R
77,78.,"Drew Pomeranz (10, 31)",3566,L
78,79.,"Marcus Stroman (6, 29)",3549,R
79,80.,"Alex Wood (8, 29)",3546,L
80,81.,"Michael Pineda (7, 31)",3531,R
81,82.,"Matt Harvey (8, 31)",3517,R
82,83.,"Jonathan Sanchez (8, 37)",3486,L
83,84.,"Zack Wheeler (6, 30)",3471,R
84,85.,"Aaron Nola (6, 27)",3466,R
85,86.,"Andrew Miller (15, 35)",3455,L
86,87.,"Tyler Clippard (14, 35)",3436,R
87,88.,"Yusmeiro Petit (13, 35)",3386,R
88,89.,"Garrett Richards (10, 32)",3377,R
89,90.,"Collin McHugh (8, 33)",3369,R
90,91.,"Hyun Jin Ryu (7, 33)",3301,L
91,92.,"Shelby Miller (8, 29)",3258,R
92,93.,"Jair Jurrjens (8, 34)",3254,R
93,94.,"Brett Cecil (10, 33)",3239,L
94,95.,"Craig Stammen (11, 36)",3168,R
95,96.,"Juan Nicasio (10, 33)",3143,R
96,97.,"James Paxton (8, 31)",3125,L
97,98.,"Matthew Boyd (6, 29)",3037,L
98,99.,"Daniel Hudson (11, 33)",3012,R
99,100.,"Horacio Ramirez (8, 40)",2995,L
