,Rank,"Player (yrs, age)",Range Factor/9Inn as LF (s.1948),Throws
0,1.,"Alex Gordon (14, 36)",2.130,R
1,2.,"Yoenis Céspedes (8, 34)",2.099,R
2,3.,"Corey Dickerson (8, 31)",1.997,R
3,4.,"Justin Upton (14, 32)",1.964,R
4,5.,"Brett Gardner (13, 36)",1.954,L
5,6.,"Eddie Rosario (6, 28)",1.892,R
6,7.,"Ryan Braun (14, 36)",1.891,R
7,8.,"Khris Davis (8, 32)",1.870,R
8,9.,"Christian Yelich (8, 28)",1.816,R
9,10.,"Michael Brantley (12, 33)",1.792,L
10,11.,"Starling Marte (9, 31)",1.616,R
