,Rank,"Player (yrs, age)",Errors Committed as 2B,Throws
0,1.,"Robinson Cano (16, 37)",124,R
1,2.,"Rougned Odor (7, 26)",95,R
2,3.,"Daniel Murphy (12, 35)",78,R
3,4.,"Jose Altuve (10, 30)",76,R
4,5.,"Jason Kipnis (10, 33)",72,R
5,6.,"Jonathan Schoop (8, 28)",68,R
6,7.,"Kolten Wong (8, 29)",67,R
7,8.,"Brian Dozier (9, 33)",60,R
8,9.,"Cesar Hernandez (8, 30)",59,R
9,10.,"Dee Strange-Gordon (10, 32)",58,R
10,11.,"Dustin Pedroia (14, 36)",57,R
11,12.,"Neil Walker (12, 34)",56,R
12,13.,"Starlin Castro (11, 30)",53,R
13,14.,"Gordon Beckham (11, 33)",52,R
14,15.,"Logan Forsythe (10, 33)",46,R
15,16.,"DJ LeMahieu (10, 31)",44,R
16,17.,"Joe Panik (7, 29)",36,R
17,18.,"Jonathan Villar (8, 29)",35,R
18,19.,"Whit Merrifield (5, 31)",31,R
19,20.,"Yoan Moncada (5, 25)",29,R
20,21.,"Emilio Bonifacio (12, 35)",28,R
21,21.,"Daniel Descalso (10, 33)",28,R
22,23.,"Jorge Cantu (8, 38)",27,R
23,23.,"Eric Sogard (10, 34)",27,R
24,25.,"Josh Harrison (10, 32)",26,R
25,25.,"Jace Peterson (7, 30)",26,R
26,27.,"Yolmer Sanchez (7, 28)",24,R
27,28.,"Adam Frazier (5, 28)",23,R
28,29.,"Javier Baez (7, 27)",22,R
29,29.,"Jedd Gyorko (8, 31)",22,R
30,29.,"Keston Hiura (2, 23)",22,R
31,32.,"Jurickson Profar (7, 27)",21,R
32,32.,"Gleyber Torres (3, 23)",21,R
33,34.,"Jed Lowrie (12, 36)",20,R
34,34.,"Ryan McMahon (4, 25)",20,R
35,34.,"Donovan Solano (7, 32)",20,R
36,37.,"Ozzie Albies (4, 23)",19,R
37,38.,"Matt Carpenter (10, 34)",17,R
38,38.,"Tommy La Stella (7, 31)",17,R
39,38.,"Brad Miller (8, 30)",17,R
