,Rank,"Player (yrs, age)",Losses,Throws
0,1.,"Bartolo Colon (21, 47)",188,R
1,2.,"Felix Hernandez (15, 34)",136,R
2,3.,"Edwin Jackson (17, 36)",133,R
3,4.,"Justin Verlander (16, 37)",129,R
4,5.,"Zack Greinke (17, 36)",126,R
5,6.,"Rick Porcello (12, 31)",125,R
6,7.,"Cole Hamels (15, 36)",122,L
7,8.,"Francisco Liriano (14, 36)",114,L
8,9.,"Anibal Sanchez (15, 36)",113,R
9,10.,"Jon Lester (15, 36)",111,L
10,11.,"Jeff Samardzija (13, 35)",106,R
11,12.,"Ian Kennedy (14, 35)",105,R
12,13.,"Gio Gonzalez (13, 34)",101,L
13,14.,"Mike Leake (10, 32)",98,R
14,14.,"Adam Wainwright (15, 38)",98,R
15,16.,"Madison Bumgarner (12, 30)",96,L
16,17.,"Trevor Cahill (12, 32)",94,R
17,18.,"Max Scherzer (13, 35)",93,R
18,19.,"J.A. Happ (14, 37)",92,L
19,19.,"Oliver Perez (18, 38)",92,L
20,21.,"Jordan Zimmermann (12, 34)",91,R
21,22.,"Johnny Cueto (13, 34)",90,R
22,23.,"Charlie Morton (13, 36)",89,R
23,23.,"Edinson Volquez (15, 36)",89,R
24,25.,"Jhoulys Chacin (12, 32)",87,R
25,26.,"Homer Bailey (14, 34)",86,R
26,27.,"Wade Miley (10, 33)",85,L
27,28.,"Derek Holland (12, 33)",81,L
28,29.,"Chris Archer (8, 31)",80,R
29,29.,"David Price (12, 34)",80,L
30,31.,"Jake Arrieta (11, 34)",79,R
31,32.,"Ivan Nova (11, 33)",77,R
32,32.,"Jose Quintana (9, 31)",77,L
33,32.,"Julio Teheran (10, 29)",77,R
34,35.,"Clayton Kershaw (13, 32)",76,L
35,36.,"Kyle Gibson (8, 32)",74,R
36,37.,"Carlos Carrasco (11, 33)",73,R
37,37.,"Dallas Keuchel (9, 32)",73,L
38,37.,"Chris Sale (10, 31)",73,L
39,40.,"Lance Lynn (9, 33)",71,R
40,41.,"Tyson Ross (10, 33)",70,R
41,42.,"Patrick Corbin (8, 30)",68,L
42,43.,"Tanner Roark (8, 33)",67,R
43,44.,"Kevin Gausman (8, 29)",66,R
44,44.,"Jordan Lyles (10, 29)",66,R
45,44.,"Mike Minor (9, 32)",66,L
46,47.,"Brett Anderson (12, 32)",65,L
47,47.,"Danny Duffy (10, 31)",65,L
48,49.,"Trevor Bauer (9, 29)",64,R
49,50.,"Sonny Gray (8, 30)",63,R
50,51.,"Mike Fiers (10, 35)",62,R
51,52.,"Martin Perez (9, 29)",61,L
52,53.,"Stephen Strasburg (11, 31)",59,R
53,54.,"Jesse Chavez (13, 36)",58,R
54,54.,"Corey Kluber (10, 34)",58,R
55,54.,"Drew Pomeranz (10, 31)",58,L
56,54.,"Jonathan Sanchez (8, 37)",58,L
57,58.,"Tyler Chatwood (9, 30)",57,R
58,58.,"Alex Cobb (9, 32)",57,R
59,60.,"Yu Darvish (8, 33)",56,R
60,60.,"Nathan Eovaldi (9, 30)",56,R
61,60.,"Shelby Miller (8, 29)",56,R
62,60.,"Jake Odorizzi (9, 30)",56,R
63,60.,"Josh Tomlin (11, 35)",56,R
64,65.,"Gerrit Cole (8, 29)",55,R
65,65.,"Andrew Miller (15, 35)",55,L
66,67.,"Matthew Boyd (6, 29)",54,L
67,68.,"Wade Davis (12, 34)",52,R
68,68.,"Matt Harvey (8, 31)",52,R
69,70.,"Wei-Yin Chen (8, 34)",51,L
70,70.,"Jacob deGrom (7, 32)",51,R
71,70.,"Tommy Milone (10, 33)",51,L
72,70.,"Robbie Ray (7, 28)",51,L
73,74.,"Hector Santiago (9, 32)",50,L
74,75.,"Dylan Bundy (6, 27)",48,R
75,75.,"Ross Detwiler (12, 34)",48,L
76,75.,"Kyle Hendricks (7, 30)",48,R
77,78.,"Brett Cecil (10, 33)",47,L
78,78.,"Tyler Clippard (14, 35)",47,R
79,78.,"David Hernandez (10, 35)",47,R
80,78.,"Wade LeBlanc (12, 35)",47,L
81,78.,"Marcus Stroman (6, 29)",47,R
82,83.,"Jimmy Nelson (6, 31)",46,R
83,83.,"Juan Nicasio (10, 33)",46,R
84,83.,"Michael Pineda (7, 31)",46,R
85,83.,"Masahiro Tanaka (7, 31)",46,R
86,83.,"Jose Urena (6, 28)",46,R
87,88.,"Tommy Hunter (13, 33)",45,R
88,89.,"Rich Hill (16, 40)",44,L
89,89.,"Alex Wood (8, 29)",44,L
90,91.,"Brad Hand (10, 30)",43,L
91,91.,"Carlos Martinez (8, 28)",43,R
92,91.,"Collin McHugh (8, 33)",43,R
93,91.,"Brandon Morrow (12, 35)",43,R
94,91.,"Michael Wacha (8, 28)",43,R
95,96.,"Chase Anderson (7, 32)",42,R
96,96.,"Mike Foltynewicz (7, 28)",42,R
97,98.,"Steven Matz (6, 29)",41,L
98,98.,"Manny Parra (8, 37)",41,L
99,98.,"Yusmeiro Petit (13, 35)",41,R
100,98.,"Garrett Richards (10, 32)",41,R
101,98.,"Joakim Soria (13, 36)",41,R
