,Rank,"Player (yrs, age)",Range Factor/Game as 3B,Throws
0,1.,"Nolan Arenado (8, 29)",2.950,R
1,2.,"Manny Machado (9, 27)",2.777,R
2,3.,"Kyle Seager (10, 32)",2.727,R
3,4.,"Josh Donaldson (10, 34)",2.686,R
4,5.,"Ryan Zimmerman (15, 35)",2.678,R
5,6.,"Evan Longoria (13, 34)",2.539,R
6,7.,"Mike Moustakas (10, 31)",2.523,R
7,8.,"Todd Frazier (10, 34)",2.408,R
8,9.,"Edwin Encarnacion (16, 37)",2.405,R
9,10.,"Eugenio Suarez (7, 28)",2.352,R
10,11.,"Jake Lamb (7, 29)",2.339,R
11,12.,"Anthony Rendon (8, 30)",2.337,R
12,13.,"Miguel Cabrera (18, 37)",2.283,R
13,13.,"Pablo Sandoval (13, 33)",2.283,R
14,15.,"Maikel Franco (7, 27)",2.279,R
15,16.,"Kris Bryant (6, 28)",2.265,R
16,17.,"Jose Ramirez (8, 27)",2.226,R
17,18.,"Nicholas Castellanos (8, 28)",2.195,R
18,19.,"Justin Turner (12, 35)",2.186,R
19,20.,"Matt Carpenter (10, 34)",2.173,R
20,21.,"Eduardo Escobar (10, 31)",2.064,R
