,Rank,"Player (yrs, age)",Def. Games as 2B,Throws
0,1.,"Robinson Cano (16, 37)",2158,R
1,2.,"Dustin Pedroia (14, 36)",1492,R
2,3.,"Jose Altuve (10, 30)",1252,R
3,4.,"Jason Kipnis (10, 33)",1086,R
4,5.,"Neil Walker (12, 34)",1050,R
5,6.,"Brian Dozier (9, 33)",1038,R
6,7.,"DJ LeMahieu (10, 31)",1004,R
7,8.,"Daniel Murphy (12, 35)",837,R
8,9.,"Rougned Odor (7, 26)",834,R
9,10.,"Jonathan Schoop (8, 28)",805,R
10,11.,"Kolten Wong (8, 29)",785,R
11,12.,"Cesar Hernandez (8, 30)",754,R
12,13.,"Gordon Beckham (11, 33)",751,R
13,14.,"Dee Strange-Gordon (10, 32)",728,R
14,15.,"Joe Panik (7, 29)",662,R
15,16.,"Logan Forsythe (10, 33)",649,R
16,17.,"Starlin Castro (11, 30)",580,R
17,18.,"Eric Sogard (10, 34)",488,R
18,19.,"Josh Harrison (10, 32)",443,R
19,20.,"Yolmer Sanchez (7, 28)",414,R
20,21.,"Jed Lowrie (12, 36)",412,R
21,22.,"Whit Merrifield (5, 31)",402,R
22,23.,"Ozzie Albies (4, 23)",401,R
23,24.,"Jedd Gyorko (8, 31)",390,R
24,25.,"Asdrubal Cabrera (14, 34)",365,R
25,26.,"Jonathan Villar (8, 29)",358,R
26,27.,"Daniel Descalso (10, 33)",345,R
27,28.,"Sean Rodriguez (13, 35)",341,R
28,29.,"Donovan Solano (7, 32)",318,R
29,30.,"Adam Frazier (5, 28)",297,R
30,31.,"Jace Peterson (7, 30)",286,R
31,32.,"Javier Baez (7, 27)",285,R
32,33.,"Ryan Goins (8, 32)",277,R
33,34.,"Ketel Marte (6, 26)",259,R
34,35.,"Derek Dietrich (8, 30)",253,R
35,36.,"Brock Holt (9, 32)",243,R
36,37.,"Tommy La Stella (7, 31)",226,R
37,38.,"Jorge Cantu (8, 38)",220,R
38,39.,"Emilio Bonifacio (12, 35)",213,R
39,40.,"Matt Carpenter (10, 34)",212,R
