,Rank,"Player (yrs, age)",Errors Committed as 1B,Throws
0,1.,"Albert Pujols (20, 40)",113,R
1,2.,"Joey Votto (14, 36)",97,R
2,3.,"Eric Hosmer (10, 30)",69,L
3,4.,"Miguel Cabrera (18, 37)",61,R
4,5.,"Freddie Freeman (11, 30)",60,R
5,6.,"José Abreu (7, 33)",56,R
6,7.,"Chris Davis (13, 34)",52,R
7,8.,"Anthony Rizzo (10, 30)",51,L
8,9.,"Brandon Belt (10, 32)",50,L
9,10.,"Carlos Santana (11, 34)",49,R
10,11.,"Yonder Alonso (10, 33)",48,R
11,12.,"Paul Goldschmidt (10, 32)",44,R
12,13.,"Justin Smoak (11, 33)",39,L
13,14.,"Matt Adams (9, 31)",37,R
14,15.,"Josh Bell (5, 27)",36,R
15,16.,"Chris Carter (8, 33)",35,R
16,17.,"Mitch Moreland (11, 34)",34,L
17,18.,"Edwin Encarnacion (16, 37)",30,R
18,18.,"Daniel Murphy (12, 35)",30,R
19,20.,"C.J. Cron (7, 30)",29,R
20,21.,"Logan Morrison (11, 32)",26,L
21,21.,"Ryan Zimmerman (15, 35)",26,R
22,23.,"Jesus Aguilar (7, 30)",19,R
23,23.,"Matt Carpenter (10, 34)",19,R
24,25.,"Matt Olson (5, 26)",18,R
25,26.,"Pete Alonso (2, 25)",17,R
26,27.,"Yuli Gurriel (5, 36)",16,R
27,27.,"Rhys Hoskins (4, 27)",16,R
28,27.,"Christian Walker (6, 29)",16,R
29,30.,"Eric Thames (6, 33)",14,R
30,31.,"Ronald Guzman (3, 25)",12,L
31,31.,"Max Muncy (5, 29)",12,R
32,31.,"Jon Singleton (2, 28)",12,L
33,31.,"Luke Voit (4, 29)",12,R
34,35.,"Ji-Man Choi (5, 29)",11,R
35,35.,"Wil Myers (8, 29)",11,R
36,35.,"Ryan O'Hearn (3, 26)",11,L
37,38.,"Jorge Cantu (8, 38)",10,R
38,38.,"Marwin Gonzalez (9, 31)",10,R
39,38.,"Miguel Sano (6, 27)",10,R
