,Rank,"Player (yrs, age)",Situ. Wins Added (WPA/LI),Bats
0,1.,"Albert Pujols (20, 40)",71.28,R
1,2.,"Miguel Cabrera (18, 37)",61.34,R
2,3.,"Mike Trout (10, 28)",51.49,R
3,4.,"Joey Votto (14, 36)",50.59,L
4,5.,"Ryan Braun (14, 36)",37.00,R
5,6.,"Paul Goldschmidt (10, 32)",35.68,R
6,7.,"Freddie Freeman (11, 30)",32.44,L
7,8.,"Giancarlo Stanton (11, 30)",32.06,R
8,9.,"Andrew McCutchen (12, 33)",31.16,R
9,10.,"Edwin Encarnacion (16, 37)",29.50,R
10,11.,"Nelson Cruz (16, 39)",28.36,R
11,12.,"Robinson Cano (16, 37)",27.76,L
12,13.,"Bryce Harper (9, 27)",27.06,L
13,14.,"Anthony Rizzo (10, 30)",25.97,L
14,15.,"Shin-Soo Choo (16, 37)",25.04,L
15,16.,"Justin Upton (14, 32)",23.49,R
16,17.,"Christian Yelich (8, 28)",23.36,L
17,18.,"Josh Donaldson (10, 34)",23.24,R
18,19.,"Ryan Zimmerman (15, 35)",21.04,R
19,20.,"Mookie Betts (7, 27)",20.11,R
20,21.,"Matt Kemp (15, 35)",20.04,R
21,22.,"Nolan Arenado (8, 29)",19.63,R
22,23.,"Matt Carpenter (10, 34)",19.13,L
23,24.,"Evan Longoria (13, 34)",18.91,R
24,25.,"Justin Turner (12, 35)",17.91,R
25,26.,"J.D. Martinez (10, 32)",17.84,R
26,27.,"Kris Bryant (6, 28)",17.43,R
27,28.,"José Abreu (7, 33)",17.08,R
28,29.,"Carlos Santana (11, 34)",16.55,B
29,30.,"Buster Posey (11, 33)",16.26,R
30,31.,"Carlos Gonzalez (12, 34)",16.17,L
31,32.,"Anthony Rendon (8, 30)",15.93,R
32,33.,"Charlie Blackmon (10, 33)",14.74,L
33,34.,"George Springer (7, 30)",12.73,R
34,35.,"Jason Heyward (11, 30)",12.53,L
35,36.,"Yoenis Céspedes (8, 34)",12.42,R
36,37.,"Alex Bregman (5, 26)",12.35,R
37,38.,"Daniel Murphy (12, 35)",12.21,L
38,39.,"Brandon Belt (10, 32)",12.18,L
39,40.,"Aaron Judge (5, 28)",12.13,R
40,41.,"Dustin Pedroia (14, 36)",11.91,R
41,42.,"Jose Ramirez (8, 27)",11.75,B
42,43.,"Jose Altuve (10, 30)",11.53,R
43,44.,"Michael Brantley (12, 33)",11.24,L
44,45.,"Starling Marte (9, 31)",11.20,R
45,46.,"Cody Bellinger (4, 24)",11.14,L
46,47.,"Nick Markakis (15, 36)",11.08,L
47,48.,"Manny Machado (9, 27)",10.87,R
48,49.,"Dexter Fowler (13, 34)",10.66,B
49,50.,"Michael Conforto (6, 27)",10.09,L
50,51.,"Marcell Ozuna (8, 29)",10.08,R
51,52.,"Khris Davis (8, 32)",9.45,R
52,53.,"Corey Seager (6, 26)",9.42,L
53,54.,"Juan Soto (3, 21)",9.26,L
54,55.,"Carlos Correa (6, 25)",8.87,R
55,56.,"Neil Walker (12, 34)",8.67,B
56,57.,"Eugenio Suarez (7, 28)",8.62,R
57,58.,"Pablo Sandoval (13, 33)",8.55,B
58,59.,"Trevor Story (5, 27)",8.49,R
59,60.,"Todd Frazier (10, 34)",8.28,R
60,61.,"AJ Pollock (9, 32)",8.23,R
61,62.,"Jay Bruce (13, 33)",7.90,L
62,63.,"Trea Turner (6, 27)",7.89,R
63,64.,"David Peralta (7, 32)",7.83,L
64,65.,"Corey Dickerson (8, 31)",7.62,L
65,66.,"Francisco Lindor (6, 26)",7.49,B
66,67.,"Tommy Pham (7, 32)",7.45,R
67,68.,"Brett Gardner (13, 36)",7.20,L
68,69.,"Max Muncy (5, 29)",7.07,L
69,70.,"Eric Hosmer (10, 30)",6.78,L
70,71.,"Ronald Acuna Jr. (3, 22)",6.71,R
71,72.,"Yasmani Grandal (9, 31)",6.68,B
72,72.,"Joc Pederson (7, 28)",6.68,L
73,74.,"DJ LeMahieu (10, 31)",6.66,R
74,75.,"Kyle Schwarber (6, 27)",6.60,L
75,76.,"Adam Eaton (9, 31)",6.57,L
76,77.,"Rhys Hoskins (4, 27)",6.42,R
77,78.,"Xander Bogaerts (8, 27)",5.88,R
78,79.,"Matt Olson (5, 26)",5.85,L
79,80.,"Jason Kipnis (10, 33)",5.75,L
80,81.,"Chris Davis (13, 34)",5.72,L
81,82.,"Matthew Joyce (13, 35)",5.67,L
82,82.,"Miguel Sano (6, 27)",5.67,R
83,84.,"J.T. Realmuto (7, 29)",5.43,R
84,85.,"Wil Myers (8, 29)",5.33,R
85,86.,"Matt Chapman (4, 27)",5.18,R
86,87.,"Mitch Haniger (4, 29)",5.13,R
87,88.,"Brandon Nimmo (5, 27)",5.07,L
88,89.,"Kole Calhoun (9, 32)",4.94,L
89,90.,"Josh Bell (5, 27)",4.93,B
90,91.,"Josh Reddick (12, 33)",4.84,L
91,92.,"Ian Desmond (11, 34)",4.82,R
92,93.,"Eric Thames (6, 33)",4.76,L
93,93.,"Luke Voit (4, 29)",4.76,R
94,95.,"Gary Sanchez (6, 27)",4.73,R
95,95.,"Kyle Seager (10, 32)",4.73,L
96,97.,"Nicholas Castellanos (8, 28)",4.63,R
97,98.,"Jeff McNeil (3, 28)",4.46,L
98,99.,"Pete Alonso (2, 25)",4.40,R
99,99.,"Trey Mancini (4, 28)",4.40,R
